frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
101.7,KTUY,Togiak,AK,NDIR,0.09,59.05638888888888,160.38305555555556,D,,-33.0,Adventist Radio Alaska Corp.,,
90.7,KCBR,FAIRBANKS,AK,NDIR,10.0,64.87872222222222,148.05630555555555,C1,,479.0,"Christian Broadcasting, Inc.",,
93.3,KCGV,PALMER,AK,NDIR,0.09,61.61372222222222,149.01638888888888,D,,-90.0,"VOICE FOR CHRIST MINISTRIES, INC.",,
88.1,KKQA,Akutan,AK,NDIR,0.09,54.135,165.7727777777778,D,,-102.0,"Aleutian Peninsula Broadcasting, Inc.",Variety,
94.9,KPWI,Craig,AK,NDIR,0.09,55.47669444444445,133.1481111111111,D,,-86.0,Adventist Radio Alaska Corporation,,
94.3,KVGR,KIANA,AK,NDIR,0.099,66.97525,160.42583333333332,D,,0.0,"VisionAlaska, Inc., Alaska Brethren Ministries",,
88.1,K201AG,NUIQSUT,AK,NDIR,0.2,70.21383333333334,150.99058333333332,D,TOP OF THE WORLD RADIO,,"SILAKKUAGVIK COMMUNICATIONS, INC.",Variety/News/Talk,
88.1,K201AH,KAKTOVIK,AK,DRL,0.039,70.12647222222222,143.62166666666667,D,TOP OF THE WORLD RADIO,,"SILAKKUAGVIK COMMUNICATIONS, INC.",Variety/News/Talk,
88.1,K201AL,PORT PROTECTION,AK,DRL,0.054,56.320750000000004,133.02919444444447,D,KFSK ALASKA RADIO,,NARROWS BROADCASTING CORPORATION,News/Variety,
88.1,K201AM,GUSTAVUS,AK,DRL,0.051,58.41741666666666,135.71013888888888,D,LIVE AND LOCAL,,"CAPITAL COMMUNITY BROADCASTING, INC.",News/Talk,
88.1,K201AO,SEWARD,AK,DRL,0.049,60.10275,149.43880555555555,D,ALASKA PUBLIC MEDIA,,"PUFFIN PUBLIC BROADCASTING, INC.",News/Talk/Jazz,
88.1,K201AV,POINT LAY,AK,DRL,0.048,69.72938888888889,163.01652777777778,D,TOP OF THE WORLD RADIO,,"SILAKKUAGVIK COMMUNICATIONS, INC.",Variety/News/Talk,
88.1,K201BI,CORDOVA,AK,DRL,0.023,60.55333333333333,145.73363888888886,D,,,"TERMINAL RADIO, INC.",News/Talk/Variety,
88.1,K201CH,CHENEGA BAY,AK,NDIR,0.021,60.065194444444444,148.01230555555554,D,,,"TERMINAL RADIO, INC.",News/Talk/Variety,
88.1,K201CL,TATITLEK,AK,NDIR,0.023,60.86833333333333,146.68172222222222,D,,,"TERMINAL RADIO, INC.",News/Talk/Variety,
88.1,K201DA,KING COVE,AK,DRL,0.25,55.06022222222222,162.32866666666666,D,,,"ALEUTIAN PENINSULA BROADCASTING, INC.",Variety,
88.1,K201EG,KETCHIKAN,AK,NDIR,0.09,55.35355555555556,131.68419444444444,D,K-LOVE,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
88.3,K202BT,WHITTIER,AK,DRL,0.05,60.776916666666665,148.68877777777777,D,,,"TERMINAL RADIO, INC.",News/Talk/Variety,
88.3,K202DB,UNALASKA,AK,DRL,0.25,53.874694444444444,166.54438888888888,D,WGEN 88.9 FM,,"ALASKA VILLAGE MISSIONS, INC.",Variety,
91.9,KOFW,DELTANA,AK,NDIR,0.6,63.99166666666667,145.52222222222224,A,,17.0,Our Father's World Radio,,
88.5,K203AP,AMBLER,AK,NDIR,0.017,67.08608333333333,157.8536111111111,D,,,"KOTZEBUE BROADCASTING, INC.",Variety,
88.5,K203BY,KUPARUK,AK,NDIR,0.188,70.32497222222221,149.6083611111111,D,"ALASKA TALKS HERE, 700 AM",77.0,OMG FCC LICENSES LLC,Talk,
88.5,K203CH,JUNEAU,AK,NDIR,0.05,58.30105555555555,134.44230555555555,D,AIR1,,"CAPITAL CHRISTIAN BROADCASTING, INC.",Contemporary Christian,
91.1,K216BN,PRUDHOE BAY,AK,DRL,0.048,70.25666666666666,148.33466666666666,D,ALASKA PUBLIC MEDIA,,Alaska Public Media,News/Talk/Jazz,
88.7,K204AS,SHUNGNAK,AK,NDIR,0.018,66.88858333333334,157.13827777777777,D,,,"KOTZEBUE BROADCASTING, INC.",Variety,
88.7,K204GE,FAIRBANKS,AK,NDIR,0.05,64.86347222222221,147.64352777777776,D,K-LOVE,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
88.9,K205BC,KOBUK,AK,NDIR,0.017,66.90777777777778,156.883,D,,,"KOTZEBUE BROADCASTING, INC.",Variety,
89.1,K206AO,EAGLE RIVER,AK,NDIR,0.043,61.33555555555556,149.51361111111112,D,LIFE CHANGING RADIO,,"CHRISTIAN BROADCASTING, INC.",Religious Teaching,Anchorage
89.7,K209FY,PALMER,AK,DRL,0.065,61.617222222222225,149.01219444444445,D,RADIO FREE PALMER,,"RADIO FREE PALMER, INC.",Variety,
89.9,K210AS,EXCURSION INLET,AK,DRL,0.065,58.127694444444444,135.4326111111111,D,LIVE AND LOCAL,,"CAPITAL COMMUNITY BROADCASTING, INC.",News/Talk,
89.9,K210CF,KODIAK,AK,NDIR,0.019,57.788888888888884,152.4338888888889,D,K-LOVE,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
90.1,K211AT,"MOUNTAIN POINT, ETC.",AK,DRL,0.081,55.29463888888889,131.53861111111112,D,KETCHIKAN'S PUBLIC RADIO,,RAINBIRD COMMUNITY BROADCASTING CORP,News/Talk/Variety,
90.1,K211AU,THORNE BAY,AK,NDIR,0.018,55.69072222222222,132.5313888888889,D,KETCHIKAN'S PUBLIC RADIO,-21.0,RAINBIRD COMMUNITY BROADCASTING CORP,News/Talk/Variety,
90.1,K211AV,HYDABURG,AK,NDIR,0.009,55.20852777777778,132.82969444444444,D,KETCHIKAN'S PUBLIC RADIO,,RAINBIRD COMMUNITY BROADCASTING CORP,News/Talk/Variety,
90.1,K211AX,KLAWOCK,AK,NDIR,0.09,55.554361111111106,133.09611111111113,D,KETCHIKAN'S PUBLIC RADIO,,RAINBIRD COMMUNITY BROADCASTING CORP,News/Talk/Variety,
90.1,K211BG,SITKA,AK,DRL,0.055,57.050444444444445,135.33536111111113,D,RAVEN RADIO,,"RAVEN RADIO FOUNDATION, INC.",Variety,
90.1,K211BY,YAKUTAT,AK,NDIR,0.25,59.546638888888886,139.72247222222222,D,RAVEN RADIO,,"RAVEN RADIO FOUNDATION, INC.",Variety,
90.7,K214BD,"NORTH POINT HIGGINS,",AK,NDIR,0.009,55.470194444444445,131.81777777777776,D,KETCHIKAN'S PUBLIC RADIO,,RAINBIRD COMMUNITY BROADCASTING CORP,News/Talk/Variety,
90.7,K214FK,PALMER,AK,NDIR,0.25,61.621138888888886,149.02333333333334,D,LIFE CHANGING RADIO,,"Christian Broadcasting, Inc.",Religious Teaching,
91.1,K216AA,POINT BAKER,AK,NDIR,0.14,56.74352777777778,133.08116666666666,D,KFSK PUBLIC RADIO FOR ALASKA,,NARROWS BROADCASTING CORPORATION,Variety,
91.1,K216AN,NENANA,AK,DRL,0.043,64.57730555555555,149.08044444444445,D,,,UNIVERSITY OF ALASKA,News/Classical,
91.1,K216BG,"UNALASKA, ETC.",AK,NDIR,0.13,53.875527777777776,166.54188888888888,D,ALASKA PUBLIC MEDIA,,"UNALASKA COMMUNITY BROADCASTING, INC.",News/Talk/Jazz,
91.1,K216DF,KODIAK,AK,NDIR,0.0155,57.78897222222222,152.43441666666666,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
91.1,K216DG,KETCHIKAN,AK,NDIR,0.075,55.33938888888889,131.62641666666667,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
91.1,K216DT,TOK,AK,NDIR,0.187,63.324083333333334,142.99888888888887,D,,,UNIVERSITY OF ALASKA,News/Classical,
91.3,K217CK,NOME,AK,NDIR,0.188,64.502,165.40397222222222,D,ALASKA PUBLIC MEDIA,-99.0,UNIVERSITY OF ALASKA,News/Talk/Jazz,
91.7,K219AQ,DELTA JUNCTION,AK,NDIR,0.125,63.78791666666667,145.862,D,,,UNIVERSITY OF ALASKA,News/Classical,
91.7,K219BA,PELICAN,AK,DRL,0.051,57.96211111111111,136.23263888888889,D,RAVEN RADIO,,"RAVEN RADIO FOUNDATION, INC.",Variety,
91.7,K219DM,EAGLE,AK,NDIR,0.155,64.78611111111111,141.2089722222222,D,,,UNIVERSITY OF ALASKA,News/Classical,
91.7,K219MA,ANCHORAGE,AK,NDIR,0.01,61.06666666666667,149.74555555555554,D,LIFE CHANGING RADIO,,"CHRISTIAN BROADCASTING, INC.",Religious Teaching,Anchorage
91.9,K220AB,KETCHIKAN,AK,DRL,0.136,55.35352777777778,131.68416666666667,D,MOODY RADIO,,KETCHIKAN CHRISTIAN BROADCASTING CORPORATION,Religious Teaching,
91.9,K220AD,VALDEZ,AK,DRL,1.09,61.12894444444444,146.35958333333332,D,MOODY RADIO,,"ALASKA VILLAGE MISSIONS, INC.",Religious Teaching,
91.9,K220AL,GIRDWOOD,AK,DRL,0.052,60.95275,149.10299999999998,D,ALASKA PUBLIC MEDIA,,Alaska Public Media,News/Talk/Jazz,Anchorage
91.9,K220AU,PORT LIONS,AK,NDIR,0.009,57.87008333333333,152.88469444444445,D,PUBLIC RADIO FOR KODIAK ISLAND,-101.0,KODIAK PUBLIC BROADCASTING CORP.,News/Variety,
91.9,K220BK,SKAGWAY,AK,DRL,0.049,59.45327777777778,135.32319444444445,D,,,LYNN CANAL BROADCASTING,Variety,
91.9,K220BR,TENAKEE SPRINGS,AK,DRL,0.066,57.78102777777778,135.22063888888889,D,RAVEN RADIO,,"RAVEN RADIO FOUNDATION, INC.",Variety,
91.9,K220BT,HOONAH,AK,NDIR,0.009,58.10963888888889,135.4428888888889,D,LIVE AND LOCAL,,"CAPITAL COMMUNITY BROADCASTING, INC.",News/Talk,
91.9,K220CH,PORT ALEXANDER,AK,NDIR,0.25,56.24888888888889,134.64694444444444,D,RAVEN RADIO,,"RAVEN RADIO FOUNDATION, INC.",Variety,
91.9,K220CV,"WRANGELL, ETC.",AK,DRL,0.051,56.41769444444444,132.34611111111113,D,STIKINE RIVER RADIO,,"COASTALASKA, INC.",Variety,
91.9,K220EA,ANIAK,AK,NDIR,0.035,61.568444444444445,159.5517777777778,D,,7.0,"BETHEL BROADCASTING, INC.",News/Variety,
91.9,K220FY,SITKA,AK,DRL,0.02,57.05072222222222,135.3328611111111,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
91.9,K220IV,NORTH POLE,AK,NDIR,0.062,64.86402777777778,147.6421388888889,D,AIR1,143.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
