frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
95.1,W236DX,CENTREVILLE,AL,DRL,0.04,33.16277777777778,86.87666666666667,D,WBIB RADIO,,International J A D E Group Inc,Southern Gospel,
98.1,W251DE,OZARK,AL,NDIR,0.25,31.30063888888889,85.58452777777778,D,K-HITS 98.3,,"Autaugaville Radio, Inc.",Oldies,
104.5,W283CM,HENAGAR,AL,DRL,0.1,34.61327777777778,85.68016666666666,D,YOUR NPR NEWS STATION,,"SCOTTSBORO BROADCASTING CO., INC.",News/Talk/Classical,
106.7,WDZK-LP,PRICEVILLE,AL,NDIR,0.01,34.51244444444445,86.848,LP100,,93.0,Emmanuel Charismatic Episcopal Church,,
90.1,WERH,HAMILTON,AL,NDIR,6.5,34.11269444444444,88.02347222222222,C3,,75.0,"BIG SOUTH COMMUNITY BROADCASTING, INC.",,
100.1,WIJL,ANNISTON,AL,DRL,5.4,33.6815,85.81580555555556,C3,,216.0,"Elijah Radio, Inc.",Religious Teaching,
90.1,WLGO,SAWYERVILLE,AL,DRL,30.0,32.70794444444445,87.70986111111111,C2,,79.0,National Association for the Prevention of Starvation,,
88.7,HILZ-FM,SALVALEÓN DE HIGÜEY,AL,,0.25,18.622220000000002,68.72806,C,LA VOZ DE LA LUZ,89.0,,News/Talk,
89.9,HION-FM-3,PUNTA CAÑA,AL,,8.0,18.58389,68.40278,C,CDN - PASIÓN POR LA NOTICIAS,32.0,,News/Talk,
90.3,HIRM-FM,SALVALEÓN DE HIGÜEY,AL,,0.25,18.60667,68.71000000000001,C,MAGIA FM,17.0,,Variety,
91.3,HIAE-FM-5,SALVALEÓN DE HIGÜEY,AL,,0.2,18.62127,68.71778,C,LA 91,18.0,,Adult Contemporary,
91.5,HIMN-FM,SALVALEÓN DE HIGÜEY,AL,,2.0,18.45167,69.92611000000001,C,MISIÓNERA 91.5,32.0,,Religious,
92.3,HILL-FM,SALVALEÓN DE HIGÜEY,AL,,0.25,18.60667,68.71000000000001,C,ESTRELLA 92,29.0,,Variety,
94.3,HIMB-FM,SALVALEÓN DE HIGÜEY,AL,,2.5,18.61222,68.71472,C,MAMBO FM,40.0,,Tropical,
97.5,HIPA-FM,SALVALEÓN DE HIGÜEY,AL,,0.5,18.61306,68.71028,C,GÉNESIS FM LA MEGA,34.0,,Religious,
98.3,HIRH-FM,LAS LAGUNAS DE NISIBÓN,AL,,0.25,18.834439999999997,68.66917000000001,C,ADORACIÓN 98.3 FM,30.0,,Religious,
101.5,HIZZ-FM-3,SALVALEÓN DE HIGÜEY,AL,,2.0,18.62056,68.72639,C,Z101,18.0,,Romantica,
105.1,HINJ-FM,SALVALEÓN DE HIGÜEY,AL,,5.0,18.61806,68.71555000000001,C,"RADIO CAYACOA, LA VOZ DE LA ALTAGRACIA",18.0,,Variety,
106.9,HIKL-FM,BÁVARO,AL,,1.5,18.691670000000002,68.47111,C,KOOL 106,25.0,,Urban Contemporary,
100.3,HIFK-FM-20,SALVALEÓN DE HIGÜEY,AL,,0.608,18.659805555555554,68.67386111111112,C,RADIO AMANECER,117.0,,Religious,
97.1,HIPT-FM,PUNTA CAÑA,AL,,1.0,18.59639,68.42472000000001,C,PUNTA CAÑA 97.1 FM,31.0,,Dance,
100.3,HIFK-FM-09,LAS LAGUNAS DE NISIBÓN,AL,,0.153,18.834722222222222,68.66861111111112,C,RADIO AMANECER,0.0,,Religious,
106.3,HIFU-FM-1,SALVALEÓN DE HIGÜEY,AL,,0.25,18.61111,68.71278000000001,C,NITIDA 106.3,30.0,,News/Talk/Spanish Hits,
91.3,HIAE-FM-6,BÁVARO,AL,,1.0,18.691110000000002,68.4444,C,LA 91,25.0,,Adult Contemporary,
105.5,HIRV-FM-2,SALVALEÓN DE HIGÜEY,AL,,0.025,18.660549999999997,68.6750888888889,C,RADIO VEN,250.0,,Religious,
89.7,KRLE,CARBON HILL,AL,DRL,79.0,34.033722222222224,87.6133611111111,C1,K-LOVE,154.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
88.5,W203DJ,RAINBOW MOUNTAIN HTS,AL,DRL,0.01,34.735083333333336,86.72888888888889,D,WAY FM,156.9,AMERICAN FAMILY ASSOCIATION,Contemporary Christian,Huntsville
88.9,W205BX,EUFAULA,AL,NDIR,0.013,31.933777777777777,85.20605555555557,D,THE SONLIFE RADIO NETWORK,117.0,"FAMILY WORSHIP CENTER CHURCH, INC.",Religious Teaching,
89.7,W209CN,ANDALUSIA,AL,NDIR,0.019,31.302666666666667,86.52525,D,THE SONLIFE RADIO NETWORK,76.7,"FAMILY WORSHIP CENTER CHURCH, INC.",Religious Teaching,
89.9,W210CA,BIRMINGHAM,AL,NDIR,0.01,33.484,86.80583333333333,D,WAY FM,349.1,Hope Media Group,Contemporary Christian,Birmingham
90.3,W212AP,"NOTASULGA, ETC.",AL,NDIR,0.013,32.62202777777778,85.50136111111111,D,AIR1,,EDUCATIONAL MEDIA FOUNDATION,Christian CHR + Rock,
