frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
88.1,4VVE-FM-1,SAINT-MARC,AR,,0.3,19.108611111111113,72.69972222222222,C,VOIX DE L'ESPERANCE,50.0,,Religious,
91.5,CMAT-FM,SAN CRISTÓBAL,AR,,2.512,22.718944444444443,83.05116666666666,C,RADIO ARTEMISA,450.0,,Variety,
91.3,4VSG-FM,GONAÏVES,AR,,0.3,19.451138888888888,72.68016666666666,C,SUN RADIO FM,35.0,,Adult Contemporary,
93.7,4VDM-FM,SAINT-MARC,AR,,0.3,19.104916666666668,72.69494444444445,C,DYNAMIC FM,50.0,,Tropical,
94.1,4VJU-FM,LIANCOURT,AR,,0.3,19.123916666666666,72.53527777777778,C,RADIO JUPITER PLUS,74.0,,Variety,
103.1,K276CO,FAYETTEVILLE,AR,DRL,0.14,36.14722222222222,94.18722222222223,D,LA MAXXIMA,,THE BAKER FAMILY TRUST,Spanish Hits Baladas,
104.1,K281DJ,BENTON,AR,NDIR,0.25,34.5075,92.54694444444445,D,FOX SPORTS RADIO ARKANSAS,,"HIGH PLAINS RADIO NETWORK, LLC",Sports,
104.1,CMAD-9,GÜIRA DE MELENA,AR,,3.162,22.799444444444447,82.50694444444444,C,RADIO ARTEMISA,70.0,,Variety,
94.3,KCMC-FM,VIOLA,AR,NDIR,8.1,36.32505555555556,91.97819444444444,C3,ARKANSAS ROCKS,174.0,"HIGH PLAINS RADIO NETWORK, LLC",Classic Rock,
99.5,4VRW-FM,GONAÏVES,AR,,0.3,19.41788888888889,72.68022222222223,C,RADIO ANTENNE CONTINENTALE,35.0,,Variety,
103.9,KERL,EARLE,AR,NDIR,12.5,35.450361111111114,90.70316666666668,C3,SUNNY 1210,143.0,Bobby D. Caldwell Revocable Trust,Adult Standards,
92.1,CMAD-FM,ARTEMISA,AR,,1.0,22.81288888888889,82.76438888888889,C,RADIO ARTEMISA,30.0,,Variety,
92.9,CMAD-8,ALQUÍZAR,AR,,3.162,22.801944444444445,82.58080555555556,C,RADIO ARTEMISA,30.0,,Variety,
106.9,KMVM,CLARKSVILLE,AR,NDIR,6.0,35.551944444444445,93.40944444444445,A,106.9 THE MAVERICK,34.0,"EAB OF CLARKSVILLE, LLC",Country,
99.9,4VMM-FM,SAINT-MARC,AR,,0.3,19.105861111111114,72.69586111111111,C,RADIO MILLENIUM 3,50.0,,Variety,
107.3,KOSE-FM,OSCEOLA,AR,NDIR,1.6,35.76647222222222,89.92869444444445,A,,102.0,Bobby D. Caldwell Revocable Trust,Unknown,
88.7,KPGC,NORMAN,AR,NDIR,2.1,34.4575,93.67552777777779,A,,18.0,"His Will, Inc.",,
93.7,CMAC-FM,MARIEL,AR,,2.512,22.99352777777778,82.75544444444445,C,RADIO MARIEL,32.0,,Variety,
107.3,KWKO-LP,ROSSTON,AR,NDIR,0.008,33.59538888888889,93.34211111111111,LP100,,103.0,"SW Arkansas Educational Radio, Inc.",Oldies,
94.3,CMBD-6,PLAYA BARACOA,AR,,1.585,23.050583333333336,82.55972222222222,C,RADIO RELOJ,30.0,,News/Talk,
94.5,CMAD-4,GUANAJAY,AR,,3.162,22.93,82.68416666666667,C,RADIO ARTEMISA,40.0,,Variety,
100.3,4VLJS-FM,SAINT-MARC,AR,,0.3,19.10738888888889,72.70141666666667,C,RADIO-TÉLÉ LJS,50.0,,Variety,
95.5,CMAH-FM,CANDELARIA,AR,,25.119,22.829416666666667,82.95466666666667,C,RADIO REBELDE,400.0,,News/Talk/Variety,
96.1,CMAD-3,BAUTA,AR,,3.162,22.990555555555556,82.54944444444445,C,RADIO ARTEMISA,47.0,,Variety,
103.5,4VPY-FM,SAINT-MARC,AR,,0.3,19.104916666666668,72.69494444444445,C,AC RADIO,50.0,,Variety,
105.3,CMBS-FM,SAN ANTONIO DE LOS BAÑOS,AR,,1.259,22.889166666666664,82.50777777777778,C,RADIO ARIGUANABO,50.0,,Variety,
100.7,CMBQ-1,CANDELARIA,AR,,25.119,22.829416666666667,82.95466666666667,C,RADIO ENCICLOPEDIA,530.0,,Instrumental Music,
