frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
90.9,K215FW,TUCSON,AZ,DRL,0.25,32.21405555555556,111.00577777777778,D,CLASSICAL 90.5,172.0,ARIZONA BOARD OF REGENTS FOR BENEFIT OF UNIVERSITY OF ARIZ.,Classical,
91.9,K220FM,CAREFREE,AZ,DRL,0.054,33.59419444444445,112.08619444444444,D,FAMILY RADIO,287.0,"RF Towers, LLC",Religious Teaching,
105.7,K289CU,LAKE HAVASU CITY,AZ,DRL,0.25,34.486111111111114,114.21966666666667,D,KRAZY FM,,"Aircraft Storage Solutions, LLC",Classic Hits,
106.7,KFUE,BUCKEYE,AZ,NDIR,6.0,33.45027777777778,112.59944444444444,A,RADIO LA SUAVECITA,93.0,"ENTRAVISION HOLDINGS, LLC",Regional Mexican,
103.5,KGXL,TAYLOR,AZ,NDIR,1.4,34.20616666666667,109.94288888888889,C3,103.6 THE VIBE,248.0,NEW STAR BROADCASTING LLC,Contemporary Hit Radio,
92.5,KHTO,WILLCOX,AZ,NDIR,3.0,32.26702777777778,109.83394444444444,A,,6.0,Apache Leap Media,Variety,
89.7,KIHI,Flower Pot,AZ,NDIR,0.007,34.469277777777776,111.87522222222222,A,,729.0,"Cheyenne Broadcasting Foundation, Inc.",,
99.7,KRSN-LP,SHOW LOW,AZ,NDIR,0.002,34.20586111111111,109.94286111111111,LP100,,244.0,SHOW LOW COMMUNITY RADIO,Oldies,
99.5,KWSQ-LP,MESA,AZ,NDIR,0.002,33.49238888888889,111.6406388888889,LP100,KWSS 93.9 FM & 99.5,260.0,KWSQ Radio,Adult Alternative,
93.3,KXUT,PAGE,AZ,NDIR,12.5,37.01025,111.68069444444446,C2,REWIND 93.3 / WHATEVER WE WANT,288.0,"Southwest Broadcasting, LLC",Country,
91.3,KYLN,QUARTZSITE,AZ,DRL,0.9,33.57,114.35,C2,,674.0,"Advance Ministries, Inc.",,
89.1,HIMT-FM,AZUA DE COMPOSTELA,AZ,,1.5,18.46556,70.72945,C,TERNURA FM,-118.0,,Romantica,
91.3,HIAE-FM-3,AZUA DE COMPOSTELA,AZ,,0.1,18.453333333333333,70.73417,C,LA 91,-126.0,,Adult Contemporary,
97.1,HIRR-FM,AZUA DE COMPOSTELA,AZ,,1.0,18.453333333333333,70.735,C,RECTA FM,-126.0,,Variety,
95.9,HICM-FM,AZUA DE COMPOSTELA,AZ,,3.0,18.454169999999998,70.73444,C,"COSMOS FM, LA EMISORA DE LA NUEVA GENERACIÓN",-131.0,,Tropical,
99.5,HISD-FM-3,AZUA DE COMPOSTELA,AZ,,1.0,18.45363888888889,70.73497222222223,C,QUISQUEYA FM,-126.0,,Tropical,
100.3,HIFK-FM-28,AZUA DE COMPOSTELA,AZ,,0.153,18.44697222222222,70.72175,C,RADIO AMANECER,-116.0,,Religious,
104.3,HIXF-FM,AZUA DE COMPOSTELA,AZ,,1.0,18.461389999999998,70.7325,C,COMPOSTELA FM,-126.0,,Variety,
104.7,HIFM-FM,AZUA DE COMPOSTELA,AZ,,0.02,18.45194,70.73666,C,FUNDACIÓN ACCIÓN,-125.0,,Culture Variety,
88.7,HICZ-FM-1,AZUA DE COMPOSTELA,AZ,,1.5,18.461389999999998,70.73194000000001,C,RADIO CORAZONES,-125.0,,Religious,
88.1,K201ER,HOLBROOK,AZ,NDIR,0.05,34.91808333333333,110.14094444444446,D,,29.0,"ADVANCE MINISTRIES, INC. D/B/A/ NEW LIFE CHRISTIAN SCHOOL",Religious Teaching,
88.1,K201IB,HEBER-OVERGAARD,AZ,NDIR,0.205,34.42225,110.56622222222222,D,,,"ADVANCE MINISTRIES, INC. D/B/A/ NEW LIFE CHRISTIAN SCHOOL",Religious Teaching,
