frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
90.7,K214FO,BUENA VISTA,CO,NDIR,0.01,38.745666666666665,106.19847222222222,D,THUNDER 89.7,,San Tan Educational Media,Variety,
95.1,K236CZ,DURANGO,CO,NDIR,0.01,37.36277777777778,107.79505555555555,D,THE PASSION 95.7 FM,39.0,PROCLAIMING CHRIST'S LOVE MINISTRIES,Contemporary Christian,
103.3,K277DV,PAGOSA SPRINGS,CO,NDIR,0.013,37.19222222222222,107.09919444444444,D,PASSION 95.7 FM,388.0,PROCLAIMING CHRIST'S LOVE MINISTRIES,Contemporary Christian,
104.3,K282CH,COLORADO SPRINGS,CO,DRL,0.25,38.896388888888886,104.79830555555556,D,CATHOLIC RADIO,,"Catholic Radio Network, Inc.",Religious Teaching,
100.5,K263CD,BRECKENRIDGE,CO,NDIR,0.02,39.63016666666667,106.04752777777777,D,K-LOVE,-51.7,"MOUNTAIN COMMUNITY TRANSLATORS, LLC",Contemporary Christian,
92.3,KFII,Hugo,CO,NDIR,3.5,39.277138888888885,103.49638888888889,A,,96.0,"ScarboroughRadio, LLC",Classic Hits,
89.5,KGCB,WRAY,CO,NDIR,0.4,40.05433333333333,102.22647222222223,A,,76.0,"The Praise Network, Inc.",,
89.1,KGCY,CHEYENNE WELLS,CO,NDIR,0.22,38.824444444444445,102.35297222222222,A,,28.0,"The Praise Network, Inc.",,
89.7,KJLB,LAMAR,CO,NDIR,1.4,38.03611111111111,102.5996111111111,A,YOU'RE WITH FAMILY,70.0,"Great Plains Christian Radio, Inc.",Contemporary Christian,
90.3,KKBV,BUENA VISTA,CO,NDIR,0.25,38.745555555555555,106.19861111111112,A,K-LOVE,345.0,Educational Media Foundation,Contemporary Christian,
93.5,KLMR-FM,LAMAR,CO,NDIR,100.0,38.03611111111111,102.59991666666666,C1,KOOL 93.5,146.0,"Riverside Communications, LLC",Classic Hits,
90.3,KOOK,RIDGWAY,CO,NDIR,0.32,38.04244444444444,107.67361111111111,A,,-338.5,San Miguel Educational Fund,,
88.7,KRDF,Red Feather Lakes,CO,NDIR,0.005,40.8675,105.64333333333335,A,,246.0,"Ridgeline Radio, Inc.",,
101.5,KSRC,WATKINS,CO,NDIR,97.0,39.92275,103.97216666666667,C,STAR 101.5,625.0,Pillar of Fire,Contemporary Christian,
101.5,KSRC-FM1,COMMERCE CITY,CO,DRL,20.0,39.675333333333334,104.87336111111111,D,STAR 101.5,,Pillar of Fire,Contemporary Christian,
91.7,KVJZ,Breckenridge,CO,DRL,0.12,39.459694444444445,105.98,A,,509.1,"Rocky Mountain Public Media, Inc.",,
95.3,K237FK,DURANGO,CO,DRL,0.04,37.36277777777778,107.79422222222222,D,,560.5,FOUR CORNERS BROADCASTING LLC,,
88.1,K201EC,MANITOU SPRINGS,CO,NDIR,0.099,38.88608333333333,104.89052777777779,D,THE LIGHT,-105.2,"Educational Communications of Colorado Springs, Inc.",Contemporary Christian,Colorado Springs
88.1,K201FK,BURLINGTON,CO,NDIR,0.205,39.29472222222222,102.26075,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
88.1,K201HJ,LINCOLN PARK,CO,DRL,0.03,38.42222222222222,105.15194444444445,D,LIGHT PRAISE RADIO,-85.0,"Educational Communications of Colorado Springs, Inc.",Contemporary Christian,
