frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
89.1,W206BW,WESTVILLE,CT,NDIR,0.01,41.34966666666667,72.97241666666667,D,WNPR PUBLIC RADIO,,"CONNECTICUT PUBLIC BROADCASTING, INC.",News/Talk,New Haven
92.1,W221CQ,"NAUGATUCK, ETC.",CT,NDIR,0.125,41.495916666666666,73.04258333333333,D,RADIO 104.1,,"DANBURY COMMUNITY RADIO, INC.",Rock,Metro Fairfield County
90.1,W211AI,STAMFORD,CT,DRL,0.25,41.04694444444444,73.5261111111111,D,NPR NEWS & CLASSICAL MUSIC,29.0,"SACRED HEART UNIVERSITY, INC.",News,Metro Fairfield County
91.5,W218AV,WARREN,CT,DRL,0.25,41.736472222222226,73.354,D,FINE ARTS RADIO,163.0,"TOWN OF MONROE, CONNECTICUT",Classical,
91.9,W220AC,FAIRFIELD,CT,NDIR,0.019,41.14813888888889,73.25094444444444,D,FINE ARTS RADIO,0.6,"TOWN OF MONROE, CONNECTICUT",Classical,Metro Fairfield County
91.9,W220CE,MIDDLEFIELD,CT,DRL,0.01,41.513777777777776,72.74627777777778,D,FINE ARTS RADIO,,"TOWN OF MONROE, CONNECTICUT",Classical,
91.9,W220CF,HUNTINGTON,CT,DRL,0.007,41.27591666666667,73.12897222222222,D,FINE ARTS RADIO,,"TOWN OF MONROE, CONNECTICUT",Classical,Metro Fairfield County
91.9,W220CH,WEST HARTFORD,CT,NDIR,0.01,41.79677777777778,72.79675,D,FINE ARTS RADIO,,"TOWN OF MONROE, CONNECTICUT",Classical,Hartford-New Britain-Middletown
93.1,W226AG,HAMDEN,CT,DRL,0.01,41.43380555555555,72.94533333333334,D,CATHOLIC RADIO,,ST. THOMAS SEMINARY,Easy Listening/Religious Teaching,New Haven
93.3,W227AJ,NORTHFORD,CT,NDIR,0.01,41.41952777777777,72.71147222222223,D,,179.0,"SACRED HEART UNIVERSITY, INC.",News/Talk,New Haven
94.1,W231CZ,HARTFORD,CT,NDIR,0.032,41.79666666666667,72.79666666666667,D,FAITH 94.1,,EDUCATIONAL MEDIA FOUNDATION,Religious Teaching,Hartford-New Britain-Middletown
94.1,W231DJ,DANBURY,CT,DRL,0.099,41.37425,73.44594444444445,D,,,THE BERKSHIRE BROADCASTING CORPORATION,News/Talk/Sports,Danbury
94.5,W233AG,NEW LONDON,CT,NDIR,0.055,41.35313888888889,72.11422222222221,D,FINE ARTS RADIO,31.0,"Town of Monroe, Connecticut",Classical,New London
94.5,W233AJ,OLD SAYBROOK,CT,NDIR,0.038,41.309805555555556,72.39702777777778,D,FINE ARTS RADIO,39.9,"TOWN OF MONROE, CONNECTICUT, Doing",Classical,
94.5,W233CF,DANBURY,CT,DRL,0.099,41.37425,73.44594444444445,D,94.5 THE HAWK,,THE BERKSHIRE BROADCASTING CORPORATION,Classic Hits,Danbury
94.5,W233DB,NORWICH,CT,DRL,0.035,41.55272222222222,72.07652777777777,D,,,"Hall Communications, Inc.",Adult Standards,New London
95.3,W237EL,WILLIMANTIC,CT,NDIR,0.005,41.68344444444444,72.21536111111111,D,WILI GOOD COMPANY 1400 AM AND 95.3 FM,,"HALL COMMUNICATIONS, INC.",Talk,
95.3,W237EO,BLOOMFIELD,CT,DRL,0.036,41.79677777777778,72.79675,D,LIFE CHANGING RADIO 1550 AN - 95.3 FM,,"BLOUNT MASSCOM, INC.",Religious Teaching,Hartford-New Britain-Middletown
96.1,W241CA,DANBURY,CT,DRL,0.25,41.39588888888889,73.42391666666667,D,NPR NEWS & CLASSICAL MUSIC,,"SACRED HEART UNIVERSITY, INC.",News,Danbury
96.1,W241CG,SOUTHINGTON,CT,DRL,0.25,41.56222222222222,72.84388888888888,D,KOOL RADIO 990 AND 96.1,,RED WOLF BROADCASTING CORPORATION,Oldies,Hartford-New Britain-Middletown
96.9,W245DK,NEW HAVEN,CT,DRL,0.215,41.42283333333333,72.95136111111111,D,NEWSTALK 960 96.9,,iHeartMedia,Talk,New Haven
97.1,W246CC,BOLTON,CT,NDIR,0.1,41.80288888888889,72.44119444444445,D,BOMBA RADIO,187.0,RED WOLF BROADCASTING CORPORATION,Spanish Hits,Hartford-New Britain-Middletown
97.1,W246DN,PUTNAM,CT,NDIR,0.25,41.902611111111106,71.89508333333335,D,WINY 1350 AM,,OSBREY BROADCASTING COMPANY,Adult Contemporary,
97.3,W247DE,OLD SAYBROOK,CT,DRL,0.25,41.3275,72.38833333333334,D,WE`VE GOT PERSONALITY,,"CROSSROADS COMMUNICATIONS OF OLD SAYBROOK, LLC",Talk,
97.5,W248CR,WINDSOR,CT,NDIR,0.25,41.85341666666667,72.6781388888889,D,LA MEGA,,"GOIS BROADCASTING OF CONNECTICUT, LLC",Soft AC,Hartford-New Britain-Middletown
97.5,W248CZ,KENT,CT,DRL,0.25,41.713972222222225,73.53483333333332,D,ROBIN HOOD RADIO,,"TRI-STATE PUBLIC COMMUNICATIONS, INC.",News/Talk,Poughkeepsie
97.7,W249CW,TORRINGTON,CT,NDIR,0.01,41.84063888888889,73.16233333333334,D,WNPR PUBLIC RADIO,,"CONNECTICUT PUBLIC BROADCASTING, INC.",News/Talk,
97.7,W249DY,WATERBURY,CT,DRL,0.25,41.563138888888886,72.84452777777777,D,,,"WATR Radio, LLC",Adult Contemporary,Hartford-New Britain-Middletown
97.9,W250CH,NEW MILFORD,CT,DRL,0.25,41.49341666666667,73.42872222222223,D,97-9 107.3 THE BULL,,THE BERKSHIRE BROADCASTING CORPORATION,Country,Danbury
98.3,W252AS,NEW HAVEN,CT,NDIR,0.019,41.296749999999996,72.9731388888889,D,FINE ARTS RADIO,67.7,"TOWN OF MONROE, CONNECTICUT",Classical,New Haven
98.5,W253BQ,MERIDEN,CT,DRL,0.25,41.56222222222222,72.84388888888888,D,BOMBA RADIO,,CO-CHANNEL COMMUNICATIONS LLC,Spanish Hits,Hartford-New Britain-Middletown
99.5,W258AC,STORRS,CT,NDIR,0.01,41.814,72.25952777777778,D,WNPR PUBLIC RADIO,117.0,"CONNECTICUT PUBLIC BROADCASTING, INC",News/Talk,Hartford-New Britain-Middletown
99.5,W258AL,CLINTON,CT,DRL,0.2,41.56980555555556,73.01761111111111,D,BOMBA RADIO,,RED WOLF BROADCASTING CORPORATION,Spanish Hits,Hartford-New Britain-Middletown
99.5,W258BI,NEW LONDON,CT,DRL,0.25,41.47508333333334,72.10422222222222,D,US 99.5,,RED WOLF BROADCASTING CORPORATION,Country,New London
100.1,W261BU,TALCOTTVILLE,CT,DRL,0.099,41.75936111111111,72.70286111111112,D,RADIO AVIVIAMENTO,,"REVIVAL CHRISTIAN MINISTRIES, INC.",Religious Teaching,Hartford-New Britain-Middletown
100.9,W265DB,MILBROOK,CT,DRL,0.25,41.34966666666667,72.97241666666667,D,100.9 THE BEAT,,iHeartMedia,Urban Contemporary,New Haven
100.9,W265EB,HARTFORD,CT,DRL,0.22,41.76675,72.67675,D,NEWS RADIO 1410 AND 100.9 FM,,iHeartMedia,News/Talk,Hartford-New Britain-Middletown
101.7,W269DE,NEW BRITAIN,CT,DRL,0.25,41.71622222222223,72.80983333333333,D,MEGA 910 & 101.7,,"GOIS BROADCASTING OF CONNECTICUT, LLC",Tropical,Hartford-New Britain-Middletown
101.7,W269ED,MONTVILLE,CT,NDIR,0.25,41.645805555555555,72.12830555555554,D,BOMBA RADIO,193.3,Red Wolf Broadcasting,Spanish Hits,
101.9,W270DL,MILFORD,CT,DRL,0.25,41.349805555555555,72.9726111111111,D,LIFE CHANGING RADIO 1500 AM AND 101.9 FM,,K. W. DOLMAR BROADCASTING CO. INC.,Religious Teaching,New Haven
102.3,W272DO,NEW HAVEN,CT,DRL,0.25,41.34952777777778,72.97233333333334,D,BOMBA RADIO,,RED WOLF BROADCASTING CORPORATION,Spanish Hits,New Haven
102.5,W273DS,MERIDEN,CT,DRL,0.25,41.703611111111115,72.83194444444445,D,HARTFORD'S 102.5,,RED WOLF BROADCASTING CORPORATION,Urban Contemporary,Hartford-New Britain-Middletown
102.5,W273EB,WESTPORT,CT,DRL,0.25,41.24147222222222,73.45316666666668,D,,,Sun Signals LLC,News,Metro Fairfield County
103.1,W276DY,STAMFORD,CT,DRL,0.15,41.04694444444444,73.5261111111111,D,,,"SACRED HEART UNIVERSITY, INCORPORATED",News,Metro Fairfield County
103.3,W277DP,BRIDGEPORT,CT,DRL,0.25,41.16619444444444,73.21705555555556,D,VIVA! RADIO,,"TRIGNITION MEDIA, LLC",Tropical,Metro Fairfield County
103.3,W277DT,HARTFORD,CT,DRL,0.25,41.766777777777776,72.67675,D,THE TALK OF CT,,RED WOLF BROADCASTING CORPORATION,Talk,Hartford-New Britain-Middletown
