frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
91.7,W219BZ,LEWES,DE,NDIR,0.17,38.72511111111111,75.18241666666667,D,BIBLE BROADCASTING NETWORK,34.0,"BIBLE BROADCASTING NETWORK, INC.",Religious Teaching,Salisbury-Ocean City
93.1,W226CW,GEORGETOWN,DE,NDIR,0.13,38.626111111111115,75.23361111111112,D,LA RAZA 93.1 & 106.7,,"THE VOICE RADIO, LLC",Regional Mexican,Salisbury-Ocean City
93.9,W230CO,SEAFORD,DE,NDIR,0.25,38.613166666666665,75.58630555555555,D,LA Z MX RADIO,,Ruby J. Lopez,Contemporary Hit Radio,Salisbury-Ocean City
96.9,W245CJ,WILMINGTON,DE,DRL,0.25,39.81561111111111,75.53,D,WXCY 103.7 AND 96.9,,Forever Media,Country,Wilmington
97.1,W246BI,MIDDLETOWN,DE,NDIR,0.08,39.534555555555556,75.70994444444445,D,HOPE 94.5,50.5,FRANCIS TAFELSKI,Religious Teaching,Wilmington
98.5,W253CQ,WILMINGTON,DE,DRL,0.1,39.70872222222223,75.56602777777778,D,,,DELAWARE DEPARTMENT OF TRANSPORTATION,Travel Info,Wilmington
102.1,W271CX,MILFORD,DE,DRL,0.25,38.92805555555555,75.48861111111111,D,COOL 102.1FM 930AM,,Forever Media,Classic Hits,
103.3,W277AH,DOVER,DE,NDIR,0.08,39.163333333333334,75.53527777777778,D,K-LOVE,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
105.1,W286BS,MILFORD,DE,DRL,0.25,39.19333333333333,75.54388888888889,D,DELMARVA'S ALBUM MUSIC SOURCE,84.8,"Eko Media Group, Inc.",Adult Alternative,
106.7,W294BN,DOVER,DE,NDIR,0.055,39.19344444444444,75.54380555555555,D,REACH RADIO GOSPEL,69.8,"PRIORITY RADIO, INC.",Urban Gospel,
106.7,W294CH,GEORGETOWN,DE,DRL,0.25,38.654444444444444,75.61083333333333,D,LA RAZA 93.1 & 106.7,,"THE VOICE RADIO, LLC",Regional Mexican,Salisbury-Ocean City
107.3,W297CA,WILMINGTON,DE,DRL,0.185,39.834,75.52380555555555,D,REACH RADIO GOSPEL,,"PRIORITY RADIO, INC.",Urban Gospel,Wilmington
107.7,W299BH,MARSHALLTON,DE,DRL,0.25,39.70861111111111,75.56611111111111,D,TEMPLE UNIVERSITY PUBLIC RADIO,49.5,TEMPLE UNIVERSITY OF THE COMMONWEALTH SYSTEM OF HIGHER ED,Classical/Jazz,Wilmington
97.7,WAFL,MILFORD,DE,OTS,3.0,38.92761111111111,75.48852777777778,A,EAGLE 97.7,100.0,Forever Media,Hot AC,
101.3,WCHK-FM,MILFORD,DE,DRL,6.0,38.85613888888889,75.48272222222222,A,CHICKEN 101.3,93.5,Forever Media,Country,Salisbury-Ocean City
91.1,WDDE,DOVER,DE,NDIR,2.1,39.013888888888886,75.50777777777778,A,DELAWARE'S NPR NEWS STATION,72.0,Delaware Public Media Corporation,News/Talk,
94.7,WDSD,DOVER,DE,NDIR,50.0,39.200944444444445,75.56491666666666,B,WDSD 94.7,115.0,iHeartMedia,Country,
92.7,WGMD,REHOBOTH BEACH,DE,NDIR,2.6,38.70411111111111,75.19980555555556,A,THE TALK OF DELMARVA,132.0,Datatech Digital LLC,Talk,Salisbury-Ocean City
95.3,WHGE-LP,WILMINGTON,DE,NDIR,0.05,39.742111111111114,75.54191666666667,LP100,,9.175406,AFRO-AMERICAN HISTORICAL SOCIETY OF DELAWARE,Variety,Wilmington
96.1,WIHW-LP,DOVER,DE,NDIR,0.1,39.135666666666665,75.53963888888889,LP100,WINNING OTHERS TO JESUS,26.0,CAPITOL BAPTIST CHURCH,Religious Teaching,
99.9,WIZU-LP,NEWARK,DE,NDIR,0.085,39.66430555555555,75.75958333333334,LP100,,-1.0,NEWARK COMMUNITY RADIO INC,Variety,Wilmington
103.5,WJKI-FM,BETHANY BEACH,DE,NDIR,1.45,38.572611111111115,75.11572222222222,A,THE VAULT 103.5,146.0,"THE VOICE RADIO, LLC",Classic Rock,Salisbury-Ocean City
95.3,WKDB,LAUREL,DE,NDIR,6.0,38.50344444444445,75.66047222222223,A,MAXIMA 95.3,100.0,"THE VOICE RADIO, LLC",Contemporary Hit Radio,Salisbury-Ocean City
88.7,WKNZ,HARRINGTON,DE,NDIR,25.0,38.891666666666666,75.57972222222222,B1,88.7 THE BRIDGE,98.1,"THE BRIDGE OF HOPE, INC.",Contemporary Christian,
92.1,WLBW,FENWICK ISLAND,DE,NDIR,3.0,38.422333333333334,75.13936111111111,A,K-LOVE,143.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Salisbury-Ocean City
