frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
88.7,W204CV,KEY WEST,FL,NDIR,0.08,24.57172222222222,81.73872222222222,D,CSN INTERNATIONAL,32.0,CSN INTERNATIONAL,Religious Teaching,
95.3,W237FO,LAKELAND,FL,NDIR,0.055,28.032694444444445,81.95652777777778,D,Z-88,,"CENTRAL FLORIDA EDUCATIONAL FOUNDATION, INC.",Contemporary Christian,
97.7,W249EH,DAYTONA BEACH,FL,DRL,0.25,29.137055555555555,81.07791666666667,D,GPRAISE,,"Central Florida Educational Foundation, Inc.",Gospel Music,
104.3,W282CC,ZEPHYR HILLS,FL,NDIR,0.25,28.281944444444445,82.2081388888889,D,BOSS HOG RADIO,,"Walco Enterprises, Inc.",Variety,
90.3,WBGY,Everglades City,FL,NDIR,0.25,25.844166666666666,81.37333333333332,A,98.1 FM,18.0,KOL HALEV 2020 CORPORATION,80'S Hits,
87.7,WEYS-LD,MIAMI,FL,DIR,3.0,25.97111111111111,80.20861111111111,,ALMAVISION,,"Alma Vision Hispanic Network, Inc.",Spanish Religious,
94.3,WGMX,MARATHON,FL,NDIR,26.5,24.692083333333333,81.10841666666666,C2,KEYS PARTY STATION 105.7,84.0,"MAGNUM BROADCASTING, INC.",Contemporary Hit Radio,
100.1,WGPY-LP,ST. PETERSBURG,FL,NDIR,0.1,27.75063888888889,82.69230555555556,LP100,RADIO FREE GULFPORT,18.840919,ALL AFRICAN PEOPLE'S DEVELOPMENT AND EMPOWERMENT PROJECT,Variety,
106.5,WHJX,PONTE VEDRA BEACH,FL,DRL,6.0,30.276638888888886,81.56591666666667,A,HOT 106.5,100.0,"Cox Radio, LLC",Rhythm And Blues,
101.9,WJHM,DAYTONA BEACH,FL,NDIR,92.0,28.919722222222223,81.31866666666666,C,102 JAMZ,483.0,"Audacy License, LLC",Classic Hip-Hop,
106.1,WJNX-FM,OKEECHOBEE,FL,NDIR,12.5,27.221666666666664,80.86805555555554,C3,LA LEY TREASURE COAST 106.1 / 95.1,85.0,"BMZ BROADCASTING, LLC",Regional Mexican,
95.7,WPFH-LP,PORT CHARLOTTE,FL,NDIR,0.1,26.980444444444444,82.06763888888888,LP100,,30.0,PORT CHARLOTTE EDUCATIONAL BROADCASTING FOUNDATION,Religious,
107.9,WPFM,PANAMA CITY,FL,NDIR,54.0,30.352416666666667,85.39102777777778,C1,K-LOVE,386.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
