frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
96.7,WCCX-LP,BISHOP,GA,NDIR,0.04,33.79138888888889,83.42972222222222,LP100,RADIO CROSS COUNTRY,47.0,"All for One Educational Media, Inc.",Country,
103.7,WFAG-LP,VALDOSTA,GA,NDIR,0.1,30.870833333333334,83.28027777777778,LP100,,30.0,VALDOSTA ALLIANCE INC,,
91.5,WJGS,NORWOOD,GA,DRL,3.0,33.503972222222224,82.7701111111111,A,JOY CHRISTIAN RADIO,70.0,The Power Foundation,Talk,
102.1,WNGA-LP,TALKING ROCK,GA,NDIR,0.1,34.47063888888889,84.43269444444445,LP100,,21.0,"Canton Pickens Radio, Inc.",Gospel Music,
99.3,WNMR,Pembroke,GA,NDIR,100.0,32.15094444444444,81.74780555555556,C1,,124.0,,,
87.7,WTBS-LD,ATLANTA,GA,NDIR,1.5,33.74469444444445,84.35991666666666,,LA QUE BUENA,,"PRISM BROADCASTING NETWORK, INC.",Regional Mexican,
105.3,WWPW-FM1,BOWDON,GA,DRL,18.0,33.59477777777778,84.53444444444445,C1,,,iHeartMedia,,
88.1,W201CC,BUFORD,GA,NDIR,0.019,34.10566666666667,83.93019444444445,D,CSN INTERNATIONAL,66.0,CSN INTERNATIONAL,Religious Teaching,Atlanta
88.1,W201DJ,DOUGLAS,GA,NDIR,0.013,31.54575,82.89152777777778,D,RADIO BY GRACE,102.3,"RADIO BY GRACE, INC.",Religious Teaching,
88.1,W201DM,WOODSTOCK,GA,NDIR,0.009,34.06647222222222,84.45380555555556,D,CSN INTERNATIONAL,232.9,CSN INTERNATIONAL,Religious Teaching,Atlanta
88.5,W203BO,ATHENS,GA,NDIR,0.019,33.99316666666667,83.41544444444445,D,CSN INTERNATIONAL,88.3,CSN INTERNATIONAL,Religious Teaching,
88.5,W203BY,WARNER ROBINS,GA,DRL,0.019,32.60736111111111,83.60213888888889,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,Macon
88.7,W204CM,WAYCROSS,GA,NDIR,0.038,31.19325,82.32288888888888,D,RADIO BY GRACE,,"RADIO BY GRACE, INC.",Religious Teaching,
89.1,W206AT,SAVANNAH,GA,NDIR,0.027,32.05741666666666,81.14622222222224,D,CSN INTERNATIONAL,91.4,CSN INTERNATIONAL,Religious Teaching,Savannah
89.1,W206BP,DUBLIN,GA,NDIR,0.038,32.522666666666666,82.89986111111112,D,RADIO BY GRACE,64.8,"RADIO BY GRACE, INC.",Religious Teaching,
89.3,W207CH,BLUE RIDGE,GA,NDIR,0.01,34.906166666666664,84.36991666666665,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
89.7,W209CD,ATLANTA,GA,DRL,0.01,33.74483333333333,84.35991666666666,D,RADIO BY GRACE,,"RADIO BY GRACE, INC.",Religious Teaching,Atlanta
89.7,W209CG,TALLAPOOSA,GA,NDIR,0.01,33.972055555555556,84.50244444444445,D,RADIO BY GRACE,170.3,"RADIO BY GRACE, INC.",Religious Teaching,Atlanta
90.1,W211CG,MACON,GA,NDIR,0.01,32.89666666666667,83.53472222222221,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,Macon
