frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
88.3,KKOI,KAHULUI,HI,DRL,5.2,20.702083333333334,156.36219444444444,C3,,133.0,"Advanced Public Radio, Inc.",,
105.3,KHNU,KEAAU,HI,NDIR,28.0,19.71861111111111,155.4536111111111,C2,LAVA 105,28.0,RESOANTE HAWAII LLC,Adult Hits,
106.9,KOAH,KAWAIHAE,HI,NDIR,4.5,19.04663888888889,155.66358333333335,C1,THE BEACH,104.0,RESONATE HAWAII LLC,Adult Contemporary,
107.7,KOPI,VOLCANO,HI,NDIR,25.5,19.71861111111111,155.4536111111111,C2,KOA COUNTRY 107,28.0,RESOANTE HAWAII LLC,Country,
88.1,K201FQ,HILO,HI,NDIR,0.23,19.696666666666665,155.0513888888889,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
88.5,K203EL,"HALEIWA, ETC.",HI,NDIR,0.25,21.327083333333334,157.75391666666667,D,HPR 1,,"HAWAII PUBLIC RADIO, INC.",News/Talk/Variety,
88.7,K204GM,HILO,HI,NDIR,0.25,19.729166666666664,155.0227777777778,D,K-LOVE,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
88.9,K205EB,LANAI CITY,HI,DRL,0.01,20.803222222222225,156.86413888888887,D,CSN INTERNATIONAL,842.0,CSN INTERNATIONAL,Religious Teaching,
88.9,K205FM,HONOLULU,HI,NDIR,0.01,21.401555555555554,158.09808333333334,D,K-LOVE,,"KEKAHU FOUNDATION, INC.",Contemporary Christian,Honolulu
89.1,K206EJ,KAILUA KONA,HI,NDIR,0.01,19.72083333333333,155.9211111111111,D,EFFECT RADIO,,CSN INTERNATIONAL,Christian CHR + Rock,
90.3,K212FS,KIHEI,HI,NDIR,0.01,20.705972222222222,156.26077777777778,D,EFFECT RADIO,,CSN INTERNATIONAL,Christian CHR + Rock,
100.3,KAPA-FM1,PUUEO,HI,OTS,7.1,19.00197222222222,155.67413888888888,D,KAPA,,"PACIFIC RADIO GROUP, INC.",Hawaiian,
90.3,K212GE,LIHUE,HI,NDIR,0.05,22.004722222222224,159.36055555555555,D,EFFECT RADIO,,CSN INTERNATIONAL,Christian CHR + Rock,
90.9,K215EH,KAILUA,HI,NDIR,0.075,21.425555555555558,157.75972222222222,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,Honolulu
91.1,K216FI,HONOLULU,HI,NDIR,0.1,21.275166666666667,157.82197222222223,D,EFFECT RADIO,29.3,CSN INTERNATIONAL,Christian CHR + Rock,Honolulu
91.1,K216GH,WAIALUA,HI,DRL,0.095,21.510444444444445,158.14555555555555,D,KTUH 90.3 HONOLULU,986.8,UNIVERSITY OF HAWAII,Adult Alternative,Honolulu
91.3,K217GE,KIHEI,HI,NDIR,0.01,20.705972222222222,156.26077777777778,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
91.3,K217GG,KALAOA,HI,NDIR,0.01,19.72083333333333,155.9211111111111,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
91.9,K220EO,HILO,HI,DRL,0.25,19.716666666666665,155.13694444444442,D,MOODY RADIO,-140.3,THE MOODY BIBLE INSTITUTE OF CHICAGO,Religious Teaching,
92.7,K224CQ,ANAHOLA,HI,NDIR,0.25,22.182472222222223,159.33302777777777,D,KAUAI COMMUNITY RADIO,31.5,"KEKAHU FOUNDATION, INC.",Variety,
92.7,K224FR,HONOLULU,HI,NDIR,0.25,21.332666666666665,157.8150277777778,D,ESPN HONOLULU 92.7 FM/1420 AM,,"BLOW UP, LLC",Sports,Honolulu
92.9,K225BD,"MAALAEA, ETC.",HI,DRL,0.25,20.800166666666666,156.8613611111111,D,ISLAND SOUNDS,837.5,"PACIFIC RADIO GROUP, INC.",Hawaiian,
94.3,K232FL,HONOLULU,HI,NDIR,0.25,21.332666666666665,157.8150277777778,D,THE ANSWER AM 690 94.3 FM,,"SALEM MEDIA OF HAWAII, INC.",News/Talk,Honolulu
94.5,K233DC,KAILUA,HI,NDIR,0.25,19.72138888888889,155.9163888888889,D,,,EDUCATIONAL MEDIA FOUNDATION,,
94.9,K235CN,WAIMEA,HI,NDIR,0.01,19.883111111111113,155.65605555555555,D,HPR 1,,"HAWAII PUBLIC RADIO, INC.",News/Talk/Variety,
95.1,K236CR,HONOLULU,HI,NDIR,0.25,21.332666666666665,157.8150277777778,D,"KGU AM, K236CR HONOLULU IS THE HAWAII SPORTS RADIO NETWORK",,"SALEM MEDIA OF HAWAII, INC.",Sports,Honolulu
95.7,K239BV,WAIMEA,HI,NDIR,0.11,19.72083333333333,155.9211111111111,D,HPR 1,,"HAWAII PUBLIC RADIO, INC.",News/Talk/Variety,
96.5,K243BY,HONOKAWAI,HI,DRL,0.08,20.803083333333333,156.86419444444445,D,KA'OI FM,,"VISIONARY RELATED ENTERTAINMENT, INC",Classic Rock,
96.7,K244AG,MAUI,HI,DRL,0.25,20.63513888888889,156.3863333333333,D,NEWSTALK AND SPORTS,407.0,"VISIONARY RELATED ENTERTAINMENT, INC.",Talk/Sports,
96.7,K244EO,HONOLULU,HI,NDIR,0.25,21.332916666666666,157.81475,D,SHAKA 96.7,,"HOCHMAN -MCCANN HAWAII, INC.",Ethnic,Honolulu
97.1,K246BR,HONOLULU,HI,NDIR,0.25,21.332916666666666,157.81475,D,HOT 97 DOT ONE,512.1,"HOCHMAN HAWAII-THREE, INC.",Classic Hip-Hop,Honolulu
97.7,K249EH,"HONOKOWA, ETC.",HI,DRL,0.1,20.800166666666666,156.8613611111111,D,KA'OI FM,837.5,"VISIONARY RELATED ENTERTAINMENT, INC.",Classic Rock,
97.9,K250CC,KIHEI,HI,DRL,0.15,20.709166666666665,156.26361111111112,D,THE SPIRIT OF MAUI,,VISIONARY RELATED ENTERTAINMENT.INC,Ethnic,
98.5,K253CR,HILO,HI,NDIR,0.25,19.780833333333334,155.0875,D,HILO`S NEWS SPORTS & INFORMATION STATION,,NEW WEST BROADCASTING CORPORATION,News/Talk/Sports,
98.7,K254CS,KIHEI,HI,DRL,0.25,20.705972222222222,156.26077777777778,D,NEWSTALK AND SPORTS,,"VISIONARY RELATED ENTERTAINMENT, INC",Talk/Sports,
99.1,K256AS,HONOLULU,HI,NDIR,0.25,21.31372222222222,157.86191666666667,D,STAR 99.1,31.7,iHeartMedia,Adult Alternative,Honolulu
99.3,K257CQ,"KAHULUI, ETC.",HI,DRL,0.25,20.800166666666666,156.8613611111111,D,KISS FM,837.5,"PACIFIC RADIO GROUP, INC.",Adult Contemporary,
99.3,K257GV,HILO,HI,NDIR,0.25,19.589027777777776,155.12391666666667,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
100.7,K264BL,HONOLULU,HI,NDIR,0.099,21.327083333333334,157.75391666666667,D,KTUH 90.3,667.9,"HAWAII PUBLIC RADIO, INC",Adult Alternative,
101.3,K267BW,KAPAA,HI,NDIR,0.25,21.974916666666665,159.49580555555553,D,SUNNY 101.3,,GEORGE HOCHMAN,Classic Hits,
101.5,K268BE,HONOLULU,HI,NDIR,0.25,21.332916666666666,157.81475,D,K-ROCK,512.1,"HOCHMAN HAWAII-THREE, INC.",Rock,Honolulu
101.7,K269FL,KAHULUI,HI,DRL,0.25,20.800166666666666,156.8613611111111,D,HI 92.5,837.5,"PACIFIC RADIO GROUP, INC.",Hawaiian,
101.7,K269GD,MOLOA'A,HI,DRL,0.08,22.223305555555555,159.39552777777777,D,HPR 1,74.6,"KEKAHU FOUNDATION, INC.",News/Talk/Variety,
102.3,K272GC,HONOLULU,HI,NDIR,0.099,21.332,157.89097222222222,D,NBC SPORTS RADIO AM 1500,,"BLOW UP, LLC",Sports,Honolulu
102.5,K273DN,KAHULUI,HI,DRL,0.099,20.772333333333332,156.24438888888886,D,ESPN MAUI,,"PACIFIC RADIO GROUP, INC.",Sports,
103.3,K277AW,NAPILI,HI,DRL,0.125,20.800166666666666,156.8613611111111,D,"Q103, THE RHYTHM OF THE ISLANDS",837.5,"VISIONARY RELATED ENTERTAINMENT, INC.",Hawaiian,
103.3,K277AX,PAIA,HI,NDIR,0.02,20.878722222222223,156.51522222222223,D,"Q103,  THE RHYTHM OF THE ISLANDS",-1.4,"VISIONARY RELATED ENTERTAINMENT, INC.",Hawaiian,
103.9,K280EZ,PRINCEVILLE,HI,NDIR,0.008,22.22197222222222,159.4963611111111,D,THE SURF 95.9,-162.5,"PACIFIC RADIO GROUP, INC.",Hawaiian,
103.9,K280FC,WAIPAHU,HI,NDIR,0.25,21.332944444444443,157.81475,D,,580.8,"Relevant Radio, Inc.",Talk,Honolulu
104.5,K283CQ,LIHUE,HI,NDIR,0.25,21.991944444444446,159.40583333333333,D,KUAI AM 570 & 104.5 FM,,"PACIFIC RADIO GROUP, INC.",Country,
104.5,K283CR,WAIMEA,HI,DRL,0.1,19.883111111111113,155.65605555555555,D,HPR 2,,"HAWAII PUBLIC RADIO, INC.",News/Talk/Jazz,
104.7,K284AL,HONOLULU,HI,DRL,0.099,21.404722222222222,158.10083333333333,D,103.9 THE X,,"Hochman Hawaii Two, Inc.",Rock,Honolulu
105.5,K288FB,HONOLULU,HI,NDIR,0.25,21.3975,158.10027777777776,D,K-LOVE,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Honolulu
105.5,K288GJ,ELEELE,HI,NDIR,0.06,21.911305555555554,159.5280277777778,D,KONG FM 93.5,,"PACIFIC RADIO GROUP, INC.",Contemporary Hit Radio,
105.5,K288HK,HANALEI,HI,DRL,0.25,22.213916666666666,159.47858333333335,D,KONG FM 93.5,,"PACIFIC RADIO GROUP, INC.",Contemporary Hit Radio,
106.1,K291CZ,WAILUKU,HI,DRL,0.25,20.772333333333332,156.24438888888886,D,K-COUNTRY FM 106.1 AND AM 550,,"PACIFIC RADIO GROUP, INC.",Country,
106.3,K292HM,HONOLULU,HI,NDIR,0.022,21.33202777777778,157.89094444444444,D,KEI-ZU,,"POLYNESIAN BROADCASTING, INC.",Ethnic,Honolulu
107.1,K296GD,"WAILUKU, ETC.",HI,DRL,0.25,20.800166666666666,156.8613611111111,D,DA JAM 98.3,829.5,"PACIFIC RADIO GROUP, INC.",Rhythmic CHR,
107.5,K298BA,HONOLULU,HI,NDIR,0.25,21.332916666666666,157.81475,D,JAZZY 107.5,512.1,"HOCHMAN HAWAII-THREE, INC.",Jazz,Honolulu
107.9,K300AT,KALAHEO,HI,NDIR,0.25,21.974916666666665,159.49580555555553,D,107.9 THE X,524.2,"HOCHMAN HAWAII TWO, INC.",Rock,
99.1,KAGB,WAIMEA,HI,NDIR,7.3,19.72111111111111,155.92083333333332,C0,KAPA,911.7,"PACIFIC RADIO GROUP, INC.",Hawaiian,
91.3,KAHU,PAHALA,HI,NDIR,18.0,19.520555555555553,155.29944444444445,C2,HPR 2,219.8,"HAWAII PUBLIC RADIO, INC.",News/Talk/Jazz,
91.3,KAHU-FM2,PAHALA,HI,DRL,0.03,19.19697222222222,155.47886111111112,D,HPR 2,,"HAWAII PUBLIC RADIO, INC.",News/Talk/Jazz,
95.5,KAIM-FM,HONOLULU,HI,DRL,100.0,21.392666666666667,158.09669444444447,C,95.5 THE FISH,565.0,Educational Media Foundation,Contemporary Christian,Honolulu
88.5,KAKU-LP,KAHULUI,HI,NDIR,0.1,20.88427777777778,156.4555,LP100,,-169.0,"MAUI COUNTY COMMUNITY TELEVISION, INC.",Variety,
89.1,KANO,HILO,HI,NDIR,18.0,19.520555555555553,155.29944444444445,C2,HAWAII PUBLIC RADIO,219.8,"HAWAII PUBLIC RADIO, INC.",News/Talk,
89.1,KANO-FM1,PAHALA,HI,DRL,0.03,19.19697222222222,155.47886111111112,D,HAWAII PUBLIC RADIO,,"HAWAII PUBLIC RADIO, INC.",News/Talk,
89.1,KANO-FM2,OCEAN VIEW ESTATES,HI,DRL,1.0,19.00197222222222,155.67413888888888,D,HAWAII PUBLIC RADIO,,"HAWAII PUBLIC RADIO, INC.",News/Talk,
95.1,KAOI-FM,WAILUKU,HI,NDIR,3.5,20.772055555555553,156.2441111111111,C1,KA'OI FM,933.1,"VISIONARY RELATED ENTERTAINMENT, INC.",Classic Rock,
101.5,KAOY,KEALAKEKUA,HI,NDIR,6.5,19.72083333333333,155.9211111111111,C0,KWXX 94.7 FM - 101.5 FM,909.0,NEW WEST BROADCASTING CORP.,Hawaiian,
100.3,KAPA,HILO,HI,NDIR,35.0,19.835555555555555,155.10916666666665,C2,KAPA,-78.0,"PACIFIC RADIO GROUP, INC.",Hawaiian,
91.9,KAQA,KILAUEA,HI,NDIR,6.0,21.973416666666665,159.4957222222222,C1,KAUAI COMMUNITY RADIO,533.4,"KEKAHU FOUNDATION, INC.",Variety,
91.9,KAQA-FM1,KILAUEA,HI,DRL,0.095,22.223305555555555,159.39552777777777,D,KAUAI COMMUNITY RADIO,80.0,"KEKAHU FOUNDATION, INC.",Variety,
105.3,KBGX-FM2,KAILUA-KONA,HI,DRL,0.16,19.717777777777776,155.92775,D,LAVA 105,,RESOANTE HAWAII LLC,Adult Hits,
105.3,KBGX-FM5,NAALEHU,HI,NDIR,1.0,18.969194444444444,155.6710833333333,D,LAVA 105,,RESOANTE HAWAII LLC,Adult Hits,
100.3,KCCN-FM,HONOLULU,HI,DRL,100.0,21.394333333333332,158.0975277777778,C,FM 100 THE LEGEND,599.0,"SM-KCCN, LLC",Hawaiian,Honolulu
90.3,KCIF,HILO,HI,NDIR,2.0,19.589027777777776,155.12391666666667,A,EFFECT RADIO,15.0,CSN International,Christian Rock,
102.7,KDDB,WAIPAHU,HI,DRL,61.0,21.39377777777778,158.09669444444447,C,102.7 DA BOMB,577.0,"PACIFIC RADIO GROUP, INC.",Contemporary Hit Radio,Honolulu
94.3,KDLX,MAKAWAO,HI,NDIR,2.0,20.772055555555553,156.2441111111111,C1,94 X,933.1,"VISIONARY RELATED ENTERTAINMENT, INC.",Contemporary Hit Radio,
94.3,KDLX-FM1,LAHAINA,HI,DRL,0.1,20.923722222222224,156.69355555555555,D,94 X,,"VISIONARY RELATED ENTERTAINMENT, INC.",Contemporary Hit Radio,
98.5,KDNN,HONOLULU,HI,NDIR,51.0,21.310444444444446,157.85919444444443,C1,ISLAND 98.5,18.0,iHeartMedia,Hawaiian,Honolulu
94.9,KESU-LP,LIHUE,HI,NDIR,0.009,22.004805555555556,159.36058333333332,LP100,,100.1,CALVARY CHAPEL LIHUE,Religious Teaching,
107.3,KFIP-LP,KAILUA-KONA,HI,NDIR,0.1,19.616444444444447,155.94947222222223,LP100,,-201.0,FAITH UP!,Religious Teaching,
96.9,KFMN,LIHUE,HI,OTS,100.0,21.998333333333335,159.42638888888888,C1,FM97,122.0,"Pacific Radio Group, Inc.",Adult Contemporary,
96.9,KFMN-FM1,"WAIMEA, ETC.",HI,OTS,0.027,21.961027777777776,159.66691666666665,D,FM97,,"Pacific Radio Group, Inc.",Adult Contemporary,
99.5,KGU-FM,HONOLULU,HI,DRL,100.0,21.3975,158.10027777777776,C,99.5 THE WORD,599.0,"SALEM MEDIA OF HAWAII, INC.",Religious Teaching,Honolulu
92.7,KHBC,HILO,HI,NDIR,7.5,19.835555555555555,155.10916666666665,C3,THE WAVE @ 92 FM,-78.0,RESONATE HAWAII LLC,Contemporary Hit Radio,
97.5,KHCM-FM,HONOLULU,HI,NDIR,100.0,21.282777777777778,157.83583333333334,C1,COUNTRY 97.5,63.0,"SALEM MEDIA OF HAWAII, INC.",Country,Honolulu
107.5,KHEI-FM,KIHEI,HI,NDIR,0.75,20.772055555555553,156.2441111111111,C2,BUZZ 107.5,955.0,"VISIONARY RELATED ENTERTAINMENT, INC.",Classic Hits,
107.5,KHEI-FM1,LAHAINA,HI,DRL,0.1,20.923722222222224,156.69355555555555,D,BUZZ 107.5,,"VISIONARY RELATED ENTERTAINMENT, INC.",Classic Hits,
88.9,KHJC,LIHUE,HI,NDIR,2.0,22.004722222222224,159.36055555555555,A,CSN INTERNATIONAL,109.9,CSN INTERNATIONAL,Religious Teaching,
94.3,KHKU,HANAPEPE,HI,NDIR,2.0,21.973416666666665,159.4957222222222,C2,LIFETALK RADIO,533.0,KAUAI BROADCAST PARTNERS LLC,Religious Teaching,
88.7,KHPH,KAILUA,HI,NDIR,6.5,19.72083333333333,155.9211111111111,C0,HPR 1,931.5,"Hawaii Public Radio, Inc.",News/Talk/Variety,
88.1,KHPR,HONOLULU,HI,DRL,39.0,21.33347222222222,157.81475,C0,HPR-1,514.0,"HAWAII PUBLIC RADIO, INC.",News/Classical,Honolulu
88.1,KHPR-FM1,MAKAHA,HI,DRL,4.0,21.510444444444445,158.14555555555555,D,HPR-2,,"HAWAII PUBLIC RADIO, INC.",News/Classical,Honolulu
92.1,KHWI,HOLUALOA,HI,NDIR,4.5,19.72083333333333,155.9211111111111,C1,THE WAVE @ 92 FM,949.0,RESONATE HAWAII LLC,Contemporary Hit Radio,
103.7,KIHL-LP,HILO,HI,NDIR,0.1,19.71361111111111,155.13472222222222,LP100,,0.0,CALVARY CHAPEL HILO,Religious Teaching,
105.1,KINE-FM,HONOLULU,HI,DRL,100.0,21.394333333333332,158.0975277777778,C,HAWAIIAN 105,599.0,"SM-KINE, LLC",Hawaiian,Honolulu
98.9,KIOM-LP,KAUNAKAKAI,HI,NDIR,0.1,21.08736111111111,157.018,LP100,,0.0,KROS Radio Association,Religious Teaching,
88.3,KIPH,HANA,HI,NDIR,0.25,20.750972222222224,156.00475,A,HAWAII PUBLIC RADIO,0.0,"Hawaii Public Radio, Inc.",News/Classical,
89.9,KIPL,LIHUE,HI,NDIR,1.0,21.973416666666665,159.4957222222222,C2,HPR 1,537.4,"Hawaii Public Radio, Inc.",News/Talk,
89.9,KIPL-FM1,KILAUEA,HI,DRL,0.08,22.223305555555555,159.39552777777777,D,HPR 1,,"HAWAII PUBLIC RADIO, INC.",News/Talk,
89.7,KIPM,WAIKAPU,HI,NDIR,14.5,20.70625,156.26077777777778,C,HAWAII PUBLIC RADIO,1752.0,"HAWAII PUBLIC RADIO, INC.",Classical,
89.7,KIPM-FM1,HAIKU,HI,DRL,0.095,20.772055555555553,156.2441111111111,D,,,"HAWAII PUBLIC RADIO, INC.",,
89.3,KIPO,HONOLULU,HI,DRL,38.5,21.33347222222222,157.81475,C0,HAWAII PUBLIC RADIO,514.0,"HAWAII PUBLIC RADIO, INC.",Classical,Honolulu
89.3,KIPO-FM1,MAKAHA,HI,DRL,4.0,21.510444444444445,158.14555555555555,D,HAWAII PUBLIC RADIO,,"HAWAII PUBLIC RADIO, INC.",Classical,Honolulu
98.9,KITH,KAPAA,HI,NDIR,0.45,21.974916666666665,159.49580555555553,C3,ISLAND RADIO 98.9,510.0,"HOCHMAN HAWAII TWO, INC.",Hawaiian,
103.1,KJHF,KUALAPUU,HI,NDIR,3.4,20.84472222222222,156.9011111111111,C2,,511.0,"HAWAII PUBLIC RADIO, INC.",News/Talk,
99.9,KJKS,KAHULUI,HI,DRL,51.0,20.702083333333334,156.36219444444444,C1,KISS FM,133.0,"PACIFIC RADIO GROUP, INC.",Adult Contemporary,
98.3,KJMD,PUKALANI,HI,DRL,26.0,20.702083333333334,156.36219444444444,C2,DA JAM 98.3,133.0,"PACIFIC RADIO GROUP, INC.",Rhythmic CHR,
98.1,KJMQ,LIHUE,HI,NDIR,0.45,21.974916666666665,159.49580555555553,C3,98.1 JAMZ,510.0,"HOCHMAN HAWAII FOUR, INC.",Rhythmic CHR,
97.9,KKBG,HILO,HI,NDIR,51.0,19.835555555555555,155.10916666666665,C1,K-BIG,-19.7,"PACIFIC RADIO GROUP, INC.",Adult Contemporary,
90.9,KKCR,HANALEI,HI,NDIR,0.9,22.213916666666666,159.47858333333335,A,KAUAI COMMUNITY RADIO,-94.0,"KEKAHU FOUNDATION, INC.",Variety,
100.9,KKFJ-LP,KAILUA-KONA,HI,NDIR,0.072,19.609805555555557,155.97497222222222,LP100,,0.0,GREEN PETER ECLECTIC TUNEZ,Variety,
95.9,KKHI,KAUNAKAKAI,HI,NDIR,3.0,20.841694444444443,156.89830555555554,C2,K-LOVE,516.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
107.7,KKOA-FM3,KAILUA-KONA,HI,DRL,0.1,19.717777777777776,155.92775,D,KOA COUNTRY 107,,RESOANTE HAWAII LLC,Country,
102.7,KKOA,KURTISTOWN,HI,NDIR,15.0,19.591944444444444,155.12666666666667,C3,THE BEACH,26.2,RESONATE HAWAII LLC,Adult Contemporary,
107.7,KKOA-FM1,HILO,HI,NDIR,1.0,19.589444444444442,155.1238888888889,D,KOA COUNTRY 107,,RESOANTE HAWAII LLC,Country,
107.7,KKOA-FM5,NAALEHU,HI,NDIR,1.0,18.969194444444444,155.6710833333333,D,KOA COUNTRY 107,,RESOANTE HAWAII LLC,Country,
107.9,KKOL-FM,AIEA,HI,DRL,100.0,21.394333333333332,158.0975277777778,C,HONOLULU'S DECADES 107.9,599.0,"SALEM MEDIA OF HAWAII, INC.",Classic Hits,Honolulu
90.7,KKUA,WAILUKU,HI,NDIR,14.5,20.70625,156.26077777777778,C,HAWAII PUBLIC RADIO,1752.0,"HAWAII PUBLIC RADIO, INC.",News/Talk/Variety,
90.7,KKUA-FM1,HANA,HI,NDIR,0.2,20.750972222222224,156.00475,D,HAWAII PUBLIC RADIO,,"Hawaii Public Radio, Inc.",News/Talk/Variety,
90.7,KKUA-FM2,HAIKU,HI,DRL,0.095,20.772055555555553,156.2441111111111,D,HAWAII PUBLIC RADIO,,"HAWAII PUBLIC RADIO, INC.",News/Talk/Variety,
