frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
94.1,K231DI,DES MOINES,IA,DRL,0.14,41.63472222222222,93.57913888888889,D,STUDIO ONE,,"Iowa Public Radio, Inc.",Adult Alternative,
94.3,K232GF,FORT MADISON,IA,NDIR,0.25,40.71502777777778,91.45736111111111,D,,,DIVINE MERCY EDUCATIONAL RADIO ASSOCIATION,Religious Teaching,
94.3,K232GG,GRUNDY CENTER,IA,DRL,0.23,42.35333333333333,92.88472222222222,D,OLDIES 1190,,"MTN BROADCASTING, INC.",Oldies,
105.3,KIHC-FM,CHARITON,IA,NDIR,34.0,40.88972222222222,93.02491666666667,C2,IOWA CATHOLIC RADIO NETWORK,182.0,St. Gabriel Communications,Religious Teaching,
89.7,KJGA,OSAGE,IA,DRL,25.0,43.364444444444445,92.85138888888888,C3,,85.0,Minn-Iowa Christian Broadcasting Inc.,,
90.5,KJWC,Hampton,IA,NDIR,25.0,42.56319444444444,92.95625,C3,,72.0,Minn-Iowa Christian Broadcasting,,
88.9,KKSO,MITCHELLVILLE,IA,DRL,1.0,41.668055555555554,93.32880555555555,A,STUDIO ONE,72.0,"Iowa Public Radio, Inc.",Adult Alternative,
89.5,KMHV,Kalona,IA,DRL,5.5,41.487944444444445,91.68191666666667,A,,56.0,Mary's Holy Voice,,
103.9,KVPG,DUNKERTON,IA,NDIR,14.0,42.513555555555556,92.47333333333333,C3,,65.0,"VCY America, Inc.",,
94.7,KVPJ,Rockford,IA,NDIR,3.1,43.11236111111111,92.92972222222222,A,VCY AMERICA,65.0,"VCY America, Inc.",Religious Teaching,
89.1,K206BW,ADEL,IA,NDIR,0.094,41.6025,94.04883333333333,D,EFFECT RADIO,45.7,CSN INTERNATIONAL,Christian CHR + Rock,Des Moines
89.1,K206DW,CRESTON,IA,NDIR,0.17,41.113055555555555,94.35024999999999,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
89.1,K206ED,LE MARS,IA,NDIR,0.11,42.72441666666667,96.29166666666667,D,RADIO BY GRACE,64.6,247 Media Ministries,Religious Teaching,
89.3,K207EX,MARSHALLTOWN,IA,NDIR,0.25,42.005833333333335,92.89408333333334,D,BIBLE BROADCASTING NETWORK,74.9,"BIBLE BROADCASTING NETWORK, INC.",Religious Teaching,
89.5,K208DS,CHEROKEE,IA,NDIR,0.226,42.748305555555554,95.55194444444444,D,CSN INTERNATIONAL,-35.0,CSN INTERNATIONAL,Religious Teaching,
89.7,K209FW,AMES,IA,NDIR,0.027,42.02163888888889,93.58272222222222,D,FAMILY RADIO,,EDUCATIONAL MEDIA FOUNDATION,Religious Teaching,Des Moines
89.9,K210CG,SPIRIT LAKE,IA,NDIR,0.25,43.404111111111106,95.06247222222223,D,LIFE-FM,66.2,UNIVERSITY OF NORTHWESTERN - ST. PAUL,Contemporary Christian,
90.3,K212GH,OTTUMWA,IA,NDIR,0.25,41.017805555555555,92.41130555555556,D,FAMILY RADIO,,EDUCATIONAL MEDIA FOUNDATION,Religious Teaching,
90.5,K213DV,PLEASANT HILL,IA,NDIR,0.062,41.58888888888889,93.53827777777778,D,K-LOVE,169.2,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Des Moines
90.7,K214BA,"MASON CITY, ETC.",IA,DRL,0.273,43.14633333333333,93.28908333333334,D,,66.0,"Iowa Public Radio, Inc.",Classical,
90.7,K214BC,BURLINGTON,IA,NDIR,0.009,40.82308333333334,91.11097222222222,D,AMERICAN FAMILY RADIO,31.0,OAK STREET BAPTIST CHURCH,Religious Teaching,
90.9,K215FN,DES MOINES,IA,NDIR,0.05,41.63472222222222,93.5791111111111,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,Des Moines
91.3,K217FT,WATERLOO,IA,NDIR,0.14,42.44583333333333,92.37491666666666,D,AIR1,123.8,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Waterloo-Cedar Falls
91.5,K218CE,MARSHALLTOWN,IA,NDIR,0.08,42.0225,92.99936111111111,D,CSN INTERNATIONAL,42.0,CSN INTERNATIONAL,Religious Teaching,
91.5,K218EA,OTTUMWA,IA,NDIR,0.066,41.01475,92.40908333333334,D,RADIO BY GRACE,,247 Media Ministries,Religious Teaching,
91.9,K220HO,SIOUX CITY,IA,DRL,0.17,42.514694444444444,96.30194444444444,D,REJOICE RADIO,92.0,"PENSACOLA CHRISTIAN COLLEGE, INC.",Religious Teaching,Sioux City
91.9,K220HY,SPENCER,IA,NDIR,0.25,43.14438888888889,95.15080555555556,D,LIFE-FM,36.0,UNIVERSITY OF NORTHWESTERN - ST. PAUL,Contemporary Christian,
92.5,K223AB,MASON CITY,IA,NDIR,0.225,43.11855555555556,93.23963888888889,D,,84.0,"MINN-IOWA CHRISTIAN BROADCASTING, INC.",Contemporary Christian,
92.5,K223DA,BELLEVUE,IA,NDIR,0.25,42.26261111111111,90.43008333333334,D,1320 COUNTRY RADIO,,MAQUOKETA BROADCASTING COMPANY,Country,
92.9,K225BP,DES MOINES,IA,NDIR,0.205,41.67916666666667,93.59633333333333,D,,,CSN INTERNATIONAL,,Des Moines
92.9,K225BZ,WEBSTER CITY,IA,NDIR,0.25,42.46775,93.79688888888889,D,THE BREEZE 92.9 FM 1570 AM,,"FIELDVIEW BROADCASTING, LLC",Oldies,
93.1,K226BO,CEDAR RAPIDS,IA,NDIR,0.25,42.0325,91.67361111111111,D,CLASSIC KMRY,100.1,ECKER BROADCASTING CO.,Classic Hits,Cedar Rapids
93.1,K226CK,WATERLOO,IA,NDIR,0.25,42.44583333333333,92.37491666666666,D,FAITH 93.1,,UNIVERSITY OF NORTHWESTERN ST. PAUL,Religious Teaching,Waterloo-Cedar Falls
93.3,K227DO,KEOKUK,IA,NDIR,0.25,40.380833333333335,91.35222222222221,D,93.3 & 1310 KOKX,,"KEOKUK BROADCASTING, INC.",Country,
93.7,K229CC,DES MOINES,IA,NDIR,0.25,41.59305555555556,93.63022222222222,D,93.7 THE OUTLAW,,"SAGA COMMUNICATIONS OF IOWA, LLC",Country,Des Moines
93.9,K230CB,MARSHALLTOWN,IA,NDIR,0.25,42.0225,92.99944444444445,D,NEWS TALK 1230 KFJB,,"TRENDING MEDIA, INC.",News/Talk/Sports,
94.3,K232FR,INDIANOLA,IA,DRL,0.23,41.36163888888889,93.56130555555555,D,TRUE COUNTRY,,"M AND H BROADCASTING, INC.",Country,Des Moines
94.3,K232FX,DALLAS CENTER,IA,DRL,0.25,41.683055555555555,93.9588888888889,D,,,"M and H Broadcasting, Inc.",Classic Hits,Des Moines
94.5,K233AA,DAVENPORT,IA,NDIR,0.17,41.51002777777778,90.57455555555555,D,,93.0,"Iowa Public Radio, Inc.",News/Talk/Adult Alternative,Quad Cities
94.5,K233BT,DES MOINES,IA,DRL,0.25,41.59305555555556,93.63027777777778,D,IOWA CATHOLIC RADIO,,ST. GABRIEL COMMUNICATIONS,Religious Teaching,Des Moines
94.7,K234BK,BRITT,IA,NDIR,0.25,43.26358333333334,93.63394444444445,D,,41.6,"MINN-IOWA CHRISTIAN BROADCASTING, INC.",Contemporary Christian,
94.9,K235CA,SIOUX CITY,IA,NDIR,0.25,42.494166666666665,96.41530555555556,D,THE VOICE OF SIOUX CITY,,"KSUX/KSCJ RADIO BROADCASTING COMPANY, INC.",News/Talk,Sioux City
94.9,K235CT,DECORAH,IA,DRL,0.25,43.28691666666666,91.88433333333334,D,,,"LA Communications, Inc.",Adult Contemporary,
95.1,K236AA,CEDAR RAPIDS,IA,NDIR,0.23,41.909166666666664,91.65488888888889,D,SMART FM,,"KZIA, INC.",80'S Hits,Cedar Rapids
95.1,K236CF,MUSCATINE,IA,DRL,0.25,41.44280555555555,91.07597222222222,D,VOICE OF MUSCATINE,,"Jeffrey T. Testa, Trustee of JAM Media Solutions, LLC",News/Talk,
95.1,K236CV,CARROLL,IA,NDIR,0.198,42.04913888888888,94.88444444444445,D,KCIM 1380 AM,,CARROLL BROADCASTING COMPANY,Classic Hits,
95.3,K237DH,KNOXVILLE,IA,NDIR,0.25,41.333333333333336,93.11213888888888,D,TRUE COUNTRY 1320 AM/95.3 FM,,"M AND H BROADCASTING, INC.",Country,Des Moines
95.3,K237FP,DAVENPORT,IA,NDIR,0.205,41.54666666666667,90.46555555555555,D,,,DAVENPORT EDUCATIONAL ASSOCIATION,Religious Teaching,Quad Cities
95.3,K237GC,DES MOINES,IA,NDIR,0.25,41.638888888888886,93.80744444444444,D,KISS 107.5,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Hit Radio,Des Moines
95.3,K237GD,IOWA CITY,IA,NDIR,0.25,41.65822222222222,91.54497222222221,D,,,"Iowa Public Radio, Inc.",News/Talk/Adult Alternative,
95.7,K239CR,INDIANOLA,IA,NDIR,0.25,41.555972222222216,93.60130555555556,D,QUE BUENA 106.9,,BIRACH BROADCASTING CORPORATION,Regional Mexican,Des Moines
95.9,K240DE,SIOUX CITY,IA,NDIR,0.205,42.494166666666665,96.41530555555556,D,RADIO BY GRACE,80.0,247 Media Ministries,Religious Teaching,Sioux City
95.9,K240DZ,DUBUQUE,IA,NDIR,0.153,42.49644444444444,90.68583333333333,D,QUAD CITIES NPR,47.9,AUGUSTANA COLLEGE,News/Classical,
96.3,K242AM,NEWELL,IA,NDIR,0.25,42.60775,95.0063611111111,D,KNOW JESUS YOUR LORD,45.0,"MINN-IOWA CHRISTIAN BROADCASTING, INC.",Contemporary Christian,
96.3,K242BW,DECORAH,IA,NDIR,0.115,43.28691666666666,91.88433333333334,D,MPR NEWS,116.6,MINNESOTA PUBLIC RADIO,News/Talk,
96.3,K242BX,MARSHALLTOWN,IA,NDIR,0.25,42.04775,92.91158333333334,D,LIFE 101.9,29.1,UNIVERSITY OF NORTHWESTERN-ST. PAUL,Contemporary Christian,
96.3,K242CV,WAVERLY,IA,DRL,0.25,42.70136111111111,92.47322222222222,D,K-WAY COUNTRY 1470 AND 96.3 FM,,"AEL SUHR ENTERPRISES, INC",Country,Waterloo-Cedar Falls
96.5,K243CO,BOONE,IA,DRL,0.25,41.80027777777777,93.60777777777777,D,LA REINA 96.5 FM-1260 AM,,"LATIN WORLD BROADCASTING, INC.",Regional Mexican,Des Moines
96.7,K244FA,MASON CITY,IA,NDIR,0.25,43.13744444444444,93.25852777777777,D,AMERICA'S BEST MUSIC KRIB-AM 1490,,Alpha 3E Licensee LLC,Adult Standards,
96.7,K244FQ,ELKADER,IA,NDIR,0.25,42.884972222222224,91.31986111111111,D,TODAY'S HITS AND YESTERDAY'S FAVORITES,,DESIGN HOMES,Adult Contemporary,
96.9,K245AM,LE MARS,IA,NDIR,0.1,42.81777777777778,96.16336111111112,D,KLEM 1410 & 96.9FM,65.0,"POWELL BROADCASTING COMPANY, L.L.C.",Adult Contemporary,
96.9,K245AZ,DUBUQUE,IA,NDIR,0.17,42.50333333333333,90.74847222222222,D,LIFE 101.9,88.2,UNIVERSITY OF NORTHWESTERN ST. PAUL,Contemporary Christian,
96.9,K245CO,MILLMAN,IA,NDIR,0.25,41.584722222222226,93.64161111111112,D,96.9 THE BULL,,iHeartMedia,Country,Des Moines
97.1,K246CJ,SIOUX CITY,IA,DRL,0.25,42.53777777777778,96.44975000000001,D,"LA FIESTA 97,1",,"LA FIESTA 971, LLC",Regional Mexican,Sioux City
97.3,K247BW,BETTENDORF,IA,NDIR,0.04,41.63280555555556,90.41069444444445,D,,89.6,UNIVERSITY OF NORTHWESTERN - ST. PAUL,Contemporary Christian,Quad Cities
97.3,K247CJ,ESTHERVILLE,IA,NDIR,0.15,43.42966666666666,94.82305555555556,D,KILR NEWS-TALK AM 1070,,"Beaver Broadcasting, Inc.",News/Talk,
97.5,K248CE,DAVENPORT,IA,NDIR,0.075,41.500861111111114,90.67347222222223,D,AIR1,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Quad Cities
97.7,K249DO,CLINTON,IA,NDIR,0.17,41.84725,90.23041666666667,D,AIR1,101.4,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
97.7,K249EJ,DES MOINES,IA,NDIR,0.25,41.58388888888889,93.64161111111112,D,NEWS & STUDIO ONE,,"Iowa Public Radio, Inc.",News/Talk,Des Moines
97.7,K249EO,SPIRIT LAKE,IA,DRL,0.25,43.61494444444445,94.96361111111112,D,TRUE COUNTRY 97.7 - 1190,98.5,"COMMUNITY FIRST BROADCASTING, LLC",Country,
97.9,K250BC,AMES,IA,NDIR,0.17,42.03830555555555,93.68161111111111,D,K-LOVE,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Des Moines
97.9,K250BU,BETTENDORF,IA,NDIR,0.14,41.60369444444444,90.43469444444445,D,AIR1,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Quad Cities
98.3,K252EX,SPENCER,IA,NDIR,0.25,43.16580555555555,95.1463888888889,D,PURE OLDIES SPENCER 98-3 AND 98-5 SPIRIT LAKE,,"SAGA COMMUNICATIONS OF IOWA, LLC",Oldies,
98.5,K253BE,IOWA CITY,IA,NDIR,0.25,41.68391666666666,91.50877777777778,D,SMART FM,,"KZIA, INC.",80'S Hits,
98.5,K253BJ,ALGONA,IA,NDIR,0.25,43.06802777777778,94.20247222222223,D,,,"A2Z Broadcasting, LLC",Country,
98.5,K253CN,MOUNT PLEASANT,IA,NDIR,0.25,40.94863888888889,91.56516666666667,D,KJ COUNTRY,,"KILJ, INC.",Country,
98.5,K253CV,SPIRIT LAKE,IA,NDIR,0.25,43.40402777777778,95.06244444444444,D,PURE OLDIES SPENCER 98-3 AND 98-5 SPIRIT LAKE,,"SAGA COMMUNICATIONS OF IOWA, LLC",Oldies,
98.7,K254DL,SIOUX CITY,IA,NDIR,0.25,42.50216666666667,96.40363888888889,D,LA PRECIOSA 98.7 FM AND 1470 AM,,iHeartMedia,Adult Hits,Sioux City
99.1,K256CS,WAUKON,IA,NDIR,0.25,43.30775,91.4551388888889,D,99-1 THE RIVER,,"LA Communications, Inc.",Adult Contemporary,
99.3,K257CH,ESTHERVILLE,IA,NDIR,0.08,43.41383333333333,94.85219444444444,D,LIFE-FM 97.3,53.5,UNIVERSITY OF NORTHWESTERN-ST. PAUL,Contemporary Christian,
99.3,K257GC,BURLINGTON,IA,NDIR,0.25,40.819750000000006,91.11736111111111,D,NEWS RADIO 1490 KBUR,99.3,PRITCHARD BROADCASTING CORPORATION,Talk,
99.5,K258BG,OSKALOOSA,IA,NDIR,0.25,41.32083333333334,92.64575,D,TODAY'S NEWS YESTERDAY'S HITS,,JOMAST CORPORATION,Classic Hits,
99.7,K259AT,BOONE,IA,DRL,0.25,41.834138888888894,94.03688888888888,D,,,"M and H Broadcasting, Inc.",Classic Hits,Des Moines
99.7,K259AV,WATERLOO,IA,NDIR,0.115,42.44583333333333,92.37491666666666,D,,134.8,"FLORIDA PUBLIC RADIO, INC.",Contemporary Christian,Waterloo-Cedar Falls
99.9,K260AM,DES MOINES,IA,DRL,0.25,41.63194444444444,93.45744444444445,D,HITS 99.9,299.4,"SAGA COMMUNICATIONS OF IOWA, LLC",Contemporary Hit Radio,Des Moines
99.9,K260BS,STORM LAKE,IA,NDIR,0.25,42.64691666666667,95.19330555555555,D,K-LOVE,39.4,"COMMUNITY FIRST BROADCASTING, LLC",Contemporary Christian,
100.1,K261DH,IOWA CITY,IA,NDIR,0.047,41.68391666666666,91.50877777777778,D,AIR1,82.3,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
100.1,K261DY,SIOUX CITY,IA,NDIR,0.25,42.49402777777778,96.41530555555556,D,K-LOVE,77.1,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Sioux City
100.5,K263BZ,WATERLOO,IA,NDIR,0.25,42.44583333333333,92.375,D,NEWSTALK 1540,,"NRG LICENSE SUB, LLC",News/Talk,Waterloo-Cedar Falls
100.7,K264CD,DES MOINES,IA,NDIR,0.099,41.59305555555556,93.63022222222222,D,,,UNIVERSITY OF NORTHWESTERN-ST. PAUL,Unknown,Des Moines
100.7,K264CW,SHELDON,IA,NDIR,0.25,43.18136111111111,95.8658611111111,D,ALL TALK,,"Community First Broadcasting, LLC",Talk,
100.9,K265EH,WAVERLY,IA,NDIR,0.14,42.77247222222222,92.37658333333333,D,AIR1,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Waterloo-Cedar Falls
101.1,K266AN,ATLANTIC,IA,NDIR,0.25,41.41722222222222,95.00444444444445,D,KJAN AM 1220 - FM 101.1,80.1,WIRELESS COMMUNICATIONS CORP.,Variety,
101.3,K267CY,DES MOINES,IA,DRL,0.13,41.66277777777778,93.75666666666666,D,1700 KBGG,,Cumulus Media,Talk/Sports,Des Moines
101.5,K268AF,DECORAH,IA,NDIR,0.2,43.344944444444444,91.81125,D,YOUR GOOD NEWS STATION,85.0,"FAITH SOUND, INC.",Contemporary Christian,
101.5,K268CY,CEDAR RAPIDS,IA,NDIR,0.03,42.05947222222222,91.54427777777778,D,LEO 1360,,iHeartMedia,Adult Standards,Cedar Rapids
101.5,K268CZ,SIOUX CENTER,IA,NDIR,0.25,43.09275,96.15697222222222,D,SIOUX RITMO,,"COMMUNITY FIRST BROADCASTING, LLC",Adult Hits,
101.5,K268DI,COUNCIL BLUFFS,IA,DRL,0.175,41.20777777777778,95.90694444444445,D,RADIO THAT CHANGES THE WAY YOU LIVE,,"WILKINS COMMUNICATIONS NETWORK, INC.",Religious Teaching,Omaha-Council Bluffs
101.5,K268DS,BOONE,IA,NDIR,0.25,42.06472222222222,93.88083333333333,D,LOCAL NEWS RADIO AM 1590,,FIELDVIEW BROADCASTING LLC,Talk/Sports,Des Moines
101.5,K268DT,CEDAR FALLS,IA,NDIR,0.25,42.50219444444444,92.34102777777777,D,CRUISIN` 1250 & 105.1 KCFI,,"COLOFF MEDIA, LLC",Oldies,Waterloo-Cedar Falls
