frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
88.7,K204AL,"POCATELLO, ETC.",ID,DRL,0.029,42.873777777777775,112.51386111111111,D,,281.0,FAITH COMMUNICATIONS CORPORATION,Contemporary Christian,
91.9,KCTG,GRANGEVILLE,ID,NDIR,0.061,45.86322222222223,116.12527777777777,A,,709.0,"LifeTalk Radio, Inc.",,
90.9,K215FV,IDAHO FALLS,ID,DRL,0.25,43.35155555555556,112.0068888888889,D,BYU - IDAHO RADIO 94.3,,Brigham Young University-Idaho,Religious,
93.3,K227EA,GRANGEVILLE,ID,DRL,0.25,45.863194444444446,116.12349999999999,D,BIG COUNTRY 92.7,-95.0,"NELLY BROADCASTING IDAHO, LLC",Country,
90.7,KBSP,STANLEY,ID,NDIR,0.205,44.212944444444446,114.93905555555556,A,,-314.0,IDAHO STATE BOARD OF EDUCATION,,
90.3,KBSU,BOISE,ID,NDIR,17.5,43.755722222222225,116.09927777777777,C0,CLASSICAL 24,827.0,IDAHO STATE BOARD OF EDUCATION,Classical,
89.7,KBXC,CHALLIS,ID,NDIR,0.1,44.55247222222222,114.09022222222222,C3,,807.4,IDAHO STATE BOARD OF EDUCATION,,
88.5,KBXM,SALMON,ID,NDIR,0.25,45.1455,114.00519444444444,C3,,845.0,IDAHO STATE BOARD OF EDUCATION,,
90.1,KBXS,SALMON,ID,NDIR,0.25,45.1455,114.00519444444444,C3,,845.0,IDAHO STATE BOARD OF EDUCATION,,
91.3,KBXU,CHALLIS,ID,NDIR,0.1,44.55247222222222,114.09022222222222,C3,,807.4,IDAHO STATE BOARD OF EDUCATION,,
89.1,KBXY,STANLEY,ID,NDIR,0.205,44.212944444444446,114.93905555555556,A,,-314.0,IDAHO STATE BOARD OF EDUCATION,,
88.3,KRIF,ROCKFORD,ID,DRL,10.0,43.50088888888889,112.66308333333333,C1,,441.0,Society of Saint Vincent de Paul Holy Spirit Conference,,
