frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
89.3,W207CS,PONTIAC,IL,NDIR,0.08,40.88638888888889,88.64472222222223,D,CSN INTERNATIONAL,46.9,CSN INTERNATIONAL,Religious Teaching,
95.9,W240EI,HARVEY,IL,DRL,0.25,41.60411111111111,87.67936111111112,D,THE BIG GOSPEL XPRESS 1570 AM,,"Brian Byrnes, Receiver",Urban Gospel,
103.5,W278DE,ROCKFORD,IL,NDIR,0.25,42.26638888888889,89.07294444444445,D,K-LOVE,,,Contemporary Christian,
103.9,W280EM,CHICAGO,IL,NDIR,0.017,41.898916666666665,87.6231111111111,D,STREETZ 95.1,,"Windy City Broadcasting, LLC",Urban Contemporary,
107.9,WDWS-FM,ARCOLA,IL,NDIR,3.6,39.87863888888889,88.19755555555555,A,107.9 THE ROOSTER,130.0,"Champaign Multimedia Group, LLC",Country,
88.9,WLNX,LINCOLN,IL,NDIR,0.225,40.156416666666665,89.36119444444444,A,,21.0,"Independent Baptist Media, Inc.",,
88.3,WQOT,CLINTON,IL,DRL,2.3,40.18694444444444,88.80111111111111,A,,62.0,2820 Communications INC,,
100.3,WTBC-FM,CHICAGO,IL,NDIR,5.7,41.898916666666665,87.6231111111111,B,THROWBACK 100.3,425.0,"Chicago FCC License Sub, LLC",Variety Hits,
89.3,WWJR,TOWER HILL,IL,DRL,5.6,39.30661111111111,88.93266666666668,B1,,155.0,West Central Michigan Media Ministries,,
93.1,WWVL-LP,ALTON,IL,NDIR,0.1,38.88972222222222,90.15666666666667,LP100,,13.0,M&M COMMUNITY DEVELOPMENT (ALTON BRANCH) INC. NFP,,
103.1,WXEC-LP,EUREKA,IL,NDIR,0.071,40.714111111111116,89.26875,LP100,,36.0,Eureka College,,
106.1,WZIE,ABINGDON,IL,NDIR,5.3,40.94277777777778,90.34416666666667,A,,107.0,Galesburg Broadcasting Company,,
88.5,K203EF,MOUNT VERNON,IL,NDIR,0.055,38.332,88.90977777777778,D,CSN INTERNATIONAL,55.6,CSN INTERNATIONAL,Religious Teaching,
103.3,K277CF,QUINCY,IL,NDIR,0.25,39.94158333333333,91.58422222222222,D,TALKRADIO 930,,STARADIO CORP.,Talk/Sports,
105.7,KPNT,COLLINSVILLE,IL,NDIR,54.0,38.57441666666667,90.32552777777778,C1,105.7 THE POINT,254.4,"St. Louis FCC License Sub, LLC",Rock,St. Louis
93.9,KQCJ,CAMBRIDGE,IL,NDIR,4.2,41.38225,90.17983333333333,A,PLANET 93.9,120.0,VIRDEN BROADCASTING CORP.,Rock,Quad Cities
