frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
100.3,HIFK-FM-04,JIMANI,IN,,0.153,18.493750000000002,71.84913888888889,C,RADIO AMANECER,36.3,,Religious,
88.3,WCKO,KOKOMO,IN,NDIR,0.54,40.50555555555555,86.14527777777778,A,,68.0,Educational Media Foundation,,
92.7,WFNF,BRAZIL,IN,NDIR,6.0,39.51225,87.13836111111112,A,92.7 THE ROCK,91.0,JKO Media Group,Rock,
94.7,WLGK,NEW ALBANY,IN,NDIR,3.3,38.283944444444444,85.90466666666667,A,94.7 THE SOUND,120.0,"WORD BROADCASTING NETWORK, INC.",Contemporary Christian,
91.9,WRRI,MONTICELLO,IN,DRL,0.22,40.7325,86.72444444444444,A,,85.0,"Pensacola Christian College, Inc.",,
91.3,WWWJ,ROCHESTER,IN,NDIR,2.2,41.05175,86.20033333333333,A,,33.0,Liberty Baptist Church,,
106.1,ZMIC-FM,INAGUA - MATTHEW TOWN,IN,,1.0,20.950722222222222,73.67697222222223,C,COAST 106.1,10.0,,Variety,
92.3,HIRW-FM,SAN JOSÉ DE JIMANÍ,IN,,3.0,18.49944,71.85278,C,PESÁ 92 FM,49.0,,Tropical/Salsa,
107.1,HIIM-FM,JIMANÍ,IN,,0.25,18.49528,71.85139,C,"ENAMORADA, ÉXITOS DE BALADAS",-401.0,,Romantica,
88.1,W201BO,VINCENNES,IN,NDIR,0.013,38.68394444444444,87.43558333333334,D,WINNING OTHERS TO JESUS,103.5,BETHEL BAPTIST CHURCH,Religious Teaching,
88.5,W203BL,KIRKSVILLE,IN,NDIR,0.25,39.195499999999996,86.55766666666666,D,K-LOVE,82.3,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
88.7,W204BF,FORT WAYNE,IN,NDIR,0.01,41.10366666666667,85.17886111111112,D,STAR 88.3,174.2,"STAR EDUCATIONAL MEDIA NETWORK, INC.",Contemporary Christian,Ft. Wayne
88.7,W204CS,MICHIGAN CITY,IN,NDIR,0.013,41.66861111111111,86.80583333333333,D,AMERICAN FAMILY RADIO,,AMERICAN FAMILY ASSOCIATION,Religious Teaching,
88.9,W205BT,NEW ALBANY,IN,NDIR,0.08,38.260083333333334,85.80413888888889,D,AIR1,,EDUCATIONAL MEDIA FOUNDATION,Soft Christian Contemporary,Louisville
89.3,W207BF,GOSHEN,IN,NDIR,0.022,41.55811111111111,85.85166666666666,D,SHINE FM,79.0,OLIVET NAZARENE UNIVERSITY,Contemporary Christian,
89.5,W208BF,ELKHART,IN,NDIR,0.009,41.64505555555556,85.98611111111111,D,SHINE FM,113.2,OLIVET NAZARENE UNIVERSITY,Contemporary Christian,
89.5,W208BY,WABASH,IN,NDIR,0.055,40.820527777777784,85.80247222222222,D,REJOICE RADIO,,"PENSACOLA CHRISTIAN COLLEGE, INC.",Religious Teaching,
89.7,W209AW,FORT WAYNE,IN,NDIR,0.08,41.07255555555556,85.03858333333334,D,REJOICE RADIO,,PENSACOLA CHRISTIAN COLLEGE,Religious Teaching,Ft. Wayne
89.7,W209AY,JASPER,IN,NDIR,0.019,38.38141666666667,86.87386111111111,D,BIBLE BROADCASTING NETWORK,92.0,"BIBLE BROADCASTING NETWORK, INC.",Religious Teaching,
89.7,W209BA,KENDALLVILLE,IN,NDIR,0.01,41.398666666666664,85.25219444444444,D,STAR 88.3,114.0,"STAR EDUCATIONAL MEDIA NETWORK, INC.",Contemporary Christian,
89.7,W209CL,WASHINGTON,IN,NDIR,0.12,38.60311111111111,87.17444444444445,D,BIBLE BROADCASTING NETWORK,43.1,CSN INTERNATIONAL,Religious Teaching,
89.9,W210AV,MITCHELL,IN,NDIR,0.013,38.76391666666667,86.52080555555555,D,MOODY RADIO,109.0,THE MOODY BIBLE INSTITUTE OF CHICAGO,Religious Teaching,
90.5,W213CD,VINCENNES,IN,NDIR,0.055,38.70727777777778,87.49502777777778,D,COVENANT NETWORK,,COVENANT NETWORK,Religious Teaching,
90.9,W215BB,WARSAW WINONA LAKE,IN,NDIR,0.102,41.227833333333336,85.78944444444444,D,STAR 88.3,,"STAR EDUCATIONAL MEDIA NETWORK, INC.",Contemporary Christian,
91.1,W216BB,WILLIAMSPORT,IN,NDIR,0.019,40.32141666666667,87.31916666666666,D,REJOICE RADIO,,"PENSACOLA CHRISTIAN COLLEGE, INC.",Religious Teaching,
91.1,W216BW,HAMBURG,IN,NDIR,0.01,38.272,85.93608333333334,D,CSN INTERNATIONAL,166.9,CSN INTERNATIONAL,Religious Teaching,Louisville
91.3,W217AS,TERRE HAUTE,IN,DRL,0.01,39.50391666666667,87.4436388888889,D,CSN INTERNATIONAL,94.0,CSN International,Religious Teaching,Terre Haute
91.3,W217BZ,WARSAW,IN,NDIR,0.055,41.23672222222223,85.87916666666666,D,REJOICE RADIO,52.2,"PENSACOLA CHRISTIAN COLLEGE, INC.",Religious Teaching,
91.7,W219DO,EDINBURGH,IN,NDIR,0.019,39.36255555555556,85.9063888888889,D,THE BUZZARD,91.4,"NEW BEGINNINGS MOVEMENT, INC.",Oldies,Indianapolis
91.9,W220DV,EVANSVILLE,IN,NDIR,0.25,37.88811111111111,87.5436111111111,D,106.1 KISS FM,248.2,Hope Media Group,Contemporary Hit Radio,Evansville
92.1,W221CS,CRAWFORDSVILLE,IN,DRL,0.25,40.05533333333333,86.9325,D,CLASSIC HITS 92.1 FM-1550 AM,,"C.V.L. BROADCASTING, INC.",Classic Hits,
92.3,W222AS,WEST LAFAYETTE,IN,NDIR,0.019,40.45391666666667,86.92888888888889,D,Z 96.5,77.7,CTI License LLC,Contemporary Hit Radio,
92.5,W223AU,SOUTH BEND,IN,NDIR,0.01,41.61644444444445,86.19555555555556,D,,,"CALVARY RADIO NETWORK, INC.",Religious Teaching,South Bend
92.5,W223CZ,MUNCIE,IN,NDIR,0.17,40.16116666666667,85.3788611111111,D,MUNCIE SPORTS 102.9 FM,,Woof Boom Radio Muncie License LLC,Sports,Muncie-Marion
92.7,W224AX,LAFAYETTE,IN,NDIR,0.038,40.39058333333333,86.86444444444444,D,REJOICE RADIO,,"PENSACOLA CHRISTIAN COLLEGE, INC.",Religious Teaching,
92.7,W224BY,ANGOLA,IN,NDIR,0.25,41.68088888888889,85.00136111111111,D,HOT FM 92.7,111.7,"SWICK BROADCASTING COMPANY, INC.",Contemporary Hit Radio,
92.7,W224CL,ANDERSON,IN,NDIR,0.019,40.093611111111116,85.71516666666668,D,K-LOVE,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
92.7,W224DI,INDIANAPOLIS,IN,DRL,0.25,39.76005555555555,86.00608333333334,D,THE LIGHT,,"RADIO ONE OF INDIANA, LLC",Urban Gospel,Indianapolis
92.7,W224EA,GARY,IN,NDIR,0.055,41.572361111111114,87.31813888888888,D,THE VOICE OF NORTHWEST INDIANA,,"WLTH RADIO, INC.",Talk,Chicago
93.1,W226CB,NEWBURGH,IN,DRL,0.25,37.9545,87.41861111111112,D,WGAB FAITH 1180,,"FAITH BROADCASTING, LLC",Gospel Music,Evansville
93.3,W227CO,CANNELTON,IN,DRL,0.25,37.79561111111111,86.84944444444444,D,93.3 JACK FM,,"HANCOCK COMMUNICATIONS, INC.",Adult Hits,
93.5,W228CX,INDIANAPOLIS,IN,DRL,0.25,39.76755555555555,86.00330555555556,D,93.5/107.5 THE FAN,,"Radio One of Indiana, LLC",Sports,Indianapolis
93.7,W229BX,TELL CITY,IN,NDIR,0.08,38.05669444444444,86.82636111111111,D,THY WORD NETWORK,33.1,"MUSIC MINISTRIES, INC.",Religious Teaching,
93.7,W229CO,FORT WAYNE,IN,NDIR,0.23,41.11088888888889,85.19552777777778,D,BOTT RADIO NETWORK,,BOTT BROADCASTING COMPANY,Religious Teaching,Ft. Wayne
93.9,W230BQ,BRUCEVILLE,IN,NDIR,0.25,38.72977777777778,87.41225,D,REAL COUNTRY 1590,33.6,"THE ORIGINAL COMPANY, INC.",Country,
94.3,W232DK,AUBURN,IN,DRL,0.25,41.407,85.03469444444444,D,95.5 FM & 1140 AM - THE HAWK,,"NORTHEAST INDIANA BROADCASTING, INC.",Classic Hits,Ft. Wayne
94.3,W232DM,INDIANAPOLIS,IN,DRL,0.25,39.725611111111114,86.18555555555555,D,EXITOS 94.3/810,,"CONTINENTAL BROADCAST GROUP, L.L.C.",Adult Contemporary,Indianapolis
94.3,W232DP,PRINCETON,IN,NDIR,0.1,38.357,87.59030555555555,D,NEWSTALK AM 1250 FM 94.3,,"PRINCETON BROADCASTING CO., INC.",Talk,
94.3,W232DV,LAFAYETTE,IN,DRL,0.25,40.41822222222222,86.88555555555556,D,,27.5,"Relevant Radio, Inc.",Religious Teaching,
94.5,W233AO,SALEM,IN,NDIR,0.038,38.56233333333333,86.07680555555555,D,YOUR GOSPEL STATION,101.2,"GOOD SHEPHERD RADIO, INC",Southern Gospel,
94.5,W233BT,MONTICELLO,IN,NDIR,0.027,40.750305555555556,86.78416666666666,D,,,CSN INTERNATIONAL,Religious Teaching,
94.9,W235CU,LOGANSPORT,IN,NDIR,0.25,40.75475,86.31138888888889,D,1230 AM-94.9 FM WSAL,,"IRON HORSE BROADCASTING, LLC",Adult Standards/Talk,
95.1,W236AE,TERRE HAUTE,IN,DRL,0.12,39.47233333333334,87.411,D,LISTENER SUPPORTED RADIO,54.0,THE TRUSTEES OF INDIANA UNIVERSITY,News/Classical,Terre Haute
95.1,W236BD,MICHIGAN CITY,IN,DRL,0.14,41.668638888888886,86.80586111111111,D,THE TALK OF THE SOUTH SHORE 95.1 FM / 1420 AM,,GERARD MEDIA LLC,Talk,
95.1,W236CR,INDIANAPOLIS,IN,DRL,0.25,39.890277777777776,86.20555555555556,D,THE LIGHT,,"RADIO ONE OF INDIANA, LLC",Gospel Music,Indianapolis
95.3,W237AT,RICHMOND,IN,DRL,0.25,39.891444444444446,84.93608333333334,D,95.3 THE LEGEND,,BREWER BROADCASTING CORPORATION,Country,
95.5,W238BH,KENDALLVILLE,IN,NDIR,0.25,41.455333333333336,85.26219444444445,D,95.5 FM-1140 AM - THE HAWK,90.9,"NORTHEAST INDIANA BROADCASTING, INC.",Classic Hits,
95.7,W239CI,EVANSVILLE,IN,NDIR,0.25,37.98827777777778,87.59733333333332,D,95.7 THE SPIN,,UNIVERSITY OF SOUTHERN INDIANA BOARD OF TRUSTEES,Adult Alternative,Evansville
95.9,W240BJ,CROWN POINT,IN,NDIR,0.01,41.34891666666667,87.40058333333334,D,,,"CALVARY RADIO NETWORK, INC.",Religious Teaching,Chicago
95.9,W240CE,WASHINGTON,IN,NDIR,0.099,38.60322222222222,87.17450000000001,D,"THE GENERAL 95.9, 101.3 & 1580",122.1,"SHAKE BROADCASTING, LLC",Country,
96.1,W241AD,SOUTH BEND,IN,NDIR,0.21,41.61672222222222,86.21694444444445,D,96.1 THE TON,178.3,"WSJM, INC.",Country,South Bend
96.1,W241CD,BLOOMINGTON,IN,NDIR,0.25,39.15311111111111,86.51694444444445,D,"THE QUARRY, WHERE BLOOMINGTON ROCKS",,"SARKES TARZIAN, INC.",Rock,
96.1,W241CK,JEFFERSONVILLE,IN,DRL,0.25,38.26591666666667,85.71386111111111,D,1450 & 96.1 THE BIG X,,"WORD BROADCASTING NETWORK, INC.",Sports,Louisville
96.5,W243AJ,MISHAWAKA,IN,NDIR,0.25,41.69811111111111,86.15694444444445,D,YOUR FRIEND WFRN,54.4,"PROGRESSIVE BROADCASTING SYSTEM, INC.",Contemporary Christian,South Bend
96.5,W243CL,SHELBYVILLE,IN,NDIR,0.25,39.55811111111111,85.77025,D,GIANT FM COUNTRY,,"3 TOWERS BROADCASTING COMPANY, LLC",Country,Indianapolis
96.7,W244DF,LOGANSPORT,IN,NDIR,0.038,40.758916666666664,86.26944444444445,D,,45.4,"Calvary Radio Network, Inc.",Religious Teaching,
