frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
92.3,K222DP,LARNED,KS,NDIR,0.25,38.165,99.10166666666666,D,"LARNED’S NEWS, SPORTS AND CLASSIC HITS",,"AD ASTRA PER ASPERA BROADCASTING, INC",Classic Hits,
94.5,K233DW,WAKEENEY,KS,NDIR,0.17,39.02333333333333,99.88733333333334,D,YOU'RE WITH FAMILY,68.5,"GREAT PLAINS CHRISTIAN RADIO, INC.",Contemporary Christian/Religious Teaching,
89.3,KHLC,HILL CITY,KS,NDIR,4.0,39.26583333333333,99.83361111111111,A,,115.0,"The Praise Network, INC.",,
98.5,KOGR-LP,Minneapolis,KS,NDIR,0.1,39.12722222222222,97.70444444444445,LP100,,11.0,Oak Grove Radio Association,Variety,
89.9,KPBL,BELOIT,KS,NDIR,0.1,39.469166666666666,98.09388888888888,A,,23.0,"The Praise Network, Inc.",,
96.9,KOZA,EFFINGHAM,KS,NDIR,50.0,39.26138888888889,95.65583333333333,C2,96-9 THE PULSE,114.0,"KNZA, Inc.",Hot AC,
105.1,KZQD,LIBERAL,KS,NDIR,50.0,37.04808333333333,100.9098888888889,C2,RADIO LIBERTAD,118.0,,Religious,
88.3,K202BP,"BELLAIRE, ETC.",KS,DRL,0.078,39.80138888888889,98.67397222222223,D,PRAISE RADIO FOR MIDWEST KANSAS,62.0,U.S. CENTER CHRISTIAN BROADCASTERS ASSOCIATION,Contemporary Christian,
88.5,K203EU,HUTCHINSON,KS,DRL,0.075,38.049166666666665,98.01255555555555,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
88.5,K203FB,HAYS,KS,NDIR,0.14,38.95805555555556,99.35233333333333,D,YOU'RE WITH FAMILY,,"GREAT PLAINS CHRISTIAN RADIO, INC.",Contemporary Christian/Religious Teaching,
88.7,K204CD,TRIBUNE,KS,NDIR,0.25,38.47638888888889,101.74833333333333,D,YOU'RE WITH FAMILY,,"GREAT PLAINS CHRISTIAN RADIO, INC.",Contemporary Christian/Religious Teaching,
88.7,K204CR,MCPHERSON,KS,NDIR,0.25,38.37111111111111,97.67255555555556,D,BIBLE BROADCASTING NETWORK,,"BIBLE BROADCASTING NETWORK, INC.",Religious Teaching,Salina-Manhattan
88.7,K204DQ,WICHITA,KS,NDIR,0.205,37.77130555555556,97.31905555555555,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,Wichita
89.3,K207EI,EMPORIA,KS,NDIR,0.25,38.52972222222222,96.08611111111111,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
89.5,K208CL,TRIBUNE,KS,NDIR,0.25,38.490027777777776,101.75044444444444,D,HIGH PLAINS PUBLIC RADIO,60.2,"KANZA SOCIETY, INC.",News/Classical,
89.5,K208EK,PARSONS,KS,DRL,0.19,37.385333333333335,95.23525000000001,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
89.5,K208FE,TOPEKA,KS,DRL,0.14,39.26138888888889,95.65580555555556,D,CSN INTERNATIONAL,117.7,CSN INTERNATIONAL,Religious Teaching,Topeka
89.5,K208GH,HEALY,KS,NDIR,0.075,38.59919444444445,100.61597222222221,D,YOU'RE WITH FAMILY,57.8,"GREAT PLAINS CHRISTIAN RADIO, INC.",Contemporary Christian/Religious Teaching,
89.7,K209GC,QUINTER,KS,NDIR,0.232,39.071250000000006,100.23575,D,YOU'RE WITH FAMILY,74.0,"GREAT PLAINS CHRISTIAN RADIO, INC.",Contemporary Christian/Religious Teaching,
89.9,K210CR,ATCHISON,KS,NDIR,0.009,39.555249999999994,95.12549999999999,D,KANSAS PUBLIC RADIO,10.0,THE UNIVERSITY OF KANSAS,News/Classical,
90.7,K214AU,SHARON SPRINGS,KS,NDIR,0.18,38.87694444444445,101.74933333333334,D,TRI STATE PRAISE,,"The Praise Network, Inc.",Contemporary Christian/Religious Teaching,
90.9,K215FP,MANHATTAN,KS,NDIR,0.17,39.24666666666667,96.66036111111111,D,REJOICE RADIO,,"PENSACOLA CHRISTIAN COLLEGE, INC.",Religious Teaching,Salina-Manhattan
91.1,K216ED,PHILLIPSBURG,KS,NDIR,0.222,39.7725,99.30805555555555,D,PRAISE RADIO FOR MIDWEST KANSAS,46.0,"THE PRAISE NETWORK, INC.",Contemporary Christian,
91.1,K216GA,CHANUTE,KS,NDIR,0.127,37.666694444444445,95.47080555555556,D,RADIO BY GRACE,20.5,"RADIO BY GRACE, INC.",Religious Teaching,
91.3,K217CV,BELOIT,KS,NDIR,0.25,39.40222222222222,98.12838888888888,D,AMERICAN FAMILY RADIO,37.0,AMERICAN FAMILY ASSOCIATION,Religious Teaching,
91.3,K217CY,OBERLIN,KS,NDIR,0.25,39.80305555555555,100.52902777777777,D,K-LOVE,31.2,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
91.3,K217EN,GREAT BEND,KS,NDIR,0.034,38.33797222222223,98.76333333333334,D,AIR1,83.9,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
91.5,K218DR,BEL AIRE,KS,NDIR,0.099,37.80027777777777,97.29755555555555,D,AIR1,110.3,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Wichita
91.7,K219MB,HUGOTON,KS,NDIR,0.224,37.17766666666667,101.34675,D,PRAISE & ENCOURAGEMENT,,"GREAT PLAINS CHRISTIAN RADIO, INC.",Southern Gospel,
91.9,K220FA,HAVILAND,KS,NDIR,0.171,37.614472222222226,99.10066666666665,D,PRAISE AND ENCOURAGEMENT,,"GREAT PLAINS CHRISTIAN RADIO, INC.",Southern Gospel,
90.9,K215DM,HOYT,KS,NDIR,0.1,39.030277777777776,95.75358333333334,D,AIR1,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Topeka
92.1,K221DW,TECUMSEH,KS,NDIR,0.075,39.19047222222222,95.66047222222223,D,AIR1,136.1,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Topeka
92.3,K222AX,JUNCTION CITY,KS,NDIR,0.17,39.018055555555556,96.80472222222222,D,RADIO FOR LIFE,44.5,"GREAT PLAINS CHRISTIAN RADIO, INC.",Contemporary Christian/Religious Teaching,Salina-Manhattan
92.3,K222BJ,ASHLAND,KS,NDIR,0.25,37.21930555555556,99.81188888888889,D,HIGH PLAINS PUBLIC RADIO,85.7,"KANZA SOCIETY, INC.",News/Classical,
