frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
92.1,W221EU,Elkton,KY,DRL,0.25,36.81333333333333,87.11166666666666,D,,,"HAM BROADCASTING COMPANY, INC.",Classic Hits,
95.7,W239DC,STANTON,KY,NDIR,0.25,37.908166666666666,83.86180555555555,D,MOUNTAIN GOSPEL,,KENTUCKY MOUNTAIN BIBLE COLLEGE,Southern Gospel,
88.1,WTRL,HODGENVILLE,KY,NDIR,0.75,37.481944444444444,85.68805555555556,A,,86.0,Freedom's Way Assembly of God,Contemporary Christian,
89.1,WKYG,MURRAY,KY,NDIR,0.5,36.64552777777778,88.4756111111111,A,,123.0,Madisonville Baptist Temple,,
89.3,KYAI,MCKEE,KY,DRL,50.0,37.07508333333334,83.82047222222222,C1,AIR1,165.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
88.1,W201DD,CENTRAL CITY,KY,NDIR,0.027,37.291694444444445,87.10830555555555,D,WAY FM,58.9,Hope Media Group,Contemporary Christian,
88.3,W202AZ,FRANKFORT,KY,DRL,0.038,38.212583333333335,84.88522222222223,D,BIBLE BROADCASTING NETWORK,,"BIBLE BROADCASTING NETWORK, INC.",Religious Teaching,
88.5,W203BI,BOWLING GREEN,KY,NDIR,0.013,36.96033333333334,86.54694444444445,D,RADIO BY GRACE,110.4,"RADIO BY GRACE, INC.",Religious Teaching,Bowling Green
88.7,W204CP,WESTPORT,KY,NDIR,0.01,38.45644444444445,85.4243888888889,D,CSN INTERNATIONAL,156.9,CSN INTERNATIONAL,Religious Teaching,Louisville
89.3,W207BV,PIKEVILLE,KY,NDIR,0.01,37.49175,82.51986111111111,D,MOUNTAIN COMMUNITY RADIO 88.7,140.6,"Appalshop, Incorporated",Variety,
89.1,W206BB,MADISONVILLE,KY,NDIR,0.019,37.36311111111111,87.51555555555555,D,THE VOICE OF HEARTLAND MINISTRIES,98.6,"Pennyrile Christian Community, Inc.",Southern Gospel/Religious Teaching,
89.3,W207AO,PAINTSVILLE-VAN LEAR,KY,NDIR,0.01,37.79397222222222,82.79986111111111,D,MOUNTAIN COMMUNITY RADIO 88.7,120.7,"Appalshop, Incorporated",Variety,
89.3,W207CG,BOWLING GREEN,KY,DRL,0.027,37.04588888888889,86.36472222222221,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,Bowling Green
89.5,W208BG,PRESTONSBURG,KY,NDIR,0.09,37.89425,82.30680555555556,D,MOUNTAIN COMMUNITY RADIO 88.7,-4.5,"Appalshop, Incorporated",Variety,
90.3,W212BZ,BRENTWOOD,KY,NDIR,0.019,37.38088888888889,87.46777777777778,D,WAY FM,87.2,Hope Media Group,Contemporary Christian,
90.5,W213BP,SOUTH PORTSMOUTH,KY,NDIR,0.01,38.722861111111115,82.99877777777778,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,Huntington-Ashland
90.5,W213CB,COVINGTON,KY,NDIR,0.019,39.04505555555556,84.48216666666667,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,Cincinnati
91.3,W217BP,OWENSBORO,KY,NDIR,0.015,37.762277777777776,87.07972222222222,D,WAY FM,87.4,Hope Media Group,Contemporary Christian,
91.5,W218CM,GLASGOW,KY,NDIR,0.013,36.959500000000006,86.00219444444444,D,CSN INTERNATIONAL,112.4,CSN INTERNATIONAL,Religious Teaching,Bowling Green
