frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
91.5,KDRD,DE RIDDER,LA,NDIR,20.5,30.636305555555555,93.04266666666666,C3,AMERICAN FAMILY RADIO,110.0,"HOUSTON CHRISTIAN BROADCASTERS, INC.",Religious Teaching,
104.1,KQXP-LP,Rayne,LA,NDIR,0.023,30.25713888888889,92.16066666666667,LP100,,61.0,Jam Expo,,
88.1,K201FO,JENNINGS,LA,NDIR,0.25,30.191861111111113,92.62152777777777,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
88.7,K204DL,NATCHITOCHES,LA,NDIR,0.17,31.763333333333332,93.06333333333333,D,KEEPING HIM CLOSE BY,,"HOUSTON CHRISTIAN BROADCASTERS, INC.",Religious Teaching,
89.1,K206DU,LAFAYETTE,LA,NDIR,0.099,30.20497222222222,92.07866666666666,D,FAMILY RADIO,34.3,"FAMILY STATIONS, INC.",Religious Teaching,Lafayette
89.5,K208DW,DE RIDDER,LA,NDIR,0.02,30.879083333333334,93.29044444444445,D,THE SONLIFE RADIO NETWORK,46.0,"FAMILY WORSHIP CENTER CHURCH, INC.",Religious Teaching,
89.5,K208FC,ARABI,LA,NDIR,0.25,29.932111111111112,90.04438888888889,D,RADIO BY GRACE,,"RADIO BY GRACE, INC.",Religious Teaching,New Orleans
89.5,K208FW,HOUMA,LA,NDIR,0.2,29.60688888888889,90.69508333333334,D,LIFESONGS 89.1,,PROVIDENCE EDUCATIONAL FOUNDATION,Contemporary Christian,
90.1,K211DY,NATCHITOCHES,LA,NDIR,0.099,31.790666666666667,93.08166666666666,D,THE SONLIFE RADIO NETWORK,62.0,"FAMILY WORSHIP CENTER CHURCH, INC.",Religious Teaching,
90.7,K214BE,"SHREVEPORT, ETC.",LA,NDIR,0.25,32.49933333333333,93.751,D,MIRACLE 89.1,102.7,SPRING QUEST,Contemporary Christian,Shreveport
90.7,K214CE,GRAMBLING,LA,NDIR,0.105,32.51569444444444,92.72430555555556,D,RED RIVER RADIO NETWORK,71.0,"BD SUPERVISORS, LOUISIANA STATE UNIVERSITY & A&M COLLEGE",News/Talk/Classical,
91.1,K216EX,MINDEN,LA,NDIR,0.038,32.62152777777778,93.27655555555556,D,THE SONLIFE RADIO NETWORK,48.8,"FAMILY WORSHIP CENTER CHURCH, INC.",Religious Teaching,Shreveport
91.3,K217EC,MANY,LA,NDIR,0.019,31.53666666666667,93.42305555555556,D,,91.0,"FAMILY WORSHIP CENTER CHURCH, INC.",,
91.3,K217FD,ALEXANDRIA,LA,NDIR,0.25,31.30686111111111,92.40347222222223,D,BIBLE BROADCASTING NETWORK,,"BIBLE BROADCASTING NETWORK, INC.",Religious Teaching,
91.5,K218EY,MORGAN CITY,LA,NDIR,0.16,29.657999999999998,91.2953888888889,D,THE SONLIFE RADIO NETWORK,108.0,"FAMILY WORSHIP CENTER CHURCH, INC.",Religious Teaching,
91.9,K220EU,ERWINVILLE,LA,DRL,0.15,30.616583333333335,91.34122222222221,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,Baton Rouge
91.9,K220ID,GRAYSON,LA,NDIR,0.01,32.01766666666666,92.10208333333333,D,THE SONLIFE RADIO NETWORK,90.0,"FAMILY WORSHIP CENTER CHURCH, INC.",Religious Teaching,
92.1,K221GT,RUSTON,LA,NDIR,0.17,32.53916666666667,92.68111111111112,D,AIR1,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
92.5,K223BI,GREENWOOD,LA,NDIR,0.18,32.451,93.94769444444445,D,MIRACLE 89.1,77.7,"BLACK MEDIA WORKS, INC.",Contemporary Christian,Shreveport
92.9,K225CP,MORGAN CITY,LA,NDIR,0.25,29.75075,91.17372222222222,D,LOUISIANA SWAMP POP,,"SPOTLIGHT BROADCASTING OF NEW ORLEANS, LLC",Ethnic,Lafayette
93.3,K227CY,SHREVEPORT,LA,NDIR,0.25,32.53680555555555,93.76183333333333,D,THE LIGHT,,Alpha Media Licensee LLC,Gospel Music,Shreveport
94.3,K232FN,MANY,LA,NDIR,0.25,31.763333333333332,93.06333333333333,D,THE SONLIFE RADIO NETWORK,,REV. LOUIS D. BYERS,Religious Teaching,
