frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
91.5,CMDD-FM,PERICO,MA,,1.0,22.758027777777777,81.02169444444445,C,RADIO PERICO,35.0,,Variety,
92.1,CMDE-FM,LIMONAR,MA,,1.0,22.948611111111113,81.41250000000001,C,RADIO LIMONÁR,35.0,,Variety,
97.3,CMGW-FM,MATANZAS,MA,,19.953,23.050444444444445,81.5748611111111,C,RADIO 26,145.0,,Variety,
92.7,CMGW-6,PEDRO BETANCOURT,MA,,0.794,22.72722222222222,81.28999999999999,C,RADIO 26,30.0,,Variety,
93.1,CMGW-2,MARTÍ,MA,,1.0,22.945833333333333,80.92083333333333,C,RADIO 26,35.0,,Variety,
104.3,CMDL-FM,SAN MIGUEL DE LOS BAÑOS,MA,,1.259,22.857111111111113,81.3478611111111,C,RADIO 26,250.0,,Variety,
99.7,CMGE-FM,CÁRDENAS,MA,,1.0,23.03902777777778,81.20616666666668,C,RADIO CIUDAD BANDERA,30.0,,Classical/Opera/Arts,
93.7,CMDM-1,PLAYA LARGA,MA,,0.398,22.2825,81.21975,C,RADIO VICTORIA DE GIRÓN,32.0,,Variety,
103.5,CMBD-12,SAN MIGUEL DE LOS BAÑOS,MA,,1.585,22.857111111111113,81.3478611111111,C,RADIO RELOJ,265.0,,News/Talk,
99.5,CMGW-10,PLAYA LARGA,MA,,0.251,22.265833333333333,81.21975,C,RADIO 26,15.0,,Variety,
94.7,CMBV-15,SAN MIGUEL DE LOS BAÑOS,MA,,3.981,22.856944444444444,81.34777777777778,C,RADIO TAÍNO,257.0,,Travel Info,
95.3,CMDM-FM,JAGÜEY GRANDE,MA,,3.981,22.560972222222222,81.09569444444443,C,RADIO VICTORIA DE GIRÓN,60.0,,Variety,
98.1,CMD-FM,VARADERO,MA,,3.981,23.130555555555556,81.27902777777777,C,RADIO VARADERO,25.0,,Variety,
106.5,W293DW,WEST YARMOUTH,MA,NDIR,0.25,41.63547222222222,70.23469444444444,D,X102.3 & 106.5 THE GREATEST HITS ON EARTH,,"GCJH, Inc.",Adult Hits,
101.3,WFNX-LP,SCITUATE,MA,NDIR,0.009,42.13363888888889,70.73244444444444,LP100,101.3 THE COAST,100.0,"Scituate Community Radio, Inc.",Variety,
102.3,WGTX-FM,TRURO,MA,NDIR,2.15,42.022305555555555,70.07388888888889,A,X102.3 & 106.5 THE GREATEST HITS ON EARTH,81.0,"GCJH, Inc.",Adult Hits,
100.3,CMBA-20,SAN MIGUEL DE LOS BAÑOS,MA,,19.953,22.856944444444444,81.34777777777778,C,RADIO REBELDE,250.0,,News/Talk/Variety,
97.3,WKXE,Orange,MA,NDIR,5.8,42.60088888888889,72.38180555555554,A,,-6.0,Horizon Christian Fellowship,,
91.3,WNGF,PETERSHAM,MA,NDIR,0.6,42.525083333333335,72.27786111111111,A,INSPO RADIO,-53.0,NORTHEAST GOSPEL BROADCASTING INC.,Religious Teaching,
101.1,CMDQ-FM,COLÓN,MA,,0.631,22.719166666666666,80.90583333333333,C,RADIO LIANURA DE COLÓN,50.0,,Variety,
101.9,CMBC-15,SAN MIGUEL DE LOS BAÑOS,MA,,1.259,22.856944444444444,81.34777777777778,C,RADIO PROGRESO,230.0,,Culture Variety,
92.1,CMBA-21,PLAYA GIRÓN,MA,,0.251,22.07247222222222,81.05366666666666,C,RADIO REBELDE,50.0,,News/Talk/Variety,
91.1,CMBQ-12,MATANZAS,MA,,0.1,23.069777777777777,81.56891666666667,C,RADIO ENCICLOPEDIA,15.0,,Instrumental Music,
90.1,CMGW-5,JOVELLANOS,MA,,1.585,22.805194444444446,81.19638888888889,C,RADIO 26,77.0,,Variety,
93.7,CMBF-11,MATANZAS,MA,,3.981,23.069777777777777,81.56891666666667,C,RADIO MUSICAL NACIONAL,70.0,,Classical/Opera/Arts,
90.5,CMGW-8,LOS ARABOS,MA,,1.585,22.729416666666665,80.72116666666666,C,RADIO 26,48.0,,Variety,
105.9,CMBV-14,MATANZAS,MA,,0.631,23.069777777777777,81.56891666666667,C,RADIO TAÍNO,163.0,,Travel Info,
106.3,CMBC-14,MATANZAS,MA,,1.259,23.069777777777777,81.56891666666667,C,RADIO PROGRESO,124.0,,Culture Variety,
107.9,CMBA-19,MATANZAS,MA,,1.0,23.069777777777777,81.56891666666667,C,RADIO REBELDE,240.0,,News/Talk/Variety,
107.9,CMBF-12,SAN MIGUEL DE LOS BAÑOS,MA,,1.0,22.857111111111113,81.3478611111111,C,RADIO MUSICAL NACIONAL,240.0,,Classical/Opera/Arts,
94.5,CMBC-16,PLAYA GIRÓN,MA,,1.0,22.07247222222222,81.05366666666666,C,RADIO PROGRESO,30.0,,Culture Variety,
106.3,CMBQ-13,SAN MIGUEL DE LOS BAÑOS,MA,,1.259,22.857111111111113,81.3478611111111,C,RADIO ENCICLOPEDIA,240.0,,Instrumental Music,
96.3,CMGW-3,UNIÓN DE REYES,MA,,0.631,22.795,81.53833333333333,C,RADIO 26,40.0,,Variety,
97.7,CMGW-9,CALIMETE,MA,,1.0,22.532166666666665,80.90558333333334,C,RADIO 26,39.0,,Variety,
98.7,CMBR-11,MATANZAS,MA,,2.512,23.069777777777777,81.56891666666667,C,HABANA RADIO,178.0,,Culture,
100.1,CMDY-FM,PLAYA GIRÓN,MA,,0.316,22.07247222222222,81.05366666666666,C,LA VOZ DE LA VICTORIA,54.0,,Variety,
89.1,6YA-637,MANDEVILLE,MA,,1.0,18.08888888888889,77.58833333333332,C,OMEGA RADIO / KLAS,958.0,,Gospel Music,
90.5,6YA-655,SPUR TREE,MA,,0.6,17.992555555555555,77.54994444444445,C,NATIONWIDE 90,30.0,,News,
91.9,6YC-395,MANDEVILLE,MA,,3.802,18.08888888888889,77.58833333333332,C,GOSPEL JA,968.0,,Gospel Music,
91.1,6YA-638,MANDEVILLE,MA,,1.995,18.01388888888889,77.49711111111111,C,NCU 91 FM,948.0,,Culture Education,
92.5,6YA-641,SPUR TREE,MA,,1.995,17.992555555555555,77.54994444444445,C,HITZ 92 FM - R. JAMAICA,91.0,,Reggae,
93.9,6YA-643,MANDEVILLE,MA,,5.012,18.08888888888889,77.58833333333332,C,NEWS TALK 93 FM,958.0,,News/Talk,
94.5,6YA-645,CHRISTIANA,MA,,5.012,18.196666666666665,77.50305555555556,C,RJR 94 FM,510.0,,Variety,
94.7,6YA-645,MANDEVILLE,MA,,2.012,18.09861111111111,77.58,C,RJR 94 FM,791.0,,Variety,
95.9,6YA-650,CHRISTIANA,MA,,5.0,18.196666666666665,77.50305555555556,C,FAME 95 FM,300.0,,Reggae,
96.7,6YA-657,MANDEVILLE,MA,,1.778,18.08888888888889,77.58833333333332,C,STYLZ FM,948.0,,Variety,
98.1,6YA-661,MANDEVILLE,MA,,0.6,18.041666666666668,77.50722222222223,C,MEGA JAMZ 98 FM,300.0,,Rock,
98.5,6YA-661,HUNTLEY,MA,,2.0,18.066666666666666,77.58333333333333,C,MEGA JAMZ 98 FM,300.0,,Rock,
99.5,6YA-633,MANDEVILLE,MA,,3.162,18.08888888888889,77.58833333333332,C,MUSIC 99 FM,952.0,,Soft AC/Oldies,
100.1,6YA-647,MANDEVILLE,MA,,1.0,18.08888888888889,77.58833333333332,C,BESS FM,968.0,,Variety,
101.5,6YA-636,MANDEVILLE,MA,,1.0,18.08888888888889,77.58833333333332,C,LOVE 101 FM,948.0,,Religious,
102.3,6YA-652,MANDEVILLE,MA,,6.026,18.064722222222223,76.58,C,HOT 102,1253.0,,Rock,
103.5,6YA-653,MANDEVILLE,MA,,6.457,18.08888888888889,77.58833333333332,C,ZIP 103 FM,943.0,,Contemporary Hit Radio,
104.7,6YA-658,SPUR TREE,MA,,1.0,18.006055555555555,77.57397222222222,C,BBC,619.0,,News/Talk,
106.5,6YA-633,MANDEVILLE,MA,,3.162,18.08888888888889,77.58833333333332,C,POWER 106,952.0,,Talk/Sports,
107.3,6YA-642,MANDEVILLE,MA,,3.236,18.08888888888889,77.58833333333332,C,IRIE FM,943.0,,Reggae,
94.3,6YA-645,SPUR TREE,MA,,1.995,17.992555555555555,77.54994444444445,C,RJR 94 FM,91.0,,Variety,
92.1,W221EE,TOPSFIELD,MA,DRL,0.25,42.64091666666667,70.94088888888889,D,BLOOMBERG 1450,,Bloomberg Radio Newburyport LLC,Business,Boston
92.3,W222CH,GREENFIELD,MA,DRL,0.25,42.570861111111114,72.64475,D,92.3 THE OUTLAW,,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",Country,
93.7,W229DC,FALL RIVER,MA,DRL,0.25,41.68980555555555,71.14475,D,GREATER FALL RIVER`S ETHNIC RADIO STATION,,"RVDE, LLC",Ethnic,Providence-Warwick-Pawtucket
93.9,W230CP,PITTSFIELD,MA,NDIR,0.001,42.44752777777777,73.25316666666667,D,,-9.6,SUN SIGNALS LLC,Classic Hits,
94.1,W231AK,GREAT BARRINGTON,MA,NDIR,0.25,42.21480555555556,73.34483333333333,D,YOUR HOMETOWN STATION,-71.8,"Townsquare License, LLC",Adult Contemporary,
94.3,W232BW,AMHERST,MA,DRL,0.25,42.36369444444445,72.42286111111112,D,REWIND 94.3,,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",Classic Hits,"Springfield, MA"
94.7,W234DD,NORTH ADAMS,MA,DRL,0.25,42.698388888888886,73.06452777777777,D,NEW COUNTRY 94.7,,"Townsquare License, LLC",Country,
94.7,W234DP,HYANNIS,MA,DRL,0.16,41.559,70.59530555555556,D,FRANK FM,,Coxswain Media LLC,Variety Hits,Cape Cod
94.9,W235AV,TATNUCK,MA,DRL,0.23,42.309527777777774,71.90313888888889,D,,232.1,iHeartMedia,News/Talk,Worcester
94.9,W235CS,DEDHAM,MA,DRL,0.04,42.247055555555555,71.04783333333333,D,LIFE CHANGING RADIO,,"Blount Masscom, Inc.",Religious Teaching,Boston
95.1,W236CU,LOWELL,MA,DRL,0.17,42.653888888888886,71.21666666666667,D,LA NUEVA MEGA,,"GOIS BROADCASTING BOSTON, LLC",Tropical,Boston
