frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
105.5,WLDW,SALISBURY,MD,NDIR,2.1,38.407333333333334,75.59880555555556,A,K-LOVE,117.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
97.1,WZTM,FROSTBURG,MD,NDIR,0.14,39.60175,78.88694444444445,A,TRUTH FM 97.1,390.0,Solid Foundation Broadcasting Corporation,Religious Teaching,
88.7,W204BA,OAKLAND,MD,NDIR,0.25,39.40730555555555,79.37891666666665,D,WINNING OTHERS TO JESUS,-3.4,GRACE MISSIONARY BAPTIST CHURCH,Religious Teaching,
88.7,W204CL,LEXINGTON PARK,MD,NDIR,0.055,38.27261111111111,76.4705,D,WINNING OTHERS TO JESUS,56.4,GRACE MISSIONARY BAPTIST CHURCHD/B/A GRACE CHRISTIAN SCHOOL,Religious Teaching,
88.9,W205BL,FREDERICK,MD,NDIR,0.2,39.418166666666664,77.40275000000001,D,CLASSICAL WETA 90.9,-16.2,"GREATER WASHINGTON EDUCATIONAL TELECOMMUNICATIONS ASSOCIATION, INC.",Classical,Frederick
89.1,W206AY,FRUITLAND,MD,DRL,0.013,38.28483333333333,75.66491666666667,D,CSN INTERNATIONAL,128.1,CSN INTERNATIONAL,Religious Teaching,Salisbury-Ocean City
89.9,W210CC,SALISBURY,MD,NDIR,0.055,38.40511111111111,75.60047222222222,D,REJOICE RADIO,56.3,"PENSACOLA CHRISTIAN COLLEGE, INC.",Religious Teaching,Salisbury-Ocean City
91.1,W216CM,FREDERICK,MD,NDIR,0.006,39.493972222222226,77.49830555555556,D,THE COMPASS,,"CEDAR RIDGE CHILDREN'S HOME & SCHOOL, INC",Contemporary Christian,Frederick
91.9,W220CT,SALISBURY,MD,NDIR,0.02,38.405,75.60055555555554,D,REACH RADIO GOSPEL,,"PRIORITY RADIO, INC.",Urban Gospel,Salisbury-Ocean City
93.5,W228AM,FREDERICK,MD,DRL,0.15,39.418166666666664,77.50055555555555,D,106.9 THE EAGLE,,"MANNING BROADCASTING, INC.",Classic Hits,Frederick
93.5,W228DI,SILVER SPRING,MD,DRL,0.13,39.04233333333333,77.04663888888889,D,LA MERA MERA 93.5 FM & 1050 AM,,"Washington DC FCC License Sub, LLC",Regional Mexican,"Washington, DC"
93.5,W228EI,ELDERSBURG,MD,NDIR,0.001,39.39138888888889,76.96219444444445,D,WTTR AM 1470 & FM 102.3,,"HILLTOP COMMUNICATIONS, LLC",Classic Hits,Baltimore
94.3,W232CL,BALTIMORE,MD,DRL,0.1,39.25527777777778,76.67497222222222,D,,,"American FM Associates, Inc.",Religious Teaching,Baltimore
94.3,W232DE,POTOMAC,MD,DRL,0.25,39.03677777777778,77.20219444444444,D,RADIO ZINDAGI,,WIN Radio Broadcasting Corporation,Ethnic,"Washington, DC"
