frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
91.1,WYTO,TURNER,ME,NDIR,0.75,44.25794444444445,70.25766666666667,A,,-12.0,Calvary Baptist Church of Turner,,
91.3,W217CJ,PORTLAND,ME,NDIR,0.25,43.65925,70.26258333333334,D,GOD'S COUNTRY,,"LIGHT OF LIFE MINISTRIES, INC.",Southern Gospel,"Portland, ME"
92.1,W221BO,ELLSWORTH,ME,NDIR,0.01,44.52063888888889,68.39336111111112,D,105.7 SOLUTION FM,127.6,"LIGHTHOUSE RADIO NETWORK, INC.",Christian CHR + Rock,
92.5,W223BH,PORTLAND,ME,NDIR,0.175,43.654777777777774,70.26363888888889,D,BIG JAB,57.0,"Atlantic Coast Radio, LLC",Sports,"Portland, ME"
93.3,W227BE,ORONO,ME,NDIR,0.17,44.84438888888889,68.80186111111111,D,105.7 SOLUTION FM,,"LIGHTHOUSE RADIO NETWORK, INC.",Christian CHR + Rock,Bangor
93.5,W228EE,BIDDEFORD,ME,NDIR,0.25,43.54397222222222,70.40394444444445,D,107.1 - 93.5 THE BAY,,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",Soft AC,"Portland, ME"
93.7,W229AT,HODGDON,ME,NDIR,0.013,46.03919444444444,67.84055555555555,D,MAINE'S' HARBOR OF HOPE,95.7,"LIGHTHOUSE RADIO NETWORK, INC.",Religious Teaching,
94.1,W231CH,BANGOR,ME,NDIR,0.25,44.847166666666666,68.67872222222223,D,94.1 THE WAVE,,"PORT BROADCASTING, LLC",Soft AC,Bangor
94.7,W234CG,BRUNSWICK,ME,NDIR,0.013,43.903416666666665,70.03644444444444,D,GOD'S COUNTRY,,"LIGHT OF LIFE MINISTRIES, INC.",Southern Gospel,"Portland, ME"
95.1,W236DP,BALD MOUNTAIN,ME,DRL,0.25,44.65694444444444,68.60638888888889,D,94.1 THE WAVE,,"PORT BROADCASTING, LLC",Soft AC,
95.7,W239ET,LEWISTON,ME,DRL,0.25,44.20466666666667,70.55255555555556,D,105.5 WIGY,,"BENNETT RADIO GROUP, LLC",Classic Hits,"Portland, ME"
95.9,W240DH,AUGUSTA,ME,DRL,0.25,44.29172222222222,69.77366666666667,D,,,"Townsquare License, LLC",Rock,Augusta-Waterville
96.1,W241CP,BANGOR,ME,NDIR,0.25,44.847166666666666,68.67872222222223,D,,,"PORT BROADCASTING, LLC",Oldies,Bangor
96.9,W245AA,PORTLAND,ME,DRL,0.25,43.653666666666666,70.26280555555556,D,99.9 THE WOLF,64.0,"WBIN MEDIA CO., INC.",Country,"Portland, ME"
96.9,W245CQ,SOUTH PARIS,ME,NDIR,0.25,44.206722222222226,70.55449999999999,D,THE PATRIOT,,"BENNETT RADIO GROUP, LLC",Talk,"Portland, ME"
