frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
99.1,W256EE,ESCANABA,MI,NDIR,0.25,45.92916666666667,87.26972222222223,D,REAL CLASSIC ROCK,,"Aurora Media, LLC",Classic Rock,
107.9,W300EJ,BENTON HARBOR,MI,DRL,0.25,41.990027777777776,86.52980555555555,D,107.9 THE LAKE,,"WSJM, INC.",Classic Rock,
96.3,WHBS,HOUGHTON,MI,NDIR,37.0,47.03638888888889,88.69527777777778,C1,,226.0,Queen Bee's Knees LLC,,
88.9,WHSI,Litchfield,MI,DRL,1.0,41.894888888888886,84.66480555555556,A,,116.0,Smile FM,,
89.3,WHWT,IRONWOOD,MI,NDIR,0.5,46.479111111111116,90.14766666666668,A,WITNESSING HIS WONDERFUL LOVE,118.0,"Gospel Opportunities, Inc.",Religious Teaching,
89.9,WJCG,GREENVILLE,MI,DRL,15.0,43.210861111111114,85.26641666666667,B1,,89.0,West Central Michigan Media Ministries,,
102.5,WKMH,HUDSON,MI,NDIR,6.0,41.88419444444445,84.52327777777778,A,K-LOVE,100.0,Educational Media Foundation,Contemporary Christian,
88.5,WMPC-FM,Davison,MI,DRL,1.0,42.99227777777778,83.46202777777778,A,,25.0,THE CALVARY BIBLE CHURCH OF LAPEER,,
98.9,WNFH,VASSAR,MI,OTS,3.0,43.29891666666666,83.50938888888889,A,HOPE FM,100.0,"WONDERFUL NEWS RADIO, INC.",Contemporary Christian,
100.1,WUWU-LP,FRANKFORT,MI,NDIR,0.006,44.64722222222222,86.21166666666667,LP100,,119.0,Elberta Labor Heritage Center,Variety,
105.3,WVEX-LP,MIDLAND,MI,NDIR,0.1,43.612500000000004,84.22694444444444,LP100,,6.0,Tri-Rock Media Communications Corporation,Talk,
91.3,WCHW-FM,BAY CITY,MI,OTS,0.11,43.588638888888894,83.87441666666666,A,WCHW 91.3,38.0,"SCHOOL DISTRICT, BAY CITY",Rock,Saginaw-Bay City-Midland
90.3,KDTI,ROCHESTER HILLS,MI,NDIR,0.037,42.678638888888884,83.12438888888889,A,K-LOVE,53.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Detroit
88.1,W201CF,BALDWIN,MI,NDIR,0.055,43.900555555555556,85.7595,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
88.7,W204AQ,NEWBERRY,MI,DRL,0.011,46.31469444444444,85.56261111111111,D,THE PROMISE FM,89.0,NORTHERN CHRISTIAN RADIO,Contemporary Christian/Religious Teaching,
90.3,W212CL,BENTON HARBOR,MI,NDIR,0.17,42.09780555555556,86.43752777777779,D,REJOICE RADIO,,"PENSACOLA CHRISTIAN COLLEGE, INC.",Religious Teaching,
90.7,W214AY,WALKER,MI,NDIR,0.013,42.97558333333333,85.79113888888888,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,Grand Rapids
90.7,W214CA,MUSKEGON,MI,NDIR,0.013,43.218361111111115,86.24477777777778,D,REJOICE RADIO,,"PENSACOLA CHRISTIAN COLLEGE, INC.",Religious Teaching,Muskegon
90.9,W215CH,GRAND LEDGE,MI,NDIR,0.019,42.73280555555556,84.55358333333334,D,K-LOVE 2000S,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Lansing-East Lansing
