frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
89.7,K209GE,ALEXANDRIA,MN,NDIR,0.018,45.87605555555555,95.36669444444443,D,,,Minnesota Public Radio,,
90.7,K214FP,FERGUS FALLS,MN,NDIR,0.2,46.29475,96.10005555555556,D,CSN INTERNATIONAL,38.8,CSN INTERNATIONAL,Religious Teaching,
88.1,KGPL,CROOKSTON,MN,NDIR,0.25,47.78252777777778,96.59058333333333,A,,26.0,"We Have This Hope Christian Radio, Inc.",,
89.1,KJLW,Winnebago,MN,DRL,6.9,43.66138888888889,94.10833333333333,C3,,108.0,Minn-Iowa Christian Broadcasting,,
92.5,W223DN,LA CRESCENT,MN,NDIR,0.02,43.902,91.10322222222221,D,YOUR GOOD NEWS STATION,162.0,"Magnum Communications, Inc.",Contemporary Christian,
88.7,HILT-FM,BONAO,MN,,5.0,19.09083,70.465,C,LATINA FM,-185.0,,Variety,
93.9,HIRN-FM,BONAO,MN,,10.0,19.09056,70.46472,C,RADIO NOVEL,-180.0,,Variety,
97.5,HIMH-FM,CASABITO,MN,,0.25,19.02667,70.51639,C,RADIO REAL,944.0,,Variety,
88.1,K201BW,LA CRESCENT,MN,NDIR,0.062,43.757583333333336,91.29005555555555,D,CLASSICAL MPR,128.0,MINNESOTA PUBLIC RADIO,Classical,
88.1,K201IX,GRAND RAPIDS,MN,NDIR,0.25,47.21827777777778,93.54744444444444,D,LIFE-FM 97.3,,UNIVERSITY OF NORTHWESTERN-ST. PAUL,Contemporary Christian,
88.3,K202EN,FAIRMONT,MN,NDIR,0.205,43.62916666666667,94.48361111111112,D,FAITH 1200,39.3,UNIVERSITY OF NORTHWESTERN - ST. PAUL,Religious Teaching,
88.3,K202EO,HIBBING,MN,NDIR,0.027,47.48211111111112,92.89908333333334,D,FAITH 1200,,UNIVERSITY OF NORTHWESTERN-ST. PAUL,Religious Teaching,Duluth-Superior
88.5,K203BR,WINONA,MN,NDIR,0.062,44.041888888888884,91.67986111111112,D,YOUR GOOD NEWS STATION,122.0,"FAITH SOUND, INC.",Contemporary Christian,
88.7,K204EL,WARROAD,MN,NDIR,0.249,48.89969444444444,95.41605555555556,D,PSALM FM,-11.0,"HEARTLAND CHRISTIAN BROADCASTERS, INC.",Contemporary Christian/Religious Teaching,
88.7,K204ES,BRAINERD,MN,DRL,0.08,46.32219444444445,94.16250000000001,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
89.1,K206DI,MANKATO,MN,NDIR,0.25,44.12775,94.03438888888888,D,LIFE-FM 97.3,62.3,UNIVERSITY OF NORTHWESTERN - ST. PAUL,Contemporary Christian,
89.1,K206EF,MONTEVIDEO,MN,NDIR,0.181,44.80466666666666,95.51030555555556,D,CLASSICAL MPR,98.3,MINNESOTA PUBLIC RADIO,Classical,
89.5,K208DV,ST. CLOUD,MN,NDIR,0.075,45.516666666666666,94.23138888888889,D,AIR1,174.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Saint Cloud
89.9,K210DR,BRAINERD,MN,NDIR,0.115,46.32191666666667,94.16555555555556,D,NORTHERN COMMUNITY RADIO KAXE-FM,136.9,"NORTHERN COMMUNITY RADIO, INC.",News/Variety,
90.1,K211FR,ELY,MN,NDIR,0.023,47.88988888888889,91.86652777777778,D,CLASSICAL MPR,9.6,Minnesota Public Radio,Classical,Duluth-Superior
90.3,K212FH,MARSHALL,MN,NDIR,0.115,44.32552777777778,95.87225,D,PRAISE FM,93.3,"CHRISTIAN HERITAGE BROADCASTING, INC.",Religious Teaching,
90.3,K212FM,WARROAD,MN,NDIR,0.25,48.89969444444444,95.41605555555556,D,PSALM FM,-5.6,"HEARTLAND CHRISTIAN BROADCASTERS, INC.",Contemporary Christian/Religious Teaching,
90.5,K213DN,MORRIS,MN,NDIR,0.027,45.602472222222225,95.90172222222223,D,THE SONLIFE RADIO NETWORK,23.0,"FAMILY WORSHIP CENTER CHURCH, INC.",Religious Teaching,
90.5,K213FA,GRAND RAPIDS,MN,NDIR,0.01,47.279944444444446,93.44966666666667,D,CSN INTERNATIONAL,147.9,CSN INTERNATIONAL,Religious Teaching,
90.7,K214DF,GOLDEN VALLEY,MN,NDIR,0.099,44.97661111111111,93.27105555555555,D,TWIN CITIES FAITH RADIO KTIS,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Minneapolis-Saint Paul
90.9,K215DU,HUTCHINSON,MN,NDIR,0.23,44.885777777777776,94.34858333333332,D,LIFE-FM 97.3,50.4,UNIVERSITY OF NORTHWESTERN - ST. PAUL,Contemporary Christian,
91.1,K216FZ,REDWOOD FALLS,MN,NDIR,0.115,44.54969444444444,94.96694444444445,D,MPR NEWS,122.8,MINNESOTA PUBLIC RADIO,News/Talk,
91.5,K218DK,BLOOMINGTON,MN,NDIR,0.216,44.85605555555556,93.34716666666667,D,,49.3,"MINN-IOWA CHRISTIAN BROADCASTING, INC.",Religious Teaching,Minneapolis-Saint Paul
91.7,K219FA,ALEXANDRIA,MN,NDIR,0.087,45.86827777777778,95.36338888888888,D,THE SONLIFE RADIO NETWORK,48.0,"FAMILY WORSHIP CENTER CHURCH, INC.",Religious Teaching,
91.9,K220AR,ALBERT LEA,MN,NDIR,0.014,43.64355555555556,93.38408333333334,D,THE MAVERICK,37.0,"Minnesota State University, Mankato",Variety,
91.9,K220BI,GRAND MARAIS,MN,NDIR,0.023,47.76938888888889,90.34591666666667,D,LIFE-FM 97.3,116.1,UNIVERSITY OF NORTHWESTERN - ST. PAUL,Contemporary Christian,
91.9,K220JP,MINNEAPOLIS,MN,NDIR,0.025,44.967444444444446,93.30661111111111,D,YOUR CLASSICAL MPR,43.1,MINNESOTA PUBLIC RADIO,Classical,Minneapolis-Saint Paul
92.1,K221ES,ALBERTVILLE,MN,NDIR,0.25,45.23886111111111,93.68747222222223,D,,133.8,EDUCATIONAL MEDIA FOUNDATION,,Minneapolis-Saint Paul
92.1,K221GU,CROOKSTON,MN,DRL,0.25,47.93136111111111,97.04313888888889,D,KROX 105.7 FM & 1260 AM,,GOPHER COMMUNICATIONS COMPANY,Adult Contemporary,Grand Forks
92.3,K222AE,MORGAN,MN,NDIR,0.25,44.415,94.92694444444444,D,,84.3,"MINN-IOWA CHRISTIAN BROADCASTING, INC.",Religious Teaching,
92.3,K222BA,BLUE EARTH,MN,NDIR,0.099,43.666888888888884,94.12219444444443,D,CLASSICAL MPR,68.6,MINNESOTA PUBLIC RADIO,Classical,
92.3,K222DF,DILWORTH,MN,NDIR,0.25,46.8175,96.80222222222221,D,‘AM 1100 THE FLAG EAST,,BAKKEN BEACON MEDIA LLC,Talk,Fargo-Moorhead
92.5,K223AH,PETERSON,MN,DRL,0.119,43.800777777777775,91.85013888888888,D,YOUR GOOD NEWS STATION,,"FAITH SOUND, INC.",Contemporary Christian,
92.7,K224DB,WILLMAR,MN,NDIR,0.17,45.19444444444444,95.08388888888888,D,TWIN CITIES CHRISTIAN RADIO,110.3,UNIVERSITY OF NORTHWESTERN-ST. PAUL,Contemporary Christian,
92.7,K224DM,ALBERT LEA,MN,NDIR,0.25,43.627722222222225,93.36383333333333,D,CLASSICAL MPR,,MINNESOTA PUBLIC RADIO,Classical,
92.9,K225AQ,PARK RAPIDS,MN,NDIR,0.25,46.918861111111106,95.04475,D,YOUR Q FM,26.5,"SHINE THE LIGHT, INC",Contemporary Christian,
93.1,K226CA,DETROIT LAKES,MN,NDIR,0.25,46.83719444444445,95.8381111111111,D,KDLM-AM 1340 AM - 93.1 FM - 96.9 FM,,"LEIGHTON ENTERPRISES, INC.",Classic Hits,
93.1,K226CV,GRAND RAPIDS,MN,DRL,0.25,47.33938888888889,93.39686111111112,D,ALL CLASSICS ALL THE TIME AM 1320 - 93.1 FM,,Rapids Radio LLC,Classic Hits,
93.3,K227DF,THIEF RIVER FALLS,MN,NDIR,0.25,48.129694444444446,96.18669444444444,D,THE INFORMATION STATION,,"IOWA CITY BROADCASTING COMPANY, INC.",Talk/Sports,
93.5,K228DR,OWATONNA,MN,NDIR,0.25,44.08977777777778,93.22483333333334,D,,,"OWATONNA AREA CHRISTIAN RADIO, INC.",Contemporary Christian,
93.5,K228EW,BEMIDJI,MN,NDIR,0.25,47.45161111111111,94.81469444444444,D,LIFETALK RADIO,38.2,"WE HAVE THIS HOPE CHRISTIAN RADIO, INC.",Religious Teaching,
93.5,K228FV,ST. JOSEPH,MN,NDIR,0.25,45.63858333333333,94.37333333333332,D,K-YES,,GABRIEL MEDIA,Religious Teaching,Saint Cloud
93.5,K228FY,ROCHESTER,MN,NDIR,0.25,44.00333333333333,92.48527777777778,D,"93-5 FM AND 1270 AM, THE FAN",,iHeartMedia,Sports,"Rochester, MN"
93.5,K228XN,ST. PETER,MN,NDIR,0.06,44.30858333333333,93.93133333333334,D,89.3 THE CURRENT,69.8,MINNESOTA PUBLIC RADIO,Adult Alternative,
93.7,K229DJ,WALKER,MN,NDIR,0.25,47.078833333333336,94.59055555555555,D,FOX SPORTS RADIO,,"De La Hunt Media, Inc.",Sports,
93.9,K230AS,FERGUS FALLS,MN,NDIR,0.25,46.33827777777778,96.06977777777777,D,LIFE 97.9,52.1,UNIVERSITY OF NORTHWESTERN-ST. PAUL,Contemporary Christian,
94.1,K231AT,PINE CITY,MN,NDIR,0.055,45.84111111111111,92.9825,D,89.3 THE CURRENT,43.5,MINNESOTA PUBLIC RADIO,Adult Alternative,
94.1,K231BI,DULUTH,MN,NDIR,0.25,46.788888888888884,92.11805555555554,D,89.3 THE CURRENT,,MINNESOTA PUBLIC RADIO,Adult Alternative,Duluth-Superior
94.1,K231DG,PIPESTONE,MN,DRL,0.25,43.89775,95.94752777777778,D,BLAZIN' COUNTRY,,"CHRISTENSEN BROADCASTING, LLC",Country,
94.3,K232CZ,WINONA,MN,NDIR,0.104,44.05272222222222,91.66791666666667,D,REAL PRESENCE RADIO,-65.0,REAL PRESENCE RADIO,Religious Teaching,
