frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
97.1,K246DD,ROLLA,MO,NDIR,0.14,37.95988888888889,91.77175,D,SPIRIT FM,144.4,University of Northwestern - St. Paul,Contemporary Christian,
97.5,K248DR,JOPLIN,MO,NDIR,0.25,37.069500000000005,94.54716666666667,D,CLASSIC COUNTRY 860 AM,108.0,"AMERICAN MEDIA INVESTMENTS, INC.",Country,
104.9,KBCT,Maryville,MO,NDIR,9.7,40.40241666666667,94.88811111111112,C3,"80S 90S AND MORE, 104-9 THE CAT",159.0,"Eagle Communications, Inc.",Classic Hits,
91.1,KCWP,WEST PLAINS,MO,NDIR,16.0,36.63827777777778,91.66016666666667,C3,,87.0,"COMMUNITY BROADCASTING, INC.",Religious Teaching,
96.5,KFNZ-FM,KANSAS CITY,MO,NDIR,100.0,39.02222222222222,94.51383333333334,C0,,335.0,"Audacy License, LLC",Sports,
102.1,KMRV-LP,ST. CHARLES,MO,NDIR,0.1,38.737500000000004,90.61055555555555,LP100,102.1 THE RIVER,26.0,Community Broadcasting of St. Charles County,Variety,
104.1,KQLS,LUTESVILLE,MO,NDIR,2.5,37.377805555555554,89.93452777777779,A,,155.0,"Dockins Broadcast Group, LLC",80'S Hits,
96.1,WRJE-LP,SAINT JOSEPH,MO,NDIR,0.1,39.815555555555555,94.82888888888888,LP100,,26.0,Radio Joe Inc,,
102.7,4VGV-FM,CAP-HAÏTIEN,MO,,0.5,19.759444444444444,72.19833333333334,C,RADIO VERTIÈRES,30.0,,Variety,
88.1,K201GD,KIRKSVILLE,MO,NDIR,0.01,40.174749999999996,92.55519444444444,D,THE SONLIFE RADIO NETWORK,67.5,"FAMILY WORSHIP CENTER CHURCH, INC.",Religious Teaching,
88.7,K204DT,ROGERSVILLE,MO,NDIR,0.115,37.17505555555555,93.04322222222223,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,"Springfield, MO"
88.7,K204FX,MOUNTAIN GROVE,MO,NDIR,0.062,37.101444444444446,92.26794444444444,D,,164.1,BOARD OF GOVERNORS OF MISSOURI STATE UNIVERSITY,News/Talk/Classical,
88.9,K205ER,RAYTOWN,MO,NDIR,0.092,39.09055555555556,94.47188888888888,D,BOTT RADIO NETWORK,138.4,"COMMUNITY BROADCASTING, INC.",Religious Teaching,Kansas City
88.9,K205FX,ST. JOSEPH,MO,NDIR,0.17,39.73430555555556,94.78997222222222,D,BOTT RADIO NETWORK,,"RADIO VIDA KANSAS, INC.",Religious Teaching,
89.3,K207DG,ROSATI,MO,NDIR,0.14,38.040055555555554,91.51488888888889,D,THE SONLIFE RADIO NETWORK,103.1,"FAMILY WORSHIP CENTER CHURCH, INC.",Religious Teaching,
89.5,K208BO,WARSAW,MO,NDIR,0.25,38.25527777777778,93.37008333333333,D,SPIRIT FM,67.0,University of Northwestern - St. Paul,Contemporary Christian,
90.1,K211FV,SEDALIA,MO,NDIR,0.205,38.72316666666667,93.2298888888889,D,FAITH RADIO,61.0,University of Northwestern - St. Paul,Religious Teaching,
90.1,K211GB,GRAY SUMMIT,MO,DRL,0.05,38.495583333333336,90.80927777777778,D,COVENANT NETWORK,,COVENANT NETWORK,Religious Teaching,St. Louis
90.3,K212FW,JOPLIN,MO,NDIR,0.25,37.10311111111111,94.40327777777779,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,Joplin
90.5,K213DK,WILLOW SPRINGS,MO,NDIR,0.05,37.06338888888889,92.02766666666666,D,THE SONLIFE RADIO NETWORK,111.0,"FAMILY WORSHIP CENTER CHURCH, INC.",Religious Teaching,
91.1,K216GK,BROOKFIELD,MO,NDIR,0.25,39.80169444444444,93.06158333333333,D,AMERICAN FAMILY RADIO,49.2,"CSN International, Inc.",Religious Teaching,
91.1,K216GM,CANTON,MO,NDIR,0.25,39.94172222222222,91.58433333333333,D,COVENANT NETWORK,,COVENANT NETWORK,Religious Teaching,
91.1,K216GR,POPLAR BLUFF,MO,NDIR,0.25,36.764722222222225,90.48194444444445,D,BIBLE BROADCASTING NETWORK,73.0,"BIBLE BROADCASTING NETWORK, INC.",Religious Teaching,
91.3,K217GC,NEVADA,MO,NDIR,0.25,37.85669444444444,94.37994444444443,D,CSN INTERNATIONAL,63.4,CSN INTERNATIONAL,Religious Teaching,
