frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
105.3,WCNS-LP,COLLINS,MS,NDIR,0.015,31.63461111111111,89.57313888888889,LP100,RENEW RADIO,75.0,RENEW Collins,Contemporary Christian,
101.1,KJMS,OLIVE BRANCH,MS,NDIR,100.0,35.222861111111115,90.04341666666666,C1,V 101,171.0,iHeartMedia,Urban AC,Memphis
89.7,KUMB,HOLLYWOOD,MS,NDIR,1.0,34.75775,90.39372222222222,A,PODEROSA 89.7,36.86,Unica Media Broadcasting Inc.,Spanish,
88.3,W202BS,COLUMBIA,MS,NDIR,0.013,31.264055555555554,89.92980555555556,D,THE SONLIFE RADIO NETWORK,99.0,"FAMILY WORSHIP CENTER CHURCH, INC.",Religious Teaching,
88.7,W204BT,MERIDIAN,MS,NDIR,0.01,32.35402777777778,88.63283333333332,D,REJOICE RADIO,151.4,CSN INTERNATIONAL,Religious Teaching,
89.7,W209CF,GULFPORT,MS,NDIR,0.12,30.434638888888887,89.02974999999999,D,RADIO BY GRACE,39.8,"RADIO BY GRACE, INC.",Religious Teaching,Biloxi-Gulfport-Pascagoula
90.7,W214BE,JACKSON,MS,NDIR,0.055,32.28583333333333,90.21194444444444,D,RADIO BY GRACE,141.2,"Radio By Grace, Inc.",Religious Teaching,"Jackson, MS"
90.7,W214BL,OXFORD,MS,NDIR,0.038,34.35011111111111,89.54036111111111,D,K-LOVE,66.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
90.9,W215BE,D'IBERVILLE/BILOXI,MS,NDIR,0.038,30.452694444444443,88.85586111111111,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,Biloxi-Gulfport-Pascagoula
91.1,W216BA,HATTIESBURG,MS,NDIR,0.013,31.30738888888889,89.41311111111112,D,REJOICE RADIO,,"PENSACOLA CHRISTIAN COLLEGE, INC",Religious Teaching,Laurel-Hattiesburg
91.3,W217AQ,MERIDIAN,MS,NDIR,0.013,32.32930555555556,88.69061111111111,D,RADIO BY GRACE,101.0,"Radio By Grace, Inc.",Religious Teaching,
91.5,W218AY,LAUREL,MS,NDIR,0.019,31.78183333333333,89.15866666666668,D,BIBLE BROADCASTING NETWORK,94.0,"BIBLE BROADCASTING NETWORK, INC.",Religious Teaching,Laurel-Hattiesburg
91.5,W218BV,WAYNESBORO,MS,NDIR,0.013,31.689055555555555,88.70391666666667,D,CSN INTERNATIONAL,99.1,CSN INTERNATIONAL,Religious Teaching,
91.9,W220BN,NATCHEZ,MS,NDIR,0.08,31.54652777777778,91.37538888888888,D,K-LOVE,24.1,Educational Media Foundation,Contemporary Christian,
92.7,W224DP,HATTIESBURG,MS,NDIR,0.25,31.335166666666666,89.32644444444443,D,92.7 THE SCORE,,EAGLE BROADCASTING LLC,Sports,Laurel-Hattiesburg
93.1,W225BK,CEDAR HILLS,MS,NDIR,0.055,32.386805555555554,90.1631388888889,D,ROCK 93.1,,"NEW SOUTH RADIO, INC.",Rock,"Jackson, MS"
92.9,W225BN,CORINTH,MS,NDIR,0.25,34.908138888888885,88.50169444444444,D,CORINTH'S BEST COUNTRY,,"TELESOUTH COMMUNICATIONS, INC",Country,
93.1,W226BI,MERIDIAN,MS,NDIR,0.075,32.32625,88.68672222222223,D,WMER 1390 AM/93.1 FM,183.8,"N. BRAD CARTER, JR.",Southern Gospel,
93.3,W227AP,LUCEDALE,MS,DRL,0.001,30.924,88.58419444444444,D,POWER 88,44.8,ETERNITY MEDIA GROUP LLC,Contemporary Christian,
93.7,W229CW,PHILADELPHIA,MS,NDIR,0.25,32.76744444444444,89.12977777777778,D,,,"WHOC, INC",Talk/Oldies,
93.9,W230CS,COLUMBIA,MS,NDIR,0.25,31.26238888888889,89.84480555555555,D,REAL COUNTRY,,"HADDOX ENTERPRISES, INC.",Country,
94.3,W232DD,JACKSON,MS,NDIR,0.25,32.28583333333333,90.21194444444444,D,THE BRIDGE,,"KID'S TELEVISION, LLC",Classic Hits,"Jackson, MS"
94.5,W233AS,MERIDIAN,MS,NDIR,0.235,32.31222222222222,88.69250000000001,D,K-LOVE,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
95.1,W236DD,COLLINS,MS,NDIR,0.25,31.63461111111111,89.57313888888889,D,BROOKHAVEN`S GOSPEL RADIO,,"TILLMAN BROADCASTING NETWORK, INC.",Gospel Music,
95.9,W240DY,MERIDIAN,MS,NDIR,0.25,32.39358333333333,88.66894444444445,D,MERIDIAN'S GOSPEL CONNECTION,,"MISSISSIPPI BROADCASTERS, L.L.C.",Urban Gospel,
95.9,W240EJ,JACKSON,MS,NDIR,0.075,32.28583333333333,90.21194444444444,D,WE SHARE JESUS CHRIST,,FAMILY TALK RADIO,Religious Teaching,"Jackson, MS"
96.5,W243DZ,AMORY,MS,NDIR,0.25,33.975833333333334,88.49138888888889,D,WAMY COUNTRY,,Stanford Communications Inc,Country,
96.7,W244ED,BATESVILLE,MS,NDIR,0.25,34.30277777777778,89.98147222222222,D,COUNTRY LEGENDS 106.9,,,Country,
96.9,W245AH,JACKSON,MS,NDIR,0.135,32.28097222222222,90.29397222222222,D,NEWSTALK 1180-96.9,,Alpha Media Licensee LLC,News/Talk,"Jackson, MS"
96.9,W245DM,COLUMBUS,MS,NDIR,0.25,33.510222222222225,88.41272222222223,D,,,"CBN COMMUNICATIONS, LLC",Talk,
100.3,W262DE,YAZOO CITY,MS,NDIR,0.25,33.051111111111105,90.63083333333333,D,THE DELTA'S BEST,,ZOO-BEL BROADCASTING LLC,Blues,
97.5,W248CL,CLARKSDALE,MS,NDIR,0.25,34.211194444444445,90.57841666666667,D,,,"WROX, LLC",R&B Oldies,
97.5,W248CY,BROOKHAVEN,MS,NDIR,0.25,31.56072222222222,90.44869444444444,D,BROOKHAVEN'S GOSPEL RADIO,,"TILLMAN BROADCASTING NETWORK, INC.",Gospel Music,
97.7,W249AO,HATTIESBURG,MS,NDIR,0.25,31.43127777777778,89.14755555555556,D,97.7 THE GROOVE,313.6,"BLAKENEY COMMUNICATIONS, INC.",Urban Oldies,Laurel-Hattiesburg
98.1,W251CN,WINONA,MS,NDIR,0.25,33.58233333333334,89.7478611111111,D,,,"BACK FOURTY BROADCASTING, LLC",Gospel Music,
98.1,W251DB,JACKSON,MS,NDIR,0.25,32.386944444444445,90.16305555555556,D,,,"iHM Licenses, LLC",News,"Jackson, MS"
98.7,W254DJ,GULFPORT,MS,NDIR,0.25,30.38936111111111,89.10641666666666,D,POWER GOSPEL,,"WALKING BY FAITH MINISTRIES, INC.",Urban Gospel,Biloxi-Gulfport-Pascagoula
99.1,W256BL,RIDGELAND,MS,NDIR,0.099,32.28583333333333,90.21194444444444,D,B DAY 99.1,,"JACKSON RADIO,LLC.",Urban AC,"Jackson, MS"
99.7,W259BP,MERIDIAN,MS,DRL,0.25,32.312083333333334,88.69255555555556,D,JOY 1450,,"MISSISSIPPI BROADCASTERS, LLC",Southern Gospel,
