frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
88.1,KFGL,BUTTE,MT,NDIR,1.0,45.950694444444444,112.51230555555556,A,,-166.0,Old Fashion Baptist Church of Butte,,
91.9,KGLE-FM,Glendive,MT,NDIR,5.0,47.08361111111111,104.80199999999999,C3,YOUR NETWORK OF PRAISE,118.0,"Hi-Line Radio Fellowship, Inc.",Religious,
88.1,KGVA,FORT BELKNAP AGENCY,MT,NDIR,95.0,48.18830555555555,108.71069444444444,C1,THE VOICE OF THE NAKOTA & WHITE CLAY NATIONS,243.0,Aaniiih Nakoda College,Variety,
88.1,KIYO,ST. MARY,MT,NDIR,0.75,48.66883333333333,113.38630555555557,C3,,427.0,BLACKFEET TRIBE,,
90.1,KPHB,Philipsburg,MT,NDIR,0.19,46.263527777777774,113.25083333333333,A,,475.0,The University of Montana,,
89.1,HICR-FM,CABRERA,MT,,1.0,19.635279999999998,69.90444000000001,C,CABRERA FM,15.0,,Variety,
90.1,HIFC-FM,NAGUA,MT,,1.5,19.36972,69.84758333333333,C,VIDA FM,19.0,,Religious,
97.7,HIOP-FM,NAGUA,MT,,1.0,19.37306,69.86555,C,OPTIMA FM,18.0,,Variety,
98.1,HIPM-FM,NAGUA,MT,,0.25,19.3675,69.85943999999999,C,PREMIUM 98,37.0,,Variety,
99.3,HIFS-FM,NAGUA,MT,,0.1,19.37806,69.84666,C,TREBOL 99 FM,18.0,,Variety,
101.7,HIPS-FM,NAGUA,MT,,0.25,19.37361,69.85416,C,NITIDO RAYO,30.5,,Variety,
103.3,HIAB-FM,NAGUA,MT,,0.25,19.37806,69.84971999999999,C,"RIKA FM, LA EMISORA QUE QUIERES ESCUCHAR",18.0,,Variety,
104.7,HIAQ-FM,NAGUA,MT,,1.5,19.37238888888889,69.85422222222222,C,HOLA FM,18.0,,Variety,
105.7,HIJJ-FM,RÍO SAN JUAN,MT,,0.25,19.64694,70.07722,C,RADIO GRI-GRI,-25.0,,Variety,
90.9,HIFK-FM-13,NAGUA,MT,,0.064,19.361,69.84949999999999,C,RADIO AMANECER,40.3,,Religious,
88.1,K201CO,SHELBY,MT,NDIR,0.25,48.50358333333333,111.86694444444444,D,YOUR NETWORK OF PRAISE,,"HI-LINE RADIO FELLOWSHIP, INC.",Religious Teaching,
88.1,K201EY,KALISPELL,MT,NDIR,0.034,48.17605555555555,114.35013888888888,D,CSN INTERNATIONAL,99.9,CSN INTERNATIONAL,Religious Teaching,
88.1,K201FG,CULBERTSON,MT,DRL,0.075,48.199194444444444,104.5255,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
88.1,K201IN,HAMILTON,MT,NDIR,0.25,46.26880555555555,114.17647222222223,D,CSN INTERNATIONAL,-291.6,CSN INTERNATIONAL,Religious Teaching,
88.5,K203AE,LEWISTOWN,MT,DRL,0.084,47.17830555555555,109.53433333333334,D,YELLOWSTONE PUBLIC RADIO,238.0,MONTANA STATE UNIVERSITY - BILLINGS,News/Classical,
88.5,K203AF,COLSTRIP,MT,DRL,0.082,45.840805555555555,106.91141666666667,D,YELLOWSTONE PUBLIC RADIO,368.0,MONTANA STATE UNIVERSITY - BILLINGS,News/Talk/Classical,
