frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
98.3,W252EL,CARY,NC,DRL,0.15,35.79333333333333,78.76027777777777,D,NEWSRADIO FM 98.5/AM 680 WPTF,,First State Communications,News/Talk,
103.3,W277DZ,DURHAM,NC,DRL,0.155,35.97766666666667,78.8158611111111,D,NEWSRADIO FM 98.5/AM 680 WPTF,,DELMARVA EDUCATIONAL ASSOCIATION,News/Talk,
105.3,W287CD,Franklin,NC,DRL,0.113,35.32730555555556,83.33569444444444,D,THE FOX 103.5,464.7,"Tugart Properties, LLC",Classic Hits,
93.1,WAVN-LP,AVON,NC,NDIR,0.1,35.353611111111114,75.50555555555556,LP100,,30.0,AVON CENTRAL CO.,,
105.1,WBKZ,HAVELOCK,NC,NDIR,18.5,34.75211111111111,76.88216666666666,C3,AIR1,117.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
97.1,WXNR-LP,NEW BERN,NC,NDIR,0.1,35.06861111111112,76.96861111111112,LP100,CAPTAIN 97,27.0,Manticore Search & Rescue Inc,Rock,
103.7,HIBA-FM,SANTO DOMINGO,NC,,10.0,18.48444,69.93056,C,POWER 103,48.0,,Urban Contemporary,
88.1,HIGP-FM,SANTO DOMINGO,NC,,20.0,18.47083,69.86082999999999,C,PRIMERA FM,151.0,,Tropical/Salsa,
88.5,HILK-FM,SANTO DOMINGO,NC,,10.0,18.4835,69.93972000000001,C,STUDIO 88,77.0,,Oldies,
88.9,HICU-FM,SANTO DOMINGO,NC,,19.952,18.47694444444444,69.93605555555555,C,ESCAPE 89,84.0,,80'S Hits,
89.3,HIZ-FM,SANTO DOMINGO,NC,,20.0,18.485,69.93972000000001,C,NEÓN,77.0,,Tropical,
90.1,HIAW-FM,SANTO DOMINGO,NC,,1.0,18.482779999999998,69.93861,C,FUEGO 90 LA SALSERA,84.0,,Tropical/Salsa,
90.5,HIWP-FM,SANTO DOMINGO,NC,,20.0,18.467499999999998,69.93166000000001,C,ESTRELLA 90,137.0,,Tropical,
90.9,HIFK-FM-01,SANTO DOMINGO,NC,,5.0,18.481389999999998,69.91306,C,RADIO AMANECER,86.87,,Religious,
91.3,HIAE-FM,SANTO DOMINGO,NC,,10.0,18.46445,69.93166000000001,C,LA 91,160.0,,Adult Contemporary,
91.7,HILB-FM,SANTO DOMINGO,NC,,0.5,18.475694444444443,69.92544444444445,C,LA ROCKA,91.0,,Rock,
92.1,HITZ-FM,SANTO DOMINGO,NC,,10.0,18.472779999999997,69.93139000000001,C,HITS 92,96.0,,Variety,
92.5,HION-FM,SANTO DOMINGO,NC,,20.0,18.467779999999998,69.90028000000001,C,CDN - PASIÓN POR LA NOTICIAS,78.0,,News/Talk,
92.9,HIEF-FM,SANTO DOMINGO,NC,,5.0,18.47139,69.92111,C,PURA VIDA,85.0,,Christian CHR,
