frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
91.5,K218FO,BEACH,ND,NDIR,0.019,46.909166666666664,104.00713888888889,D,PRAIRIE PUBLIC RADIO,29.0,"PRAIRIE PUBLIC BROADCASTING, INC.",Classical,
102.7,K274CC,New England,ND,NDIR,0.05,46.46333333333334,102.9798888888889,D,107-1 KSLT,178.2,University of Northwestern-St. Paul,Contemporary Christian,
96.9,4VMQ-FM,CAP-HAÏTIEN,ND,,0.5,19.73702777777778,72.20677777777779,C,RADIO MUSIQUE FM,35.0,,Tropical,
106.5,K293BN,Bowman,ND,NDIR,0.092,46.20388888888889,103.39250000000001,D,107.1 KSLT,140.1,University of Northwestern-St. Paul,Contemporary Christian,
106.9,K295BR,DICKINSON,ND,NDIR,0.115,46.91888888888889,102.73019444444445,D,107.1 KSLT,,University of Northwestern-St. Paul,Contemporary Christian,
99.5,4VNA-FM,ST-MICHEL-DE-LATTALAYE,ND,,0.3,19.371305555555555,72.33702777777778,C,RADIO INITE,452.0,,Variety,
88.1,KFLK,Minot,ND,NDIR,100.0,48.21555555555556,101.31861111111111,C1,,133.0,Calvary Chapel Minot,,
100.1,4VEL-FM,CAP-HAÏTIEN,ND,,0.5,19.73702777777778,72.20677777777779,C,RADIO ETINCELLES,35.0,,Variety,
103.7,4VTC-FM,CAP-HAÏTIEN,ND,,0.5,19.759444444444444,72.19833333333334,C,RADIO TOP FM,35.0,,Tropical,
88.5,4VCI-FM,CAP-HAÏTIEN,ND,,0.5,19.75808333333333,72.20130555555556,C,RADIO TRANSLATION 88.5,49.0,,Classical/Opera/Arts,
90.1,4VRH-FM,CAP-HAÏTIEN,ND,,0.5,19.73702777777778,72.20677777777779,C,RADIO DE LA REÉCONCILIATION,35.0,,Religious,
90.5,4VTM-FM-2,CAP-HAÏTIEN,ND,,0.5,19.73702777777778,72.20677777777779,C,RADIO TI MOUN,35.0,,Culture Education,
91.1,4VCT-FM,CAP-HAÏTIEN,ND,,0.5,19.73702777777778,72.20677777777779,C,RADIO CITADELLE,35.0,,Variety,
91.7,4VTK-FM,CAP-HAÏTIEN,ND,,0.5,19.73702777777778,72.20677777777779,C,RADIO KONBIT FM,35.0,,Variety,
91.9,4VON-FM,PIGNON,ND,,0.3,19.336777777777776,72.1153611111111,C,RADIO PIGNON,379.0,,Variety,
92.1,4VLB-FM-1,CAP-HAÏTIEN,ND,,0.5,19.73702777777778,72.20677777777779,C,RADIO GINEN,35.0,,Tropical,
92.5,4VNH-FM,CAP-HAÏTIEN,ND,,0.5,19.73702777777778,72.20677777777779,C,RADIO NEGRITUDE 92.5,35.0,,Variety,
93.3,4VEC-FM,LIMBE,ND,,0.3,19.702583333333333,72.40511111111111,C,RADIO JUPITER,65.0,,Variety,
93.7,4VPI-FM,CAP-HAÏTIEN,ND,,0.5,19.73702777777778,72.20677777777779,C,RADIO PANOU INTER,35.0,,Variety,
94.5,4VHR-FM,CAP-HAÏTIEN,ND,,0.5,19.759444444444444,72.19833333333334,C,RADIO REGIONALE,35.0,,News/Talk/Variety,
94.7,4VEH-FM,CAP-HAÏTIEN,ND,,0.3,19.71397222222222,72.25694444444444,C,RADIO VOIX DE LA PAIX,66.0,,Religious,
94.9,4VKI-FM,CAP-HAÏTIEN,ND,,0.5,19.76261111111111,72.19766666666668,C,KONTAK INTER,35.0,,Variety,
