frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
88.9,K205GK,NORFOLK,NE,NDIR,0.03,42.032222222222224,97.36888888888888,D,AIR1,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
89.5,K208GM,FALLS CITY,NE,NDIR,0.25,40.115,95.65194444444445,D,,177.7,"VSS Catholic Communications, Inc.",Religious Teaching,
90.1,K211GG,KEARNEY,NE,NDIR,0.205,40.72833333333333,99.13008333333333,D,BIBLE BROADCASTING NETWORK,,"CSN International, Inc.",Religious Teaching,
95.7,K239DC,ALLIANCE,NE,NDIR,0.25,42.11716666666667,102.86963888888889,D,107-1 KSLT,42.0,University of Northwestern-St. Paul,Contemporary Christian,
89.5,KAVA,KIMBALL,NE,NDIR,0.85,41.25222222222222,103.66416666666667,A,,-3.0,"Hi-Line Radio Fellowship, Inc.",,
90.5,KETW,OGALLALA,NE,NDIR,2.5,41.176944444444445,101.80777777777777,A,,139.0,"VSS Catholic Communications, Inc.",,
99.7,4VDJ-FM,FORT LIBERTÉ,NE,,0.3,19.66777777777778,71.83944444444444,C,RADIO GAMMA,30.0,,Variety,
90.9,KNCV,NORTH PLATTE,NE,NDIR,41.0,41.21361111111111,100.73083333333334,C2,,94.0,"COMMUNITY BROADCASTING, INC.",,
91.5,KONL,O' NEILL,NE,NDIR,1.2,42.435027777777776,98.56063888888889,A,,73.0,VSS Catholic Communications,,
95.9,KPHL,BAYARD,NE,NDIR,0.25,41.761,103.32041666666666,A,,15.0,"Flood Communications West, LLC",,
89.9,KQNE-FM,Falls City,NE,DRL,3.2,40.219722222222224,95.66555555555556,C3,,173.0,Nebraska Educational Telecommunications Commission,Classical/News/Talk,
90.1,KRLK,NORFOLK,NE,NDIR,1.5,41.933055555555555,97.68055555555556,A,,142.0,"MyBridge, DBA as MyBridge Radio",,
91.9,KVEJ,VALENTINE,NE,NDIR,1.3,42.90083333333333,100.55416666666666,A,SPIRIT CATHOLIC RADIO,68.0,"VSS Catholic Communications, Inc.",Religious,
88.9,4VMO-FM,OUANAMINTHE,NE,,0.3,19.55063888888889,71.72444444444444,C,RADIO MARABAROUX,68.0,,Variety,
89.7,4VOM-FM,OUANAMINTHE,NE,,0.3,19.55,71.73333333333333,C,RADIO MASSACRE,65.0,,Variety,
92.3,4VLL-FM,FORT LIBERTÉ,NE,,0.3,19.662777777777777,71.83805555555556,C,RADIO FORT LIBERTÉ,30.0,,Variety,
92.9,4VIL-FM,FORT LIBERTÉ,NE,,0.3,19.662777777777777,71.83805555555556,C,RADIO IDEALE,30.0,,Variety,
95.7,4VPV-FM,FORT LIBERTÉ,NE,,0.3,19.662777777777777,71.83805555555556,C,RADIO PAROLE DE VIE,30.0,,Variety,
96.3,4VFD-FM,JEAN RABEL,NE,,0.3,19.938055555555557,72.83138888888888,C,RADIO FIDELITE,66.0,,Variety,
101.3,4VRV-FM,TERRIER ROUGE,NE,,0.3,19.63533333333333,71.95644444444444,C,RADIO VISION NORDESIENNE,64.0,,Variety,
102.9,4VMA-FM,MONT ORGANISE,NE,,0.3,19.4,71.78333333333333,C,RADIO ACTIF FM,689.0,,Variety,
96.5,4VDR-FM,JACMEL,NE,,0.3,18.243000000000002,72.52638888888889,C,RADIO RCH 2000,75.0,,Variety,
88.3,K202CJ,DESHLER,NE,NDIR,0.25,40.088055555555556,97.70752777777778,D,MY BRIDGE RADIO,63.0,MY BRIDGE RADIO,Religious Teaching,
88.7,K204FC,SIDNEY,NE,NDIR,0.205,41.11691666666667,102.93519444444445,D,MY BRIDGE RADIO,61.1,MY BRIDGE RADIO,Religious Teaching,
91.3,K217GM,CHADRON,NE,NDIR,0.25,42.83025000000001,102.99905555555556,D,SPIRIT CATHOLIC RADIO,-3.0,"VSS CATHOLIC COMMUNICATIONS, INC.",Religious Teaching,
89.5,K208CB,HARRISON,NE,DRL,0.2,42.784666666666666,103.99658333333333,D,"NET RADIO, NEBRASKA'S NPR",,NEBRASKA EDUCATIONAL TELECOMMUNICATIONS COMMISSION,News/Classical,
89.5,K208CK,SCOTTSBLUFF,NE,NDIR,0.205,41.94027777777777,103.65616666666668,D,BIBLE BROADCASTING NETWORK,53.0,CSN INTERNATIONAL,Religious Teaching,
89.5,K208GD,GRAND ISLAND,NE,NDIR,0.125,40.911519444444444,98.38023333333332,D,CSN INTERNATIONAL,55.0,"CSN International, Inc.",Religious Teaching,Grand Island-Kearney-Hastings
89.7,K209EV,HADAR,NE,NDIR,0.087,42.032222222222224,97.36894444444444,D,EFFECT RADIO,,CSN INTERNATIONAL,Christian CHR + Rock,
