frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
106.3,WKOE,NORTH CAPE MAY,NJ,DRL,5.4,39.12994444444445,74.78780555555555,A,106.3 COAST COUNTRY,105.4,"COASTAL BROADCASTING SYSTEMS, INC.,",Country,
89.1,WNJQ,Washington,NJ,DRL,0.15,40.77027777777778,75.06027777777777,A,,306.0,Calvary Chapel Morris Hills,,
89.7,W209CP,CAPE MAY,NJ,NDIR,0.055,39.009277777777775,74.86988888888888,D,HOPE FM,,"HOPE CHRISTIAN CHURCH OF MARLTON, INC.",Religious Teaching,Atlantic City-Cape May
90.9,W215CE,CAPE MAY,NJ,NDIR,0.038,39.04955555555556,74.8535,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,Atlantic City-Cape May
91.9,W220AA,"PARLIN, ETC.",NJ,DRL,0.01,40.45538888888889,74.29513888888889,D,89.7 THE BRIDGE,87.0,"BRIDGELIGHT, LLC",Religious Teaching,Middlesex-Somerset-Union
91.9,W220AG,"LAWRENCEVILLE, ETC.",NJ,NDIR,0.009,40.28286111111111,74.68597222222223,D,WE'RE YOUR RADIO STATION,121.0,WYRS Broadcasting,Religious Teaching,Trenton
91.9,W220EJ,WEEHAWKEN,NJ,NDIR,0.01,40.75622222222222,73.98625,D,,,Auricle Communications,Variety,New York
92.3,W222BV,HARMONY TOWNSHIP,NJ,DRL,0.01,40.77063888888889,75.06405555555556,D,DELAWARE VALLEY RADIO,242.9,PENN JERSEY EDUCATIONAL RADIO CORPORATION,Variety,Allentown-Bethlehem
92.3,W222CX,ATLANTIC CITY,NJ,NDIR,0.25,39.39,74.51222222222222,D,NEWS TALK 1400,57.8,"LONGPORT MEDIA, LLC",News/Talk,Atlantic City-Cape May
92.7,W224AS,WASHINGTON,NJ,DRL,0.15,40.80786111111111,74.9585,D,NORTHWEST JERSEY'S OWN 1510,173.9,"WRNJ RADIO, INC.",Adult Contemporary,Allentown-Bethlehem
92.7,W224CW,FRANKLIN TOWNSHIP,NJ,DRL,0.105,40.47916666666667,74.47469444444445,D,RADIO MIRCHI,,RAHUL WALIA,Ethnic,Middlesex-Somerset-Union
92.9,W225BV,POMONA,NJ,NDIR,0.08,39.476222222222226,74.5385,D,WE'RE YOUR RADIO STATION,47.0,WYRS BROADCASTING,Religious Teaching,Atlantic City-Cape May
92.9,W225DJ,BURLINGTON,NJ,DRL,0.19,40.189388888888885,74.84655555555555,D,MAXIMA,,"Ritmo Broadcasting, LLC",Spanish Hits,Philadelphia
