frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
90.3,K212EH,SILVER CITY,NM,NDIR,0.002,32.844500000000004,108.23891666666667,D,STAR 88,461.0,"VCY AMERICA, INC.",Christian CHR + Rock,
91.3,KDUO,Columbus,NM,NDIR,1.0,31.828888888888887,107.6413888888889,A,,-11.0,"Radio Bilingue, Inc.",,
95.9,KEPS,Skyline-Ganipa,NM,NDIR,0.125,35.02963888888889,107.61827777777778,A,,-85.0,,,
96.1,KFLH,CHAMA,NM,NDIR,2.5,36.89944444444444,106.60202777777778,A,,78.0,"Teeter, LLC",Classic Rock,
90.3,KLYN,LAS VEGAS,NM,NDIR,0.1,35.60352777777778,105.25897222222223,A,,110.0,The Rock Christian Outreach of Las Vegas,,
104.7,KNFZ,BOSQUE FARMS,NM,NDIR,100.0,34.77002777777778,106.86224999999999,C1,FUZION,257.0,"Educational Radio Foundation of East Texas, Inc.",Contemporary Christian,
90.1,KNIZ,GALLUP,NM,NDIR,0.8,35.51836111111111,108.73091666666667,A,KNIZ 90.1 FM,-8.0,THE OJO CALIENTE RESTORATION SOCIETY,Ethnic,
100.9,KNMJ,EUNICE,NM,NDIR,50.0,32.46816666666667,103.15797222222223,C2,KENW NPR NEW MEXICO,111.0,Eastern New Mexico University,News/Talk,
88.1,KYHA,CLOVIS,NM,NDIR,1.0,34.43888888888888,103.21111111111111,A,,62.0,"Bible Broadcasting Network, Inc.",,
88.1,K201CC,LAS CRUCES,NM,DRL,0.25,32.26063888888889,106.76722222222222,D,STAR 88,,"CALVARY ALBUQUERQUE, INC.",Christian CHR + Rock,
88.1,K201IW,LAS VEGAS,NM,NDIR,0.041,35.60363888888889,105.25888888888889,D,KENW NPR NEW MEXICO,,EASTERN NEW MEXICO UNIVERSITY,News/Talk/Classical,
88.3,K202EF,TUCUMCARI,NM,NDIR,0.14,35.13977777777778,103.74577777777777,D,RELEVANT RADIO,,"RELEVANT RADIO, INC.",Religious Teaching,
88.5,K203EB,FARMINGTON,NM,NDIR,0.016,36.66361111111111,108.21591666666667,D,CSN INTERNATIONAL,137.0,CSN INTERNATIONAL,Religious Teaching,
88.5,K203ES,ROSWELL,NM,NDIR,0.099,33.39344444444444,104.62469444444444,D,IMMACULATE HEART RADIO,,"RELEVANT RADIO, INC.",Religious Teaching,
88.5,K203EZ,ALAMOGORDO,NM,DRL,0.01,32.82980555555556,105.88747222222223,D,STAR 88,509.1,"VCY AMERICA, INC.",Christian CHR + Rock,
88.7,K204BU,SILVER CITY,NM,DRL,0.011,32.844500000000004,108.23891666666667,D,SOS RADIO FOR LIFE,319.0,FAITH COMMUNICATIONS CORPORATION,Contemporary Christian,
88.7,K204DB,PORTALES,NM,NDIR,0.25,34.222861111111115,103.2855,D,RELEVANT RADIO,,"RELEVANT RADIO, INC.",Religious Teaching,
