frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
88.5,K203FR,LAS VEGAS,NV,DRL,0.25,36.11611111111111,115.18658333333333,D,K-LOVE,,"ONDAS DE VIDA, INC.",Contemporary Christian,
95.9,K240FG,FERNLEY,NV,NDIR,0.01,39.488055555555555,119.29777777777778,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
103.3,KRXX,Tonopah,NV,NDIR,0.015,38.07138888888889,117.2325,A,,102.0,RxDIO.com LLC,,
104.3,KVPH,NORTH LAS VEGAS,NV,NDIR,24.5,35.96716666666667,115.5025,C,VCY AMERICA,1128.0,"VCY America, Inc.",Religious Teaching,
100.1,KXZZ,DAYTON,NV,DRL,12.0,39.25936111111111,119.70683333333334,C1,100.1 HANK-FM,659.0,LOTUS RADIO CORP.,Country,
88.1,K201BF,SCOTTY'S JUNCTION,NV,DRL,0.11,37.29991666666667,117.25922222222222,D,CLASSICAL 89-7,461.0,NEVADA PUBLIC RADIO,Classical,
88.1,K201FF,WINNEMUCCA,NV,NDIR,0.01,41.0085,117.77038888888889,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
88.1,K201HO,RENO,NV,DRL,0.075,39.21627777777778,119.79155555555555,D,YOUR CHRISTIAN COMPANION,-111.3,"YOUR CHRISTIAN COMPANION NETWORK, INC.",Religious Teaching,Reno
88.1,K201HX,MESQUITE,NV,DRL,0.25,36.81805555555556,114.06213888888888,D,NEVADA PUBLIC RADIO,,NEVADA PUBLIC RADIO,News/Talk,Las Vegas
88.5,K203DP,ARGENTA,NV,NDIR,0.013,40.558499999999995,116.69786111111111,D,EFFECT RADIO,,CSN INTERNATIONAL,Christian CHR + Rock,
88.7,K204EU,ELKO,NV,NDIR,0.01,40.928805555555556,115.84394444444445,D,EFFECT RADIO,,CSN INTERNATIONAL,Christian CHR + Rock,
88.7,K204FR,LOVELOCK,NV,NDIR,0.01,40.11822222222222,118.72847222222222,D,CSN INTERNATIONAL,643.6,CSN INTERNATIONAL,Religious Teaching,Reno
88.9,K205DP,WINNEMUCCA,NV,NDIR,0.01,41.0085,117.77038888888889,D,MOODY RADIO,654.0,THE MOODY BIBLE INSTITUTE OF CHICAGO,Religious Teaching,
