frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
92.3,W222DA,UTICA,NY,DRL,0.25,43.14416666666666,75.17888888888889,D,NEWSRADIO 950,,"TOWNSQUARE MEDIA LICENSEE OF UTICA/ROME, INC.",News/Talk,
97.1,W246EA,ROCHESTER,NY,NDIR,0.25,43.15472222222222,77.60416666666666,D,,,"Ibero American Action League, Inc.",Tropical,
97.7,W249ED,WESTFIELD,NY,NDIR,0.038,42.35186111111111,79.51763888888888,D,FAMILY LIFE NETWORK,,"FAMILY LIFE MINISTRIES, INC.",Contemporary Christian,
100.5,W263CE,OGDENSBURG,NY,NDIR,0.013,44.53361111111111,75.09694444444445,D,MARS HILL NETWORK,6.7,Mars Hill Broadcasting Co. Inc.,Religious Teaching,
102.9,WBMG,NARROWSBURG,NY,DRL,2.1,41.57925,75.17794444444445,A,,127.0,"Bold Gold Media Group, L.P.",,
89.9,WBWA,BUFFALO,NY,DRL,3.0,42.63622222222222,78.71655555555556,B1,AIR1,174.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
107.3,WCLX-LP,MORIAH,NY,NDIR,0.1,44.04613888888889,73.50594444444444,LP100,,5.8,"CHAMPLAIN MUSIC APPRECIATION SOCIETY, INC.",Variety,
93.5,WNVU,NEW ROCHELLE,NY,NDIR,1.75,40.88011111111111,73.8773611111111,A,VIDA UNIDA,132.0,Hope Media Group,Spanish Religious,
87.7,WVOA-LD,WESTVALE,NY,NDIR,2.75,43.05833333333333,76.16638888888889,,FOX SPORTS 92.5,,"METRO TV, INC.",Sports/Talk,
103.1,WWWF-FM,BAY SHORE,NY,NDIR,1.55,40.75094444444444,73.21316666666667,A,THE WOLF,141.0,"CONNOISSEUR MEDIA LICENSES, LLC",Country,
94.1,WXLJ,WHITEHALL,NY,NDIR,3.0,43.477000000000004,73.44844444444445,A,K94.1,100.0,The St. Lawrence University,Country,
98.3,WZNY-LP,FAIRPORT,NY,NDIR,0.022,43.095333333333336,77.43905555555556,LP100,,64.0,"GRACE BIBLE FELLOWSHIP, INCORPORATED",Religious Teaching,
93.3,WJOB-FM1,BINGHAMTON,NY,DRL,0.26,42.11366666666667,75.86238888888889,D,,,"THE BROOME COUNTY URBAN LEAGUE, INC.",,Binghamton
88.1,W201BE,BUFFALO,NY,DRL,0.08,42.932249999999996,78.78502777777777,D,REACH RADIO GOSPEL,,"PRIORITY RADIO, INC.",Urban Gospel,Buffalo-Niagara Falls
88.1,W201CD,ITHACA,NY,DRL,0.245,42.44588888888889,76.53713888888889,D,ITHACA RADIO,1.0,"ITHACA COMMUNITY RADIO, INC.",Variety,
88.1,W201DQ,UTICA,NY,DRL,0.01,43.03758333333333,75.19544444444445,D,INSPO RADIO,,NORTHEAST GOSPEL BROADCASTING INC,Religious Teaching,Utica-Rome
88.3,W202CI,RICHVILLE,NY,NDIR,0.055,44.34505555555556,75.48686111111111,D,MARS HILL NETWORK,,"MARS HILL BROADCASTING CO., INC.",Religious Teaching,
88.5,W203AW,FREDONIA,NY,NDIR,0.019,42.45172222222222,79.30144444444444,D,STATION OF THE CROSS,4.0,"CSN International, Inc.",Religious Teaching,
88.7,W204BJ,OLD FORGE,NY,NDIR,0.019,43.70116666666667,74.97183333333334,D,NORTH COUNTRY PUBLIC RADIO,54.6,THE ST. LAWRENCE UNIVERSITY,News/Talk/Variety,Utica-Rome
88.7,W204CJ,LAKE PLACID,NY,NDIR,0.013,44.29219444444444,73.98972222222223,D,NORTHEAST PUBLIC RADIO,-20.0,WAMC,News/Talk,Burlington-Plattsburgh
88.9,W205BR,ELMIRA,NY,NDIR,0.01,42.03194444444444,76.78361111111111,D,CSN INTERNATIONAL,158.0,CSN INTERNATIONAL,Religious Teaching,Elmira-Corning
88.9,W205BW,PAUL SMITHS,NY,NDIR,0.055,44.436416666666666,74.2598611111111,D,NORTH COUNTRY PUBLIC RADIO,25.0,THE ST. LAWRENCE UNIVERSITY,News/Talk/Variety,
88.9,W205CB,CAYUGA HEIGHTS,NY,DRL,0.18,42.44672222222222,76.53769444444444,D,24 HOUR SOURCE FOR NPR NEWS,4.9,State University of New York,News/Talk/Variety,
89.1,W206AW,PAWLING,NY,DRL,0.25,41.713972222222225,73.53483333333332,D,SOUND OF LIFE,212.0,University of Northwestern - St. Paul,Contemporary Christian/Religious Teaching,Poughkeepsie
89.1,W206BZ,LOCKPORT,NY,NDIR,0.027,43.15116666666667,78.67225,D,REACH RADIO GOSPEL,45.3,"PRIORITY RADIO, INC.",Urban Gospel,Buffalo-Niagara Falls
89.1,W206CI,WEST SCHUYLER,NY,NDIR,0.01,43.14293333333333,75.17591666666667,D,REJOICE RADIO,,"PENSACOLA CHRISTIAN COLLEGE, INC.",Religious Teaching,Utica-Rome
89.5,W208BC,CORNING,NY,NDIR,0.01,42.14202777777778,77.07747222222221,D,THE SONLIFE RADIO NETWORK,125.6,"FAMILY WORSHIP CENTER CHURCH, INC.",Religious Teaching,Elmira-Corning
92.5,W223CR,KINGSTON,NY,NDIR,0.13,41.887027777777774,73.97097222222223,D,THE BEACON,,"6 JOHNSON ROAD LICENSES, INC.",Talk,
89.7,W209CI,BINGHAMTON,NY,NDIR,0.01,42.05619444444444,75.94380555555556,D,EFFECT RADIO,,CSN INTERNATIONAL,Christian CHR + Rock,Binghamton
89.7,W209CJ,MOUNT KISCO,NY,NDIR,0.008,41.22636111111111,73.71636111111111,D,FINE ARTS RADIO,32.6,"TOWN OF MONROE, CONNECTICUT",Classical,Hudson Valley
