frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
90.5,K213FM,CORVALLIS,OR,DRL,0.0155,44.645833333333336,123.27080555555555,D,CSN INTERNATIONAL,333.5,CSN INTERNATIONAL,Religious Teaching,
90.7,K214FR,ISLAND CITY,OR,DRL,0.115,45.299277777777775,118.08574999999999,D,EFFECT RADIO,-112.7,CSN INTERNATIONAL,Christian CHR + Rock,
91.7,K219MD,SCIO,OR,NDIR,0.05,44.6535,123.01766666666667,D,LIFETALK RADIO,178.2,"LIFETALK RADIO, INC.",Religious Teaching,
102.3,K272FM,AZALEA,OR,DRL,0.01,42.696777777777775,123.22866666666667,D,THE DOVE,,"theDove Media, Inc.",Religious Teaching,
99.3,KBXG,GRANTS PASS,OR,NDIR,0.25,42.48872222222222,123.30727777777777,A,99.3 THE JUKEBOX,467.0,"BICOASTAL MEDIA LICENSES VI, LLC",Oldies,
96.5,KJIV-FM2,BEND,OR,DRL,0.005,44.062888888888885,121.30586111111111,C2,,,OPENSKYRADIO CORP.,,
103.3,KKFO-LP,KLAMATH FALLS,OR,NDIR,0.1,42.21947222222222,121.75447222222222,LP100,GOLD COUNTRY RADIO,-277.0,Gold Country Radio Foundation,Country,
91.1,KLPL,COVE,OR,NDIR,0.018,45.309416666666664,117.7335,A,,770.0,WALLA WALLA UNIVERSITY,,
95.1,KRHR,ODELL,OR,NDIR,2.1,45.66233333333333,121.47172222222223,C3,,224.0,"SeaSound Broadcasting, LLC",,
88.1,K201BK,COQUILLE,OR,DRL,0.005,43.183972222222216,124.18841666666667,D,JEFFERSON PUBLIC RADIO,-56.0,SOUTHERN OREGON UNIVERSITY,Classical/News/Talk,
88.1,K201DH,PENDLETON,OR,NDIR,0.25,45.69483333333333,118.84108333333333,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
88.1,K201DI,GRANTS PASS,OR,DRL,0.023,42.4515,123.29755555555555,D,SPIRIT 88.9,,"THEDOVE MEDIA, INC.",Christian CHR + Rock,
88.1,K201DV,BROOKINGS,OR,NDIR,0.023,41.962611111111116,124.18452777777779,D,,,CSN INTERNATIONAL,Religious Teaching,
88.3,K202DH,CONDON,OR,NDIR,0.025,45.243027777777776,120.13149999999999,D,,,PACIFIC CASCADE COMMUNICATIONS CORPORATION,Religious Teaching,
88.3,K202DT,CANYONVILLE,OR,DRL,0.01,42.9015,123.28644444444444,D,CSN INTERNATIONAL,516.3,CSN INTERNATIONAL,Religious Teaching,
88.3,K202EH,GOLD BEACH,OR,NDIR,0.05,42.44011111111111,124.41705555555556,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
88.3,K202ER,ASTORIA,OR,NDIR,0.013,46.28647222222222,123.89736111111112,D,,,CENTRO FAMILIAR CRISTIANO,Contemporary Christian,
88.5,K203BE,ROSEBURG,OR,DRL,0.092,43.20594444444445,123.36672222222222,D,,103.0,"FAMILY STATIONS, INC.",News/Talk/Variety,
88.5,K203DY,BAKER CITY,OR,NDIR,0.013,44.76569444444444,117.88269444444444,D,CSN INTERNATIONAL,208.8,CSN INTERNATIONAL,Religious Teaching,
88.5,K203FI,GLENEDEN BEACH,OR,NDIR,0.17,44.884277777777775,124.0165,D,KMHD JAZZ,40.0,OREGON PUBLIC BROADCASTING,Jazz,
88.7,K204AG,CAMAS VALLEY,OR,DRL,0.049,42.99538888888889,123.75980555555556,D,,278.0,SOUTHERN OREGON UNIVERSITY,,
88.7,K204AV,"LINCOLN, ETC.",OR,DRL,0.045,42.13955555555555,122.44166666666668,D,JEFFERSON PUBLIC RADIO,478.0,SOUTHERN OREGON UNIVERSITY,Classical/News/Talk,
88.7,K204GH,CHILOQUIN,OR,DRL,0.044,42.58872222222222,121.89944444444446,D,,118.8,PACIFIC CASCADE COMMUNICATIONS CORPORATION,Religious Teaching,
88.9,K205CJ,PRAIRIE CITY,OR,DRL,0.25,44.427638888888886,118.59325,D,GOOD NEWS RADIO,-235.0,CSN INTERNATIONAL,Religious Teaching,
88.9,K205DM,GLIDE,OR,DRL,0.008,43.37094444444445,123.06477777777778,D,CSN INTERNATIONAL,841.0,CSN INTERNATIONAL,Religious Teaching,
88.9,K205DV,LA GRANDE,OR,NDIR,0.115,45.299305555555556,118.08577777777778,D,K-LOVE,-187.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
88.9,K205EG,THE DALLES,OR,DRL,0.01,45.71177777777778,121.11727777777777,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
89.1,K206AF,"BEAVER MARSH, ETC.",OR,DRL,0.044,43.30483333333333,121.71666666666667,D,JEFFERSON PUBLIC RADIO,600.0,SOUTHERN OREGON UNIVERSITY,Classical/News/Talk,
89.1,K206AI,"COOS BAY, ETC.",OR,DRL,0.038,43.31147222222222,124.24455555555555,D,JEFFERSON PUBLIC RADIO,163.0,SOUTHERN OREGON UNIVERSITY,Classical/News/Talk,
89.1,K206EH,SPRAGUE RIVER,OR,NDIR,0.215,42.47069444444445,121.50555555555556,D,CSN INTERNATIONAL,-89.8,CSN INTERNATIONAL,Religious Teaching,
89.3,K207BQ,PORT ORFORD,OR,NDIR,0.009,42.74480555555556,124.50369444444445,D,JEFFERSON PUBLIC RADIO,,SOUTHERN OREGON UNIVERSITY,News/Jazz,
89.3,K207DQ,FLORENCE,OR,DRL,0.041,43.95538888888889,124.07511111111111,D,CSN INTERNATIONAL,164.9,CSN INTERNATIONAL,Religious Teaching,Eugene-Springfield
89.3,K207FG,CANNON BEACH,OR,DRL,0.25,45.91177777777778,123.96263888888889,D,COAST COMMUNITY RADIO,,Tillicum Foundation,Variety,
89.5,K208AX,LAKEVIEW,OR,DRL,0.005,42.253194444444446,120.643,D,JEFFERSON PUBLIC RADIO,636.0,SOUTHERN OREGON UNIVERSITY,Classical/News/Talk,
89.5,K208CC,CAVE JUNCTION,OR,NDIR,0.083,42.25844444444444,123.62977777777778,D,JEFFERSON PUBLIC RADIO,,SOUTHERN OREGON UNIVERSITY,Classical/News/Talk,
89.5,K208EC,SILVER LAKE,OR,NDIR,0.01,42.983472222222225,120.83061111111111,D,,,PACIFIC CASCADE COMMUNICATIONS CORPORATION,Religious Teaching,
89.5,K208FN,BURNS,OR,NDIR,0.023,43.56319444444444,119.16019444444446,D,,238.7,PACIFIC CASCADE COMMUNICATIONS CORPORATION,Religious Teaching,
89.7,K209CP,TALENT,OR,NDIR,0.01,42.299,122.75002777777777,D,K-LOVE,417.0,"PENSACOLA CHRISTIAN COLLEGE, INC.",Contemporary Christian,
89.9,K210AV,LA GRANDE,OR,DRL,0.061,45.30927777777777,117.73686111111111,D,OPB,771.0,OREGON PUBLIC BROADCASTING,News/Talk,
89.9,K210BY,KLAMATH FALLS,OR,NDIR,0.01,42.09763888888889,121.63441666666667,D,REJOICE RADIO,650.0,"PENSACOLA CHRISTIAN COLLEGE, INC.",Religious Teaching,
89.9,K210CW,NEWPORT,OR,NDIR,0.05,44.67594444444444,124.04316666666666,D,K-LOVE,182.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
89.9,K210DP,COOS BAY,OR,NDIR,0.062,43.354,124.244,D,EFFECT RADIO,,CSN INTERNATIONAL,Christian CHR + Rock,
89.9,K210DS,BROOKINGS,OR,NDIR,0.023,41.962611111111116,124.18452777777779,D,EFFECT RADIO,,CSN INTERNATIONAL,Christian CHR + Rock,
90.1,K211BP,FLORENCE,OR,DRL,0.1,44.12427777777778,124.01261111111111,D,,475.0,LANE COUNTY SCHOOL DISTRICT 4J,Adult Alternative,Eugene-Springfield
90.3,K212AQ,RILEY,OR,NDIR,0.05,43.555972222222216,120.07411111111111,D,OPB,524.7,OREGON PUBLIC BROADCASTING,News/Talk,
90.3,K212AS,SISTERS,OR,DRL,0.092,44.35177777777778,121.69113888888889,D,,-2.0,LANE COMMUNITY COLLEGE,News/Talk/Variety,
