frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
95.1,WAST-LP,COVENTRY,RI,DRL,0.09,41.70011111111111,71.59422222222221,LP100,PLAY FM 95.1,9.0,ARSAN BROADCASTING FOUNDATION,Spanish,
89.5,WNPW,WESTERLY,RI,DRL,0.1,41.373472222222226,71.72602777777777,A,THE PUBLIC'S RADIO,74.0,Rhode Island PBS Foundation and The Public's Radio,News/Talk,
92.7,W224DG,WARWICK,RI,DRL,0.25,41.808277777777775,71.47163888888889,D,LIFE CHANGING RADIO 1590 AM - 92.7 FM,,"BLOUNT COMMUNICATIONS, INC.",Religious Teaching,Providence-Warwick-Pawtucket
93.7,W229AN,PROVIDENCE,RI,DRL,0.25,41.82094444444445,71.38477777777778,D,KA KALLE 93.7,,"DIAZ HOLDINGS, LLC",Tropical,Providence-Warwick-Pawtucket
94.9,W235CN,PROVIDENCE,RI,DRL,0.25,41.82777777777778,71.36861111111111,D,LA MEGA 94.9,,RADIO SHARON FOUNDATION,Tropical,Providence-Warwick-Pawtucket
96.5,W243AI,NEWPORT,RI,NDIR,0.055,41.49758333333333,71.30641666666666,D,MVY RADIO,56.0,DAVID P. MAXSON,Adult Alternative,Providence-Warwick-Pawtucket
99.5,W258DU,WOONSOCKET,RI,DRL,0.15,41.99538888888889,71.50505555555556,D,O-N AM & FM,,"O-N RADIO, INC.",Variety,Providence-Warwick-Pawtucket
99.9,W260DC,WOONSOCKET,RI,DRL,0.25,41.997305555555556,71.45505555555556,D,NEWSTALK 1380,,"Bouchard Broadcasting, Inc.",News/Talk/Sports,Providence-Warwick-Pawtucket
101.1,W266DI,NEWPORT,RI,DRL,0.25,41.50372222222222,71.312,D,NEWSTALK 1540,,"3G BROADCASTING, INC.",News/Talk,Providence-Warwick-Pawtucket
102.1,W271CR,PROVIDENCE,RI,NDIR,0.099,41.82788888888889,71.36866666666666,D,PODER 1110,,"VIDEO MUNDO BROADCASTING COMPANY, LLC",Tropical,Providence-Warwick-Pawtucket
102.9,W275DA,PROVIDENCE,RI,DRL,0.05,41.80472222222222,71.47277777777778,D,THE PUBLIC'S RADIO,,Rhode Island PBS Foundation and The Public's Radio,News/Talk,Providence-Warwick-Pawtucket
103.1,W276DF,Westerly,RI,NDIR,0.25,41.365944444444445,71.83588888888889,D,,,"DIPONTI COMMUNICATIONS, LLC",Talk/Oldies,Providence-Warwick-Pawtucket
104.3,W282CB,HOPE VALLEY,RI,DRL,0.25,41.49483333333333,71.78452777777778,D,KOOL RADIO AM,,RED WOLF BROADCASTING CORPORATION,Oldies,Providence-Warwick-Pawtucket
104.7,W284BA,WARWICK,RI,NDIR,0.099,41.75611111111111,71.44444444444444,D,NEWS RADIO 920 AM AND 104.7 FM,45.3,iHeartMedia,News/Talk,Providence-Warwick-Pawtucket
105.5,W288EE,WEST WARWICK,RI,DRL,0.25,41.69297222222222,71.63133333333333,D,I 105.5,,"DIPONTI COMMUNICATIONS, LLC",Classic Rock,Providence-Warwick-Pawtucket
107.5,W298DE,WARWICK,RI,NDIR,0.25,41.75611111111111,71.44444444444444,D,RELEVANT RADIO,,"RELEVANT RADIO, INC.",Religious Teaching,Providence-Warwick-Pawtucket
101.1,WBRU-LP,PROVIDENCE,RI,NDIR,0.1,41.795361111111106,71.43561111111111,LP100,,25.321686,BROWN STUDENT RADIO,Variety,Providence-Warwick-Pawtucket
95.9,WCRI-FM,BLOCK ISLAND,RI,NDIR,6.0,41.17455555555555,71.57172222222222,A,CLASSICAL 95.9,76.0,"JUDSON GROUP, INC.",Classical,Providence-Warwick-Pawtucket
91.5,WCVY,COVENTRY,RI,NDIR,0.2,41.68619444444444,71.5931111111111,A,THE PUBLIC'S RADIO,11.0,Coventry Rhode Island Public Schools,News/Talk,Providence-Warwick-Pawtucket
91.3,WDOM,PROVIDENCE,RI,NDIR,0.155,41.84441666666667,71.43611111111112,A,,45.0,PROVIDENCE COLLEGE,Variety,Providence-Warwick-Pawtucket
99.7,WEAN-FM,WAKEFIELD-PEACEDALE,RI,DRL,2.3,41.572861111111116,71.63144444444444,A,NEWSTALK RADIO 630 & 99.7,163.0,Cumulus Media,News/Talk,Providence-Warwick-Pawtucket
88.1,WELH,PROVIDENCE,RI,DRL,4.0,41.8575,71.31769444444444,A,CUTTING EDGE CLASSICS,41.0,THE WHEELER SCHOOL,Rock,Providence-Warwick-Pawtucket
