frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
91.3,CMKZ-FM,PALMA SORIANO,SC,,1.0,20.213583333333332,75.99794444444444,C,"RADIO BARAGUÁ, LA VOZ DEL CAUTO",55.0,,Variety,
103.9,CMJA-FM,CONTRAMAESTRE,SC,,1.0,20.297861111111114,76.24208333333334,C,RADIO GRITO DE BAIRE,50.0,,Variety,
92.3,CMJL-FM,SEGUNDO FRENTE,SC,,1.259,20.408055555555553,75.5325,C,RADIO 8SF,171.0,,News/Talk/Sports,
92.5,CMJM-FM,TERCER FRENTE,SC,,1.259,20.170944444444444,76.32711111111111,C,RADIO TRIPLE M + CMKC,175.0,,Variety,
93.7,CMKW-FM,SANTIAGO DE CUBA,SC,,1.0,20.0995,75.82969444444444,C,RADIO MAMBÍ,425.0,,Variety,
104.7,CMJQ-FM,SAN LUÍS,SC,,1.0,20.188055555555557,75.84861111111111,C,RADIO MAJAGUABO,40.0,,Variety,
96.9,CMJB-FM,MELLA,SC,,0.501,20.366388888888892,75.9088888888889,C,RADIO TITÁN,45.0,,Variety,
97.1,CMBV-19,SANTIAGO DE CUBA,SC,,3.162,20.0995,75.82969444444444,C,RADIO TAÍNO,483.0,,Travel Info,
105.5,CMJG-FM,SONGO - LA MAYA,SC,,3.981,20.197305555555555,75.58480555555555,C,RADIO SONIDO SM,100.0,,Variety,
105.5,CMGI-FM,CABAIGUÁN,SC,,1.259,22.078888888888887,79.49902777777778,C,RADIO VOX DE CABAIGUÁN,58.0,,Variety,
89.3,WLFJ,GREENVILLE,SC,DRL,41.0,34.940666666666665,82.41205555555557,C1,"THE JOY, LOVE AND FAITH RADIO",335.0,"RADIO TRAINING NETWORK, INC.",Contemporary Christian,
103.3,WLTS,GREER,SC,NDIR,2.7,34.998444444444445,82.1378888888889,A,AIR1,151.0,Educational Media Foundation,Soft Christian Contemporary,
100.3,CMBF-15,SANTIAGO DE CUBA,SC,,3.981,20.0995,75.82969444444444,C,RADIO MUSICAL NACIONAL,270.0,,Classical/Opera/Arts,
90.5,CMJH-FM,SANTIAGO DE CUBA,SC,,1.0,20.0995,75.82969444444444,C,RADIO SIBONEY,457.0,,Variety,
101.5,CMBR-15,SANTIAGO DE CUBA,SC,,1.0,20.099722222222223,75.83,C,HABANA RADIO,465.0,,Culture,
101.5,WRTH-LP,GREENVILLE,SC,NDIR,0.025,34.85202777777778,82.32238888888888,LP100,KOOL-FM,59.0,"QUALITY RADIO PARTNERS, INC",Classic Hits,
95.1,CMKC-FM,SANTIAGO DE CUBA,SC,,1.0,20.0995,74.82969444444444,C,RADIO CMKC,430.0,,News/Talk,
98.1,CMBQ-16,SANTIAGO DE CUBA,SC,,3.162,20.099444444444444,75.82916666666667,C,RADIO ENCICLOPEDIA,430.0,,Instrumental Music,
97.7,WVFF-LP,Cottageville,SC,NDIR,0.033,32.95777777777778,80.44972222222222,LP100,,52.0,Truth In Broadcasting Corporation,Variety,
103.1,CMBD-15,SANTIAGO DE CUBA,SC,,0.501,20.0995,75.82969444444444,C,RADIO RELOJ,331.0,,News/Talk,
88.1,CMBP-5,SANTIAGO DE CUBA,SC,,0.251,23.135833333333334,82.35888888888888,C,,15.0,,Emergency Information,
91.1,CMBA-32,GUAMÁ,SC,,1.0,19.966666666666665,76.35694444444444,C,RADIO REBELDE,25.0,,News/Talk/Variety,
102.3,CMBA-28,SANTIAGO DE CUBA,SC,,3.981,20.0995,75.82969444444444,C,RADIO REBELDE,470.0,,News/Talk/Variety,
99.3,CMBC-21,SANTIAGO DE CUBA,SC,,19.953,20.099722222222223,75.83,C,RADIO PROGRESO,483.0,,Culture Variety,
93.3,HIGD-FM,RESOLUE,SC,,10.0,18.40222,69.20583,C,INDEPENDENCIA FM,-109.0,,Variety,
