frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
94.1,4VVPS-FM,CAVAILLON,SD,,0.5,18.300944444444447,73.65802777777779,C,RADO VWA PEYIZAN SID,53.0,,Culture Variety,
103.7,K279DF,RAPID CITY,SD,DRL,0.25,44.06888888888889,103.25138888888888,D,X-ROCK 101.1 & 103.5,113.5,"RIVERFRONT BROADCASTING, LLC",Rock,
99.3,4VTC-FM-1,CAYES,SD,,0.5,18.193333333333335,73.7461111111111,C,RADIO TOP FM,30.0,,Tropical,
106.7,K294DL,HOT SPRINGS,SD,DRL,0.08,43.44283333333333,103.45527777777778,D,107-1 KSLT,214.0,University of Northwestern-St. Paul,Contemporary Christian,
107.3,K297CF,PIERRE,SD,NDIR,0.25,44.37386111111111,100.40788888888889,D,THE EAGLE 100.1 FM/107.9 FM,114.0,James River Broadcasting Company,Classic Hits,
99.3,4VLK-FM,SAINT-LOUIS DU SUD,SD,,0.3,18.261861111111113,73.5483611111111,C,RADIO VWA PEP LAKAY,44.0,,Variety,
88.3,KCVP,PIERRE,SD,NDIR,26.0,44.31166666666666,100.35277777777777,C2,BOTT RADIO NETWORK,133.0,"COMMUNITY BROADCASTING, INC.",Religious Teaching,
89.3,KGRL,MILLER,SD,NDIR,3.8,44.48277777777778,99.1863888888889,C3,,153.0,"The Praise Network, Inc.",,
100.1,4VTUP-FM,CAYES,SD,,0.3,18.193333333333335,73.7461111111111,C,RADIO LA TULIPE FM,30.0,,Variety,
88.1,6YA-634,CATHERINE'S PEAK,SD,,0.3,18.077472222222223,76.70283333333333,C,MELLO FM,1212.0,,Tropical,
88.1,4VGS-FM,CAYES,SD,,0.5,18.193333333333335,73.7461111111111,C,RTGS - RADIO GRAND SUD,30.0,,Variety,
88.9,4VPC-FM,CAMP-PERRIN,SD,,0.3,18.326666666666668,73.87944444444443,C,RADIO PLATINUM,286.0,,Variety,
89.7,4VVE-FM-2,CAYES,SD,,0.3,18.193333333333335,73.7461111111111,C,VOIX DE L'ESPERANCE,30.0,,Religious,
90.1,4VLV-FM-1,CAYES,SD,,0.3,18.193333333333335,73.7461111111111,C,RADIO ONE,30.0,,News/Variety,
90.7,4VTM-FM-4,CAYES,SD,,0.5,18.193333333333335,73.7461111111111,C,RADIO TI MOUN,30.0,,Culture Education,
90.9,4VIFM-FM-2,CAYES,SD,,0.5,18.195305555555557,73.74905555555556,C,RADIO LUMIÈRE,30.0,,Religious,
92.3,4VTB-FM,TIBURON,SD,,0.4,18.32436111111111,73.3961388888889,C,RADIO TIBURON,50.0,,Variety,
92.9,4VLB-FM-2,CAYES,SD,,0.25,18.193333333333335,73.7461111111111,C,RADIO GINEN,30.0,,Tropical,
