frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
87.7,WPGF-LD,MEMPHIS,TN,NDIR,3.0,35.20952777777778,89.81705555555556,,RIGHT ON RADIO,,,R&B Oldies,
93.7,W229DO,Knoxville,TN,DRL,0.009,36.00527777777778,83.93972222222223,D,93.7 WVLZ,185.0,MID-CENTURY RADIO LLC,Rock,
99.7,W259DN,CHATTANOOGA,TN,DRL,0.099,35.20722222222223,85.28111111111112,D,107.3 FM WNOO 1260 AM,-20.0,"CLEAR MEDIA, LLC",Gospel Music/Religious Teaching,
93.7,WFRW,KINGSTON SPRINGS,TN,NDIR,1.15,36.13616666666667,86.98444444444445,A,94 FM THE FISH,230.0,Educational Media Foundation,Religious Teaching,
104.1,WFTB-LP,NASHVILLE,TN,NDIR,0.007,36.35169444444445,86.78402777777778,LP100,,109.0,TABNASHVILLE CDC,,
105.1,WJZM,WAVERLY,TN,NDIR,50.0,36.090333333333334,87.63475000000001,C2,105.1 THE WOLF,150.0,"Fowler Media, LLC",Country,
103.7,WMQY-LP,SMYRNA,TN,NDIR,0.007,35.981944444444444,86.58277777777778,LP100,,114.0,Rutherford County Baptist Church,,
94.9,WWAI,BARTLETT,TN,NDIR,2.9,35.154444444444444,89.82222222222222,C3,K-LOVE,217.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
101.5,K268DA,MEMPHIS,TN,DRL,0.25,35.14202777777778,90.13508333333334,D,LA JEFA 99.3 101.5,,BUTRON MEDIA CORPORATION,Regional Mexican,Memphis
93.5,KWUS-LP,CLARKSVILLE,TN,NDIR,0.068,36.571222222222225,87.38175,LP100,,37.0,RADIO-4-US,R&B Oldies,
104.9,KYTN,UNION CITY,TN,NDIR,6.0,36.48338888888889,88.95283333333333,A,COUNTRY 1049 KYTN,75.0,THUNDERBOLT BROADCASTING COMPANY,Country,
88.3,W202BG,DYERSBURG,TN,NDIR,0.019,36.045361111111106,89.40897222222223,D,BIBLE BROADCASTING NETWORK,85.0,"BIBLE BROADCASTING NETWORK, INC.",Religious Teaching,
88.5,W203AZ,CHATTANOOGA,TN,NDIR,0.01,35.16119444444444,85.31441666666666,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,Chattanooga
89.1,W206BE,JOHNSON CITY,TN,DRL,0.008,36.26872222222222,82.33902777777777,D,REJOICE RADIO,408.0,"PENSACOLA CHRISTIAN COLLEGE, INC.",Religious Teaching,Johnson City-Kingsport-Bristol
89.1,W206BO,DICKSON,TN,NDIR,0.019,36.09755555555556,87.39305555555556,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,Nashville
89.3,W207CI,CLEVELAND,TN,NDIR,0.013,35.20063888888889,84.88327777777778,D,WAY FM,123.1,Hope Media Group,Contemporary Christian,Chattanooga
89.3,W207CQ,JACKSON,TN,NDIR,0.01,35.654222222222224,88.78733333333334,D,WAY FM,,Hope Media Group,Contemporary Christian,"Jackson, TN"
89.9,W210BO,TULLAHOMA,TN,NDIR,0.027,35.381750000000004,86.22500000000001,D,BIBLE BROADCASTING NETWORK,64.0,"BIBLE BROADCASTING NETWORK, INC.",Religious Teaching,
89.9,W210BR,KINGSPORT,TN,NDIR,0.01,36.527055555555556,82.58736111111111,D,FAITH-FAMILY-FUN,337.0,"POSITIVE ALTERNATIVE RADIO, INC.",Contemporary Christian,Johnson City-Kingsport-Bristol
89.9,W210CD,HENDERSONVILLE,TN,NDIR,0.01,36.26811111111111,86.79583333333333,D,WAY FM,316.3,Hope Media Group,Contemporary Christian,Nashville
