frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
88.1,K201JB,DUMAS,TX,NDIR,0.14,35.92030555555555,101.96544444444444,D,RADIO BY GRACE,,GRACE COMMUNITY CHURCH OF AMARILLO,Religious Teaching,
89.1,K206EV,HUNTSVILLE,TX,NDIR,0.092,30.70347222222222,95.476,D,REJOICE RADIO,136.0,"PENSACOLA CHRISTIAN COLLEGE, INC.",Religious Teaching,
89.7,K209GG,PARIS,TX,DRL,0.092,33.61944444444445,95.5475,D,CSN INTERNATIONAL,148.7,CSN INTERNATIONAL,Religious Teaching,
95.5,K238BZ,SEGUIN,TX,DRL,0.01,29.497444444444444,98.28055555555555,D,RADIO JALAPENO 1540,,WENDOLYNN TELLEZ,Tejano,
98.3,K252GH,ANGLETON,TX,DRL,0.25,29.366111111111113,95.38266666666667,D,RADIO CHRISTIANA,0.0,"DAIJ Media, LLC",Contemporary Christian,
101.9,K270CY,AUSTIN,TX,DRL,0.25,30.323333333333334,97.79991666666666,D,PURO NORTENO,,94.1 Partnership,Regional Mexican,
102.5,K273DQ,BIG SPRING,TX,NDIR,0.205,32.02125,101.66522222222223,D,LA CALIENTE,124.1,"Permian Basin Broadcasting, LLC",Regional Mexican,
106.5,K293CZ,CONROE,TX,DRL,0.25,30.397333333333332,95.32852777777778,D,THE LEGENDARY KYOK,,,Gospel Music,
106.9,K295DE,INGLESIDE,TX,DRL,0.11,27.76975,97.44886111111111,D,B 94.7 TALK & COUNTRY,,GERALD BENAVIDES,Country,
90.1,KAXM,NACOGDOCHES,TX,NDIR,4.8,31.629055555555556,94.67911111111111,C3,THE AXE 90.1,108.0,State of Texas-Stephen F. Austin State University,Rock,
103.3,KCRQ,JUNCTION,TX,NDIR,0.25,30.478055555555553,99.75277777777778,A,,56.0,Recharge Media PBC,,
106.5,KHUK,GRANITE SHOALS,TX,NDIR,7.0,30.676861111111112,98.56669444444444,C3,,174.7,River Radio LLC,Smooth Jazz,
94.9,KILE-LP,NORTH CLEVELAND,TX,NDIR,0.1,30.36388888888889,95.0911111111111,LP100,,25.0,Tarkington Radio Club,,
92.7,KINL,EAGLE PASS,TX,NDIR,20.0,28.73275,100.4931388888889,C3,POWER 92.7,56.0,Universal Media Connections LLC,Hot AC,
88.5,KJJL,PERRYTON,TX,NDIR,1.2,36.395833333333336,100.79555555555555,A,YOU`RE WITH FAMILY,87.0,"Great Plains Chritian Radio, Inc.",Contemporary Christian,
103.5,KKBW,LAKE BROWNWOOD,TX,NDIR,3.2,31.728388888888887,99.01758333333333,A,,96.0,,,
98.9,KLBY-FM,ALBANY,TX,NDIR,5.3,32.71691666666667,99.31627777777777,A,,106.0,"WesTex Towers, Inc.",,
98.7,KLFK,WELLS,TX,NDIR,2.8,31.46386111111111,94.88958333333333,A,,113.0,CSN INTERNATIONAL,,
107.9,KLKT-LP,LOCKHART,TX,NDIR,0.1,29.88363888888889,97.68591666666667,LP100,,18.0,"THE LOCKHART ARTS, MUSIC, AND BROADCAST EDUCATION CORPORATION",Variety,
93.5,KMIK,CARRIZO SPRINGS,TX,NDIR,3.1,28.575,99.90700000000001,A,,7.0,"Xavier Entertainment, LLC",,
100.1,KNRB,ATLANTA,TX,NDIR,50.0,33.25513888888889,94.08797222222222,C2,THE SONLIFE RADIO NETWORK,150.0,"FAMILY WORSHIP CENTER CHURCH, INC.",Religious Teaching,
104.1,KOWO-LP,WIMBERLEY,TX,NDIR,0.1,29.975777777777775,98.09416666666667,LP100,,-21.0,WIMBERLEY TEXAN RADIO,Variety,
95.1,KRGC,RIO GRANDE CITY,TX,NDIR,6.0,26.41611111111111,98.91819444444445,A,,97.0,"95.1 Investments, LLC",Regional Mexican,
