frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
88.1,K201JD,PROVO,UT,DRL,0.01,40.090500000000006,111.82213888888889,D,EFFECT RADIO,,CSN INTERNATIONAL,Christian CHR + Rock,
95.5,K238CE,PAYSON,UT,DRL,0.05,40.089111111111116,111.82158333333334,D,"LIFE UNLOCKED, TRUTH UNLEASHED",,BIBLICAL MINISTRIES WORLDWIDE,Religious Teaching,
101.5,KNAH-FM1,OGDEN,UT,DRL,0.5,41.34213888888889,112.00908333333334,D,101.5 HANK-FM,,"BROADWAY MEDIA LS, LLC",Country,
101.5,KNAH-FM10,NO. SALT LAKE,UT,DRL,0.5,40.83661111111111,111.91883333333334,D,101.5 HANK-FM,,"BROADWAY MEDIA LS, LLC",Country,
101.5,KNAH-FM3,SALT LAKE CITY,UT,DRL,2.1,40.808,111.8905,D,101.5 HANK-FM,,"BROADWAY MEDIA LS, LLC",Country,
101.5,KNAH-FM5,PROVO,UT,DRL,1.75,40.24883333333334,111.62658333333333,D,101.5 HANK-FM,,"BROADWAY MEDIA LS, LLC",Country,
101.5,KNAH-FM6,BOUNTIFUL,UT,DRL,1.2,40.83466666666667,111.86827777777778,D,101.5 HANK-FM,,"BROADWAY MEDIA LS, LLC",Country,
101.5,KNAH-FM7,PARK CITY,UT,DRL,3.0,40.85494444444445,111.48047222222222,D,101.5 HANK-FM,,"BROADWAY MEDIA LS, LLC",Country,
97.3,KTQZ-LP,Toquerville,UT,NDIR,0.1,37.218611111111116,113.28388888888888,LP100,,-240.0,Toquerville City,,
99.5,KUNY,Paragonah,UT,NDIR,20.5,37.841833333333334,112.97538333333334,C2,,235.0,,,
88.3,KUUB,SALT LAKE CITY,UT,DRL,0.45,40.63133333333333,112.13130555555554,C3,,416.0,University of Utah,,
90.9,KWOT,KANAB,UT,NDIR,1.2,36.98630555555555,112.50411111111111,A,,-7.0,Cliffview Chapel Baptist Church,,
89.5,KYJM,NEPHI,UT,NDIR,0.75,39.723333333333336,111.92963888888889,A,,19.0,First Baptist Church of Nephi,,
88.1,K201AE,"COALVILLE, ETC.",UT,DRL,0.115,40.85494444444445,111.47963888888889,D,COMMUNITY VOICE,,"COMMUNITY WIRELESS OF PARK CITY, INC",News/Talk/Adult Alternative,
88.1,K201BY,"DELTA, ETC.",UT,NDIR,0.05,39.35327777777778,112.35241666666666,D,,-4.3,UNIVERSITY OF UTAH,News/Talk,
88.1,K201CF,TICABOO,UT,DRL,0.008,37.857194444444445,110.71208333333334,D,,338.0,UNIVERSITY OF UTAH,News/Talk,
88.1,K201CW,MOAB,UT,DRL,0.25,38.53358333333333,109.51261111111111,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
88.1,K201DP,ST. GEORGE,UT,NDIR,0.092,37.063583333333334,113.57549999999999,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
88.1,K201IZ,VERNAL,UT,NDIR,0.205,40.429916666666664,109.49791666666667,D,K-LOVE,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
88.3,K202AD,"ORANGEVILLE, ETC.",UT,DRL,0.019,39.227722222222226,111.14683333333333,D,,405.0,UNIVERSITY OF UTAH,News/Talk,
88.3,K202AF,"RANDOLPH, ETC.",UT,DRL,0.02,41.625194444444446,111.12377777777778,D,,339.0,UNIVERSITY OF UTAH,News/Talk,
88.3,K202AW,CEDAR CITY,UT,DRL,0.009,37.638305555555554,113.03188888888889,D,NPR UTAH,429.0,UNIVERSITY OF UTAH,News/Talk,
88.3,K202EJ,WELLSVILLE,UT,NDIR,0.019,41.61130555555556,111.95216666666667,D,CSN INTERNATIONAL,139.3,CSN INTERNATIONAL,Religious Teaching,
88.5,K203AB,RURAL SUMMIT COUNTY,UT,DRL,0.026,40.85494444444445,111.47963888888889,D,NPR UTAH,811.0,UNIVERSITY OF UTAH,News/Talk,
88.5,K203CA,MILFORD,UT,NDIR,0.01,38.5205,113.28994444444444,D,NPR UTAH,1196.0,UNIVERSITY OF UTAH,News/Talk,
88.5,K203CQ,TOOELE,UT,NDIR,0.041,40.543277777777774,112.30994444444444,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,Salt Lake City-Ogden-Provo
88.5,K203EY,ST. GEORGE,UT,NDIR,0.18,37.06386111111111,113.57441666666666,D,K-LOVE,32.1,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
88.7,K204BO,"PROVO, ETC.",UT,NDIR,0.01,40.089111111111116,111.8218611111111,D,UTAH PUBLIC RADIO,672.7,UTAH STATE UNIVERSITY OF AGRICULTURE AND APPLIED SCIENCE,News/Talk/Classical,Salt Lake City-Ogden-Provo
88.7,K204CO,PANGUITCH,UT,DRL,0.01,37.82191666666667,112.45852777777777,D,UTAH PUBLIC RADIO,-157.0,UTAH STATE UNIVERSITY OF AGRICULTURE AND APPLIED SCIENCE,News/Talk/Classical,
