frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
103.3,W277EB,Williamsburg,VA,DRL,0.25,37.386944444444445,76.79583333333333,D,VPM NEWS,,"STUCOMM, INC",News/Talk,
87.7,WDCN-LD,FAIRFAX,VA,DIR,3.0,38.8745,77.22322222222222,,DC 87.7,,Signal Above LLC,Contemporary Hit Radio,
102.3,WHUK,CROZET,VA,NDIR,4.9,38.07983333333333,78.73916666666666,A,102.3 THE HOOK,108.0,MONTICELLO MEDIA LLC,Variety Hits,
100.5,WLGW,Glade Spring,VA,NDIR,0.45,36.84902777777778,81.64091666666667,A,K-LOVE,309.0,Educational Media Foundation,Contemporary Christian,
105.5,WLGY,PENNINGTON GAP,VA,NDIR,6.0,36.73397222222222,83.04266666666666,A,K-LOVE,84.0,Educational Media Foundation,Contemporary Christian,
91.9,WNRN-FM,CHARLOTTESVILLE,VA,NDIR,0.32,37.982083333333335,78.48388888888888,A,INDEPENDENT MUSIC RADIO,325.0,"STU-COMM, INC.",Rock,
100.7,WVXL,CHRISTIANSBURG,VA,NDIR,0.82,37.09205555555556,80.30558333333333,A,HOT 100.7,270.0,MONTICELLO MEDIA LLC,Contemporary Hit Radio,
106.7,HILE-FM,MAO,VA,,0.25,19.555083333333336,71.07278,C,LINEA 106,-14.0,,Variety,
89.1,HIMX-FM,LAGUNA SALADA,VA,,3.0,19.6525,71.10221999999999,C,TRUENO FM,-44.0,,Tropical,
93.5,HIDM-FM,MAO,VA,,0.5,19.56556,71.07222,C,RADIO MARIÉN,25.0,,Religious,
94.1,HIAP-FM,ESPERANZA,VA,,5.0,19.670556,70.947778,C,"RADIO RUMBO, FULL 94.1 FM",827.0,,Tropical/Adult Contemporary,
98.9,HIAS-FM,MAO,VA,,3.0,19.643361,71.072778,C,ARCOIRIS DIGITAL FM,-14.0,,Variety,
102.5,HIML-FM,MAO,VA,,0.25,19.58861,70.98055000000001,C,MEGA FM,-14.0,,Tropical,
106.7,HILE-FM-1,JICOMÉ,VA,,1.0,19.672083333333333,70.9491388888889,C,LINEA 106,788.0,,Variety,
