frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
101.5,WMUD,BRANDON,VT,DRL,0.35,43.65866666666667,73.10677777777778,A,MUD RADIO,398.0,Mud Radio LLC,Americana,
89.3,W207AX,BURLINGTON,VT,NDIR,0.013,44.5095,73.18263888888889,D,FAMILY RADIO,,"CSN International, Inc.",Religious Teaching,Burlington-Plattsburgh
91.1,W216CB,ASCUTNEY,VT,DRL,0.01,43.4375,72.45166666666667,D,THE LIGHT 91.5,612.5,"CHRISTIAN MINISTRIES, INC.",Religious Teaching,Lebanon-Hanover-White River Junction
91.9,W220AX,LUDLOW,VT,NDIR,0.01,43.36783333333334,72.68036111111111,D,THE LIGHT 91.5,,"CHRISTIAN MINISTRIES, INC.",Religious Teaching,Lebanon-Hanover-White River Junction
93.3,W227AQ,BURLINGTON,VT,DRL,0.22,44.49727777777778,73.21375,D,THE POINT,,"MONTPELIER BROADCASTING, INC.",Adult Alternative,Burlington-Plattsburgh
93.3,W227CA,RUPERT,VT,NDIR,0.01,43.281166666666664,73.17036111111112,D,VERMONT PUBLIC RADIO,129.0,VERMONT PUBLIC CO.,News/Talk,
93.3,W227DF,MONTPELIER,VT,NDIR,0.25,44.28033333333333,72.55788888888888,D,ROCK 103.3,,"GALLOWAY COMMUNICATIONS, INC.",Rock,Montpelier-Barre-Saint Johnsbury
97.9,W250CZ,SOUTH BENNINGTON,VT,NDIR,0.12,42.94811111111111,73.1756388888889,D,VERMONT PUBLIC RADIO,1.7,VERMONT PUBLIC CO.,News/Talk,
94.1,W231BQ,MONTPELIER,VT,NDIR,0.2,44.25613888888889,72.58447222222222,D,VERMONT PUBLIC RADIO,,VERMONT PUBLIC CO.,News/Talk,Montpelier-Barre-Saint Johnsbury
94.3,W232CG,BRATTLEBORO,VT,NDIR,0.15,42.82844444444445,72.5996111111111,D,VERMONT PUBLIC RADIO,,VERMONT PUBLIC CO.,News/Talk,
94.5,W233BD,BURLINGTON,VT,NDIR,0.027,44.35813888888889,73.24669444444444,D,VERMONT PUBLIC RADIO,42.7,VERMONT PUBLIC CO.,News/Talk,Burlington-Plattsburgh
94.5,W233CC,WHITE RIVER JUNCTION,VT,NDIR,0.053,43.65463888888889,72.29441666666666,D,94 WEEI,93.5,"Great Eastern Radio, LLC",Sports,Lebanon-Hanover-White River Junction
94.9,W235BE,BURLINGTON,VT,DRL,0.25,44.50116666666667,73.1858888888889,D,THE LIGHT 91.5,,"CHRISTIAN MINISTRIES, INC.",Religious Teaching,Burlington-Plattsburgh
96.3,W242AG,QUECHEE,VT,NDIR,0.004,43.65425,72.35841666666666,D,THE LIGHT 91.5,121.0,"CHRISTIAN MINISTRIES, INC.",Religious Teaching,Lebanon-Hanover-White River Junction
96.3,W242BK,COLCHESTER,VT,NDIR,0.025,44.506166666666665,73.14958333333334,D,WVMT 96.3 FM/620 AM,32.8,"VOX AM/FM, LLC",News/Talk,Burlington-Plattsburgh
96.5,W243AE,ORLEANS,VT,NDIR,0.01,44.76697222222222,72.14980555555556,D,THE LIGHT 91.5,182.5,"CHRISTIAN MINISTRIES, INC.",Religious Teaching,Montpelier-Barre-Saint Johnsbury
96.5,W243AT,BARRE,VT,DRL,0.099,44.17838888888889,72.48841666666667,D,WDEV AM 550 & FM 96.1,,"RADIO VERMONT, INC.",News/Talk/Sports,Montpelier-Barre-Saint Johnsbury
96.5,W243DT,WATERBURY,VT,NDIR,0.25,44.46380555555556,72.74494444444444,D,VERMONT PUBLIC RADIO,,VERMONT PUBLIC CO.,News/Talk,
96.5,W243EL,BENNINGTON,VT,NDIR,0.25,42.90669444444444,73.21116666666667,D,WBTN 1370,,"SHIRES MEDIA PARTNERSHIP, INC.",Talk,
97.1,W246DT,COLCHESTER,VT,NDIR,0.09,44.50636111111111,73.1498888888889,D,THE GAME 97.1-105.9-960,,"Vox AM/FM, LLC",Sports,Burlington-Plattsburgh
98.3,W252CJ,BURLINGTON,VT,NDIR,0.22,44.49727777777778,73.21375,D,ROCK 103.3,54.2,"RADIO BROADCASTING SERVICES,  INCORPORATED",Rock,Burlington-Plattsburgh
98.3,W252CU,MONTPELIER,VT,DRL,0.25,44.2445,72.57647222222222,D,WDEV AM 550 & FM 96.1,-1.3,"RADIO VERMONT CLASSICS, L.L.C.",News/Talk/Sports,Montpelier-Barre-Saint Johnsbury
99.1,W256CW,RUTLAND,VT,NDIR,0.18,43.65866666666667,73.1065,D,VERMONT PUBLIC RADIO,380.0,Vermont Public Co.,News/Talk,
99.5,W258DQ,BRATTLEBORO,VT,NDIR,0.099,42.88916666666667,72.6125,D,99.5 THE BEAST,,"FOUR SEASONS MEDIA, INC.",Christian CHR + Rock,
99.5,W258AW,MIDDLEBURY,VT,NDIR,0.038,44.007,73.17733333333334,D,VERMONT PUBLIC RADIO,-16.5,VERMONT PUBLIC CO.,News/Talk,Burlington-Plattsburgh
99.5,W258AZ,NEWBURY,VT,NDIR,0.01,44.053666666666665,72.14036111111112,D,VERMONT PUBLIC RADIO,114.5,VERMONT PUBLIC CO.,News/Talk,Lebanon-Hanover-White River Junction
99.5,W258BZ,MONTPELIER,VT,NDIR,0.2,44.25613888888889,72.58447222222222,D,VERMONT PUBLIC RADIO,,VERMONT PUBLIC CO.,News/Talk,Montpelier-Barre-Saint Johnsbury
100.1,W261DE,RUTLAND,VT,NDIR,0.25,43.59122222222222,72.99083333333333,D,100.1 WSYB,,"6 JOHNSON ROAD LICENSES, INC.",Classic Hits,
100.1,W261DJ,RANDOLPH,VT,DRL,0.25,43.95327777777778,72.59908333333333,D,RANDOLPH'S REAL COUNTRY 1320,,"SUGAR RIVER MEDIA, LLC",Country,Lebanon-Hanover-White River Junction
100.3,W262AA,MONTPELIER,VT,NDIR,0.1,44.28033333333333,72.55786111111111,D,THE POINT,31.7,MONTPELIER BROADCASTING INC,Adult Alternative,Montpelier-Barre-Saint Johnsbury
100.3,W262CL,BRATTLEBORO,VT,DRL,0.25,42.846444444444444,72.68758333333334,D,EZ FAVORITES 100.3/107.5,,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",Soft AC,
101.1,W266AK,RUPERT,VT,NDIR,0.01,43.281166666666664,73.17036111111112,D,VERMONT PUBLIC RADIO,129.0,VERMONT PUBLIC CO.,News/Talk,
101.1,W266CU,MIDDLEBURY,VT,NDIR,0.08,43.99927777777778,73.15916666666668,D,THE LIGHT 91.5,,Christian Ministries Inc.,Hot AC,Burlington-Plattsburgh
101.9,W270BR,ISLAND POND,VT,NDIR,0.01,44.78391666666666,71.88675,D,WDEV AM 550 & FM 96.1,194.8,VINCENT ILLUZZI & JOSEPH ILLUZZI,News/Talk/Sports,Montpelier-Barre-Saint Johnsbury
102.5,W273AM,MONTPELIER,VT,DRL,0.25,44.2445,72.57647222222222,D,101 THE ONE,,"RADIO VERMONT, INC.",Adult Contemporary,Montpelier-Barre-Saint Johnsbury
103.1,W276DK,NEWPORT,VT,NDIR,0.25,44.953583333333334,72.1366388888889,D,THE NOTCH,,"VERMONT BROADCAST ASSOCIATES, INC",Classic Rock,Montpelier-Barre-Saint Johnsbury
104.1,W281CC,ST. JOHNSBURY,VT,NDIR,0.065,44.41061111111111,71.96980555555555,D,THE TRAIL 104.1,,"VERMONT BROADCAST ASSOCIATES, INC",Adult Alternative,Montpelier-Barre-Saint Johnsbury
104.7,W284AB,JAMAICA,VT,DRL,0.01,43.095888888888894,72.92063888888889,D,100.7 AND 101.9 THE PEAK,654.0,"Great Eastern Radio, LLC",Classic Rock,
105.1,W286DE,WELLS RIVER,VT,NDIR,0.25,44.11361111111111,71.98111111111112,D,THE RIVER OF LIFE,,Yankee Kingdom Media Corp,Religious Teaching,Lebanon-Hanover-White River Junction
105.7,W289CH,BARRE,VT,NDIR,0.25,44.15838888888889,72.47897222222223,D,THE PENGUIN 97.9/105.7,,"Great Eastern Radio, LLC",Adult Hits,Montpelier-Barre-Saint Johnsbury
106.5,W293BH,SPRINGFIELD,VT,DRL,0.25,43.31527777777777,72.46275,D,REWIND 106.5,,"Sugar River Media, LLC",Adult Contemporary,Lebanon-Hanover-White River Junction
106.5,W293BR,MONTPELIER,VT,DRL,0.25,44.12694444444445,72.47536111111111,D,THE LIGHT 91.5,,"CHRISTIAN MINISTRIES, INC.",Religious Teaching,Lebanon-Hanover-White River Junction
106.9,W295AL,WOODSTOCK,VT,NDIR,0.1,43.63138888888889,72.51308333333333,D,VPR CLASSICAL,,VERMONT PUBLIC CO.,Classical,Lebanon-Hanover-White River Junction
106.9,W295AU,MANCHESTER,VT,NDIR,0.051,43.23675,73.02844444444445,D,VPR CLASSICAL,135.5,VERMONT PUBLIC CO.,Classical,
106.9,W295CO,BRATTLEBORO,VT,DRL,0.085,42.846444444444444,72.68758333333334,D,WINK COUNTRY,,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",Country,
107.5,W298DD,BURLINGTON,VT,NDIR,0.25,44.507888888888886,73.1508888888889,D,VERMONT PUBLIC RADIO,,VERMONT PUBLIC,News/Talk,Burlington-Plattsburgh
94.3,WBTN-FM,BENNINGTON,VT,NDIR,3.0,42.94811111111111,73.1756388888889,A,VERMONT PUBLIC RADIO,34.0,VERMONT PUBLIC CO.,News/Talk,
99.3,WBTV-LP,BURLINGTON,VT,NDIR,0.1,44.45641666666667,73.21761111111111,LP100,,-14.1,VERMONT COMMUNITY ACCESS MEDIA (VCAM),Variety,Burlington-Plattsburgh
90.5,WCKJ,ST. JOHNSBURY,VT,NDIR,1.0,44.41116666666667,71.96980555555555,C3,THE LIGHT 91.5,225.0,"CHRISTIAN MINISTRIES, INC.",Religious Teaching/Contemporary Christian,Montpelier-Barre-Saint Johnsbury
89.9,WCMD-FM,BARRE,VT,NDIR,1.5,44.12694444444445,72.47536111111111,A,THE LIGHT 91.5,172.0,"CHRISTIAN MINISTRIES, INC.",Religious Teaching,Lebanon-Hanover-White River Junction
91.9,WCMK,PUTNEY,VT,NDIR,0.08,42.9745,72.60286111111111,A,THE LIGHT 91.5,231.0,"CHRISTIAN MINISTRIES, INC.",Religious Teaching,
101.7,WCVT,STOWE,VT,DRL,1.0,44.52558333333333,72.81455555555556,C2,101 THE ONE,811.0,"RADIO VERMONT CLASSICS, L.L.C.",Classic Hits,
96.1,WDEV-FM,WARREN,VT,NDIR,0.4,44.127,72.92816666666667,C3,WDEV AM 550 & FM 96.1,694.0,"RADIO VERMONT, INC.",News/Talk/Sports,Burlington-Plattsburgh
92.5,WDKM,POULTNEY,VT,NDIR,0.1,43.51727777777778,73.23675,A,GREATEST HITS OF ALL TIME,-76.0,"NORTHWAY BROADCASTING, LLC",Classic Hits,
95.7,WDOT,DANVILLE,VT,NDIR,3.8,44.41616666666666,72.05841666666666,A,THE POINT,75.0,MONTPELIER BROADCASTING INC,Adult Alternative,Montpelier-Barre-Saint Johnsbury
94.5,WDVT,RUTLAND,VT,DRL,6.0,43.56783333333334,73.00844444444445,A,ROCK 94.5,98.0,"6 JOHNSON ROAD LICENSES, INC.",Classic Rock,
102.7,WEQX,MANCHESTER,VT,NDIR,1.25,43.16616666666666,73.11591666666666,B,THE REAL ALTERNATIVE,759.0,"Northshire Communications, Inc",Rock,
98.1,WEVT-LP,ENOSBURG FALLS,VT,NDIR,0.1,44.91086111111111,72.80316666666667,LP100,,13.22023,SPAVIN CURE HISTORICAL GROUP,Variety,Burlington-Plattsburgh
92.9,WEZF,BURLINGTON,VT,NDIR,46.0,44.52558333333333,72.81566666666666,C,STAR 92.9,828.0,"Vox AM/FM, LLC",Hot AC,Burlington-Plattsburgh
90.9,WFTF,RUTLAND,VT,DRL,0.06,43.6395,72.83619444444444,A,AIR1,680.0,"CHRISTIAN MINISTRIES, INC.",Contemporary Christian,
96.5,WFVR-LP,SOUTH ROYALTON,VT,NDIR,0.1,43.81644444444444,72.5231388888889,LP100,,-56.663254,,Variety,Lebanon-Hanover-White River Junction
91.7,WGDH,HARDWICK,VT,DRL,1.1,44.58030555555556,72.45341666666667,A,COMMUNITY RADIO FROM GODDARD COLLEGE,40.0,Central Vermont Community Radio Corporation,Variety,
91.1,WGDR,PLAINFIELD,VT,NDIR,1.7,44.2845,72.4406388888889,A,COMMUNITY RADIO FROM GODDARD COLLEGE,-106.0,Central Vermont Community Radio Corporation,Variety,Montpelier-Barre-Saint Johnsbury
89.9,WGLG,SWANTON,VT,NDIR,0.225,44.917249999999996,73.12372222222221,A,THE LIGHT 91.5,-5.0,"CHRISTIAN MINISTRIES, INC.",Religious Teaching,Burlington-Plattsburgh
91.7,WGLV,WOODSTOCK,VT,DRL,0.1,43.6395,72.83619444444444,A,THE LIGHT 91.5,694.0,"CHRISTIAN MINISTRIES, INC.",Religious Teaching/Contemporary Christian,
91.5,WGLY-FM,BOLTON,VT,DRL,1.0,44.36475,72.93066666666667,C3,THE LIGHT 91.5,285.0,"CHRISTIAN MINISTRIES, INC.",Religious Teaching,Burlington-Plattsburgh
97.7,WGMT,LYNDON,VT,DRL,0.6,44.570861111111114,71.89397222222223,C3,MAGIC 97.7,574.0,"Vermont Broadcast Associates, Inc.",Adult Contemporary,Montpelier-Barre-Saint Johnsbury
106.1,WHDQ-FM1,RUTLAND,VT,DRL,0.013,43.6395,72.83619444444444,D,Q-106,688.0,"Great Eastern Radio, LLC",Classic Rock,
93.7,WIFY,ADDISON,VT,DRL,21.0,44.220888888888894,73.40986111111111,C3,THE POINT,108.0,"RADIO BROADCASTING SERVICES, INCORPORATED",Adult Alternative,Burlington-Plattsburgh
103.3,WIXM,WATERBURY,VT,NDIR,2.85,44.364472222222226,72.93094444444445,C3,ROCK 103.3,284.0,"RADIO BROADCASTING SERVICES, INCORPORATED",Rock,Burlington-Plattsburgh
106.7,WIZN,VERGENNES,VT,NDIR,50.0,44.311166666666665,73.24205555555555,C2,THE WIZARD CLASSIC ROCK,114.0,"HALL COMMUNICATIONS, INC.",Classic Rock,Burlington-Plattsburgh
105.3,WJEN,KILLINGTON,VT,NDIR,1.25,43.6395,72.83619444444444,C2,105.3 CAT COUNTRY,683.0,"6 JOHNSON ROAD LICENSES, INC.",Country,
98.1,WJJR,RUTLAND,VT,NDIR,3.3,43.65875,73.10655555555554,C2,98.1 JJR,407.0,"6 Johnson Road Licenses, Inc.",Adult Contemporary,
94.5,WJJZ,IRASBURG,VT,DRL,6.0,44.81494444444444,72.23930555555556,A,JJ COUNTRY 94.5,30.14,"VERMONT BROADCAST ASSOCIATES, INC",Country,Montpelier-Barre-Saint Johnsbury
92.1,WJPL-LP,BARRE,VT,NDIR,0.1,44.171166666666664,72.48341666666667,LP100,,8.095222,"VERMONT CHRISTIAN RADIO, INC.",Religious Teaching,Montpelier-Barre-Saint Johnsbury
90.7,WJSC-FM,JOHNSON,VT,NDIR,0.2,44.641416666666665,72.67177777777778,A,FREEFORM COMMUNITY RADIO,-149.0,"BOARD OF TRUSTEES, VERMONT STATE COLLEGE",Variety,
96.1,WJSY-LP,NEWPORT,VT,NDIR,0.1,44.943638888888884,72.19675000000001,LP100,,-16.634256,"VOICE IN THE KINGDOM RADIO, INC.",Religious Teaching,Montpelier-Barre-Saint Johnsbury
101.9,WKKN,WESTMINSTER,VT,DRL,1.05,43.03341666666667,72.36722222222221,A,THE PEAK 101.9 & 100.7,236.0,"Great  Eastern Radio, LLC",Classic Rock,
92.7,WKVT-FM,BRATTLEBORO,VT,NDIR,1.8,42.89588888888889,72.6631388888889,A,REWIND 92.7 / 102.3,186.0,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",Adult Hits,
105.5,WKXH,ST. JOHNSBURY,VT,NDIR,1.25,44.41061111111111,71.96980555555555,A,KIX 105.5,217.0,"VERMONT BROADCAST ASSOCIATES, INC.",Country,Montpelier-Barre-Saint Johnsbury
93.9,WLVB,MORRISVILLE,VT,NDIR,5.4,44.578361111111114,72.6353888888889,A,VERMONT COUNTRY 93.9,37.0,"RADIO VERMONT, INC.",Country,
104.1,WMNV,RUPERT,VT,NDIR,4.3,43.266999999999996,73.25536111111111,A,ALIVE RADIO NETWORK,61.0,CAPITAL MEDIA CORPORATION,Religious Teaching,
92.1,WMOO,DERBY CENTER,VT,DRL,2.25,44.973083333333335,72.07452777777777,C3,THE NEW MOO-92.1 FM,189.0,"Vermont Broadcast Associates, Inc.",Hot AC,Montpelier-Barre-Saint Johnsbury
94.5,WMRW-LP,WARREN,VT,NDIR,0.1,44.15866666666667,72.81469444444444,LP100,,-104.8,ROOTSWORK INC.,Variety,Montpelier-Barre-Saint Johnsbury
106.3,WMTK-FM1,ST. JOHNSBURY,VT,NDIR,0.025,44.41727777777778,71.99230555555556,D,THE NOTCH,,"VERMONT BROADCAST ASSOCIATES, INC",Classic Hits,Montpelier-Barre-Saint Johnsbury
95.7,WMTZ-LP,RUTLAND,VT,NDIR,0.1,43.60755555555556,72.95563888888888,LP100,WE'RE MARCHING TO ZION,-105.0,"GREEN MOUNTAIN ADVENTIST MEDIA, INC.",Religious Teaching,
88.1,WNCH,NORWICH,VT,DRL,1.55,43.43758333333333,72.45175,B,VPR CLASSICAL,686.2,VERMONT PUBLIC CO.,Classical,Lebanon-Hanover-White River Junction
104.7,WNCS,MONTPELIER,VT,DRL,1.9,44.42058333333333,72.82788888888888,C2,THE POINT,634.0,"MONTPELIER BROADCASTING, INC.",Adult Alternative,Burlington-Plattsburgh
88.3,WNUB-FM,NORTHFIELD,VT,NDIR,0.27,44.140055555555556,72.65952777777778,A,,-113.0,THE TRUSTEES OF NORWICH UNIVERSITY,,Montpelier-Barre-Saint Johnsbury
98.9,WOKO,BURLINGTON,VT,NDIR,100.0,44.45086111111112,73.19705555555556,C1,THE BIG STATION,94.0,"HALL COMMUNICATIONS, INC.",Country,Burlington-Plattsburgh
91.5,WOOL,BELLOWS FALLS,VT,DRL,0.55,43.137277777777776,72.43258333333334,A,BLACK SHEEP RADIO,118.0,GREAT FALLS COMMUNITY BROADCASTING COMPANY,Variety,
