frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
88.5,K203FS,PORT ANGELES,WA,DRL,0.205,48.11069444444445,123.51355555555556,D,CSN INTERNATIONAL,-143.9,CSN INTERNATIONAL,Religious Teaching,
89.3,KGLU,WISHRAM,WA,NDIR,0.057,45.681416666666664,120.90936111111111,A,,545.0,"LifeTalk Radio, Inc.",,
104.9,KHUH-LP,SEATTLE,WA,NDIR,0.015,47.61313888888889,122.3051111111111,LP100,HOLLOW EARTH RADIO,78.0,HOLLOW EARTH RADIO,Variety,
88.9,KOSW-FM,OCEAN SHORES,WA,DRL,1.2,47.10969444444444,124.12780555555555,A,SOUND OF THE SHORES,120.0,CITY OF OCEAN SHORES,Variety,
88.9,KPBY,Colville,WA,NDIR,0.025,48.49016666666667,118.06608333333332,A,SPOKANE PUBLIC RADIO,944.0,Spokane Public Radio,Variety/News/Talk,
90.5,KTFL,Kettle Falls,WA,NDIR,0.21,48.49016666666667,118.06608333333332,C2,SPOKANE PUBLIC RADIO,944.0,Spokane Public Radio,News/Talk,
94.7,KTNU-LP,TONASKET,WA,NDIR,0.1,48.70436111111111,119.43847222222223,LP100,,-369.0,Tonasket Assembly of God,Religious Teaching,
104.9,KZEG,SEQUIM,WA,DRL,6.0,48.12591666666667,123.1171111111111,A,Z 104.9 KZQM,22.0,"RADIO PACIFIC, INC.",Classic Hits,
88.1,K201DX,WALLA WALLA,WA,DRL,0.01,45.993722222222225,118.18077777777778,D,AIR1,342.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
88.1,K201EN,EVERETT,WA,DRL,0.005,48.051472222222216,121.86149999999999,D,AIR1,,CSN INTERNATIONAL,Contemporary Christian,Seattle-Tacoma
88.1,K201FD,FORKS,WA,NDIR,0.011,48.00533333333333,124.41463888888889,D,CSN INTERNATIONAL,221.0,CSN INTERNATIONAL,Religious Teaching,
88.3,K202ED,MOUNT VERNON,WA,DRL,0.004,48.36508333333334,122.26875,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
88.5,K203EN,ELLENSBURG,WA,DRL,0.066,46.88733333333333,120.44255555555556,D,K-LOVE,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
88.5,K203ER,CLARKSTON,WA,DRL,0.063,46.41708333333333,116.97625000000001,D,EFFECT RADIO,-194.6,CSN INTERNATIONAL,Christian CHR + Rock,
88.7,K204BI,BELLINGHAM,WA,DRL,0.03,48.80094444444444,122.4623888888889,D,JAZZ 88.5,86.3,PACIFIC PUBLIC MEDIA,Jazz/News,
88.7,K204CZ,KENNEWICK,WA,DRL,0.011,46.10375,119.12888888888888,D,EFFECT RADIO,,CSN INTERNATIONAL,Christian CHR + Rock,
88.9,K205AH,"OMAK, ETC.",WA,DRL,0.044,48.45402777777778,119.30947222222223,D,SPOKANE PUBLIC RADIO,762.0,"SPOKANE PUBLIC RADIO, INC.",News/Talk,
88.9,K205DF,ENUMCLAW,WA,NDIR,0.002,47.219,121.84316666666666,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,Seattle-Tacoma
88.9,K205FT,YAKIMA,WA,NDIR,0.0155,46.513194444444444,120.402,D,CHRISTIAN FAMILY RADIO,273.9,FIRST BAPTIST CHURCH OF RIVERVIEW,Religious Teaching,
89.1,K206CJ,ISSAQUAH,WA,DRL,0.009,47.50508333333333,121.97177777777777,D,EFFECT RADIO,666.4,"CSN International, Inc.",Christian Rock,Seattle-Tacoma
89.1,K206CL,CHINOOK,WA,NDIR,0.0155,46.285916666666665,123.89847222222222,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
89.1,K206DL,GRANITE FALLS/EVERET,WA,DRL,0.005,48.051472222222216,121.86149999999999,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,Seattle-Tacoma
89.1,K206DM,BREMERTON,WA,NDIR,0.013,47.54925,122.78347222222222,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,Seattle-Tacoma
89.3,K207AZ,GIG HARBOR,WA,DRL,0.0325,47.25369444444444,122.6215,D,GRASS ROOTS RADIO,15.0,PENINSULA SCHOOL DISTRICT NO. 401,Variety,Seattle-Tacoma
89.5,K208BY,MOSES LAKE,WA,NDIR,0.25,47.087500000000006,119.25805555555556,D,CHRISTIAN FAMILY RADIO,39.0,First Baptist Church of Riverview,Religious Teaching,
