frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
88.5,W203CC,ASHLAND,WI,NDIR,0.038,46.58980555555556,90.83702777777778,D,LIFE-FM 97.3,46.5,UNIVERSITY OF NORTHWESTERN-ST. PAUL,Contemporary Christian,
92.3,W222DB,Ladysmith,WI,NDIR,0.17,45.46366666666667,91.10355555555554,D,WHEM 91.3,1.7,"Fourth Dimension, Inc.",Contemporary Christian,
93.9,W230DJ,CEDARBURG,WI,NDIR,0.25,43.29344444444444,87.98966666666666,D,WE ROCK YOU,,,Classic Rock,
97.7,W249EJ,TOMAHAWK,WI,NDIR,0.25,45.49058333333333,89.72630555555556,D,WJJQ 100.7 FM -  810 AM,82.0,ALBERT BROADCASTING II LLC,Sports,
103.7,W279EN,PHELPS,WI,NDIR,0.027,46.06688888888889,89.07788888888888,D,WISCONSIN'S RADIO VOICE OF THE MASTER,83.9,"WRVM, INC.",Religious Teaching,
107.5,W298DK,AMERY,WI,NDIR,0.25,45.39702777777778,92.41997222222223,D,LAKE AIR 1260 AM/107.5 FM,,"Civic Media, Inc.",Talk,
91.9,WDNW,ASHLAND,WI,NDIR,4.5,46.58980555555556,90.83702777777778,A,,103.0,University of Northwestern - St. Paul,,
90.7,WEPP-FM,Rice Lake,WI,DRL,1.0,45.52111111111111,91.76611111111112,A,,112.0,State of Wisconsin Educational Communications Board,,
103.9,WEQC,CRANDON,WI,NDIR,13.5,45.57316666666667,88.88297222222222,C3,,135.0,"The Salvation Poem Foundation, Inc.",,
100.9,WEQR,TOMAHAWK,WI,DRL,8.5,45.352111111111114,89.65361111111112,C3,PRAYZ NETWORK,173.0,"The Salvation Poem Foundation, Inc.",Contemporary Christian/Religious Teaching,
90.5,WEQW,Westfield,WI,NDIR,8.0,44.02022222222222,89.55869444444444,C3,,130.0,"The Salvation Poem Foundation, Inc.",,
92.7,WIBD,KEWAUNEE,WI,NDIR,6.0,44.49722222222222,87.58675,A,LA MAS GRANDE 92.7 - 96.9 - 98.9,100.0,"MAGNUM BROADCASTING, INC.",Regional Mexican,
96.1,WLXR,TOMAH,WI,NDIR,44.0,44.0255,90.81622222222222,C2,MIX 96.1 107.3,160.0,"MAGNUM RADIO, INC.",Contemporary Hit Radio,
89.5,K208FO,PRAIRIE DU CHIEN,WI,NDIR,0.205,43.02663888888889,91.1751388888889,D,CHRISTIAN INFORMATION RADIO,19.6,"VCY AMERICA, INC.",Religious Teaching,
92.3,K222AG,LA CROSSE,WI,DRL,0.25,43.757444444444445,91.289,D,LA CROSSE'S NEWS STATION,,"FAMILY RADIO, INC.",Talk,
93.7,K229BH,LA CROSSE,WI,NDIR,0.041,43.754694444444446,91.29652777777778,D,THE HEART OF WEST WISCONSIN,195.0,"WESTERN WISCONSIN'S INSPIRATIONAL BROADCASTER, INC.",Contemporary Christian,
96.7,K244FM,LA CROSSE,WI,NDIR,0.25,43.80636111111111,91.36763888888888,D,WKTY SPORTSRADIO,,"FAMILY RADIO, INC.",Sports,
97.9,K250AZ,LA CROSSE,WI,NDIR,0.25,43.74786111111111,91.2985,D,MAGIC 97.9,236.3,"MAGNUM COMMUNICATIONS, INC.",Contemporary Hit Radio,
102.5,KDKE,SUPERIOR,WI,OTS,100.0,46.78908333333333,92.11933333333333,C1,102.5 DUKE FM,183.0,"MIDWEST COMMUNICATIONS, INC.",Country,Duluth-Superior
89.1,KSPP,RHINELANDER,WI,NDIR,18.0,45.85480555555556,89.65172222222223,C3,NORTHWOODS CATHOLIC RADIO,,NORTHWOODS CATHOLIC RADIO,Religious Teaching,
91.3,KUWS,SUPERIOR,WI,NDIR,83.0,46.78908333333333,92.11433333333333,C1,IDEAS NETWORK,197.0,Board of Regents of the University of Wisconsin System,News/Talk/Variety,Duluth-Superior
88.5,W203AV,NORTH FOND DU LAC,WI,NDIR,0.08,43.833555555555556,88.49433333333333,D,WISCONSIN'S RADIO VOICE OF THE MASTER,36.2,"WRVM, INC.",Religious Teaching,
88.5,W203BX,SHEBOYGAN,WI,NDIR,0.038,43.76555555555556,87.76647222222222,D,AIR1,,EDUCATIONAL MEDIA FOUNDATION,Soft Christian Contemporary,Sheboygan
88.7,W204BK,SHERWOOD,WI,DRL,0.01,44.15833333333333,88.28427777777777,D,CSN INTERNATIONAL,160.0,CSN INTERNATIONAL,Religious Teaching,Appleton-Oshkosh
88.7,W204BP,EAU CLAIRE,WI,NDIR,0.019,44.85052777777778,91.4235,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,Eau Claire
88.9,W205CM,MANITOWOC,WI,NDIR,0.019,44.13472222222222,87.73925,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
89.1,W206AH,EAU CLAIRE,WI,NDIR,0.019,44.8,91.46583333333334,D,K-LOVE,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Eau Claire
89.5,W208BV,MERCER,WI,NDIR,0.25,46.150277777777774,90.03841666666666,D,WISCONSIN'S RADIO VOICE OF THE MASTER,,"WRVM, INC.",Religious Teaching,
89.7,W209BM,DE PERE,WI,NDIR,0.01,44.35888888888889,87.98538888888889,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,Green Bay
90.1,W211AU,MONROE,WI,NDIR,0.013,42.57638888888889,89.69316666666667,D,CHRISTIAN INFORMATION RADIO,105.0,"VCY AMERICA, INC.",Religious Teaching,
90.1,W211AY,MENOMONIE,WI,NDIR,0.01,44.86830555555556,92.07488888888888,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
90.3,W212BB,WAUSAU,WI,NDIR,0.01,44.88802777777778,89.65205555555556,D,REJOICE RADIO,,"PENSACOLA CHRISTIAN COLLEGE, INC.",Religious Teaching,Wausau-Stevens Point
90.5,W213CE,MADISON,WI,NDIR,0.25,43.05583333333333,89.535,D,IDEAS NETWORK,,STATE OF WISCONSIN - EDUCATIONAL COMMUNICATIONS BOARD,News/Talk,Madison
91.1,W216BL,MCFARLAND,WI,NDIR,0.12,43.05,89.28205555555556,D,CHRISTIAN INFORMATION RADIO,30.0,"VCY AMERICA, INC.",Religious Teaching,Madison
91.3,W217BO,MARSHFIELD,WI,NDIR,0.055,44.649972222222225,90.13902777777778,D,WISCONSIN'S RADIO VOICE OF THE MASTER,48.5,"WRVM, INC.",Religious Teaching,Wausau-Stevens Point
91.5,W218CC,WAUSAU,WI,NDIR,0.085,44.95330555555556,89.66038888888889,D,RADIO BY GRACE,,"VCY AMERICA, INC.",Religious Teaching,Wausau-Stevens Point
92.1,W221CN,Stevens Point,WI,NDIR,0.25,44.53802777777778,89.59538888888889,D,TRUE OLDIES CHANNEL 92.1 FM  WPCN,105.2,"MUZZY BROADCAST GROUP, LLC",Oldies,Wausau-Stevens Point
92.1,W221DA,HOWARD,WI,DRL,0.25,44.47777777777778,87.99983333333333,D,SPORTS TALK 1440 WNFL,48.8,"MIDWEST COMMUNICATIONS, INC.",Sports,Green Bay
