frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
91.1,WVGL,GLENVILLE,WV,NDIR,6.0,38.95666666666667,80.80166666666666,A,,8.0,"Araiza Revival Ministries, Inc.",,
88.5,W203AE,ELKINS,WV,NDIR,0.01,38.87175,79.92727777777779,D,WEST VIRGINIA PUBLIC RADIO,364.0,WEST VIRGINIA EDUCATIONAL BROADCASTING AUTHORITY,News/Classical,
88.9,W205CG,CHARLESTON,WV,DRL,0.25,38.37558333333333,81.65641666666667,D,AIR1,,EDUCATIONAL MEDIA FOUNDATION,Soft Christian Contemporary,"Charleston, WV"
89.5,W208BR,WHEELIING,WV,NDIR,0.01,40.05683333333333,80.7145,D,REJOICE RADIO,,"PENSACOLA CHRISTIAN COLLEGE, INC.",Religious Teaching,Wheeling
89.7,W209AX,FAIRMONT,WV,NDIR,0.006,39.52730555555556,80.15422222222223,D,BIBLE BROADCASTING NETWORK,139.0,"BIBLE BROADCASTING NETWORK, INC.",Religious Teaching,Morgantown-Clarksburg-Fairmont
89.7,W209BH,BERNARDSTOWN,WV,NDIR,0.01,38.51036111111111,80.342,D,WINNING OTHERS TO JESUS,218.0,GRACE MISSIONARY BAPTIST CHURCH,Religious Teaching,
91.1,W216CJ,HARRISVILLE,WV,NDIR,0.019,39.20505555555556,81.04119444444444,D,K-LOVE,91.2,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
91.3,W217CH,WILLIAMSON,WV,NDIR,0.01,37.68711111111111,82.25319444444445,D,WEST VIRGINIA PUBLIC RADIO,,West Virginia Educational Broadcasting Authority,News/Classical,
91.5,W218AT,UNION,WV,NDIR,0.017,37.63205555555555,80.56644444444444,D,WEST VIRGINIA PUBLIC RADIO,387.0,WEST VIRGINIA EDUCATIONAL BROADCASTING AUTHORITY,News/Talk/Classical,
91.9,W220BK,LOGAN,WV,NDIR,0.01,37.855916666666666,81.97872222222223,D,WEST VIRGINIA PUBLIC RADIO,214.0,WEST VIRGINIA EDUCATIONAL BROADCASTING AUTHORITY,News/Talk/Classical,
92.1,W221DR,MORGANTOWN,WV,DRL,0.24,39.607416666666666,79.98372222222223,D,CLASSIC COUNTRY HITS 104.9,,AJG CORPORATION,Country,Morgantown-Clarksburg-Fairmont
92.1,W221EF,SUTTON,WV,DRL,0.25,38.36061111111111,80.64713888888889,D,Q92 CLASSIC TOP 40 HITS,,"SUMMIT MEDIA BROADCASTING, LLC",Classic Hits,
97.3,W247BZ,LEWISBURG,WV,DRL,0.25,37.79844444444444,80.51505555555555,D,NEWSTALK 97.3,242.5,"RADIO GREENBRIER, LLC",Talk,
92.5,W223DF,Summersville,WV,DRL,0.25,38.36061111111111,80.64713888888889,D,Q92 CLASSIC TOP 40 HITS,,"SUMMIT MEDIA, INC.",Classic Hits,
92.7,W224EE,CHARLESTON,WV,DRL,0.25,38.357305555555556,81.66791666666667,D,95 THE SPORTS FOX,,"BRISTOL BROADCASTING COMPANY, INC.",Sports,"Charleston, WV"
92.9,W225CW,PARKERSBURG,WV,DRL,0.25,39.33825,81.49888888888889,D,ESPN 630AM 92.9FM,,"JAWCO, INC.",Sports,
93.1,W226BE,NEW MARTINSVILLE,WV,DRL,0.25,39.652833333333334,80.91286111111111,D,AM 1330 & 93.1 WETZ,,DAILEY CORPORATION,Classic Hits,
93.3,W227DU,WELCH,WV,NDIR,0.13,37.41694444444444,81.61583333333333,D,EZ98,,"First Media Services, LLC",Adult Contemporary,
93.5,W228CF,BECKLEY,WV,NDIR,0.25,37.75511111111111,81.2365,D,93.5 THE BUZZ,182.6,SOUTHERN COMMUNICATIONS CORPORATION,Adult Alternative,
93.5,W228DJ,RAVENSWOOD,WV,NDIR,0.25,38.81166666666666,81.72366666666667,D,THE VOICE OF THE MID-OHIO VALLEY,,"Vandalia Media Partners, LLC",Talk/Sports,
93.5,W228DU,BERKELEY SPRINGS,WV,NDIR,0.1,39.61675,78.21722222222222,D,THE PANHANDLE NEWS NETWORK,,West Virginia Radio Corporation,Talk/Sports,
93.7,W229CM,MARTINSBURG,WV,DRL,0.25,39.46333333333334,77.98611111111111,D,THE PANHANDLE NEWS NETWORK,,West Virginia Radio Corporation,News/Talk/Sports,
93.9,W230AY,WESTOVER,WV,NDIR,0.085,39.67202777777778,79.95152777777778,D,K-LOVE,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Morgantown-Clarksburg-Fairmont
94.1,W231BS,HUNTINGTON,WV,NDIR,0.25,38.41786111111111,82.44933333333334,D,ESPN 94.1,18.2,"Kindred Communications, Inc.",Sports,Huntington-Ashland
94.1,W231CY,POINT PLEASANT,WV,NDIR,0.17,38.84702777777778,82.13041666666666,D,THE EAGLE,,"Total Media Group, Inc.",Talk,
94.5,W233CL,BLUEFIELD,WV,NDIR,0.02,37.258722222222225,81.17647222222223,D,WILLIE RADIO 94.5,,"FIRST MEDIA SERVICES, LLC",Country,
94.7,W234DC,PARKERSBURG,WV,NDIR,0.25,39.33822222222222,81.49888888888889,D,WILLIE 1050/94.7,,"Seven Mountains of DE, LLC",Country,
94.9,W235BF,ST.  ALBANS,WV,NDIR,0.01,38.366527777777776,81.81819444444444,D,,140.8,EDUCATIONAL MEDIA FOUNDATION,Classic Hits,"Charleston, WV"
95.3,W237AZ,CHARLESTON,WV,NDIR,0.175,38.357055555555554,81.60594444444443,D,,,West Virginia Radio Corporation,Country,"Charleston, WV"
95.3,W237ER,Huntington,WV,NDIR,0.25,38.421388888888885,82.3963888888889,D,THE VOICE OF SOUTHERN GOSPEL,,"Bristol Broadcasting Company, Inc.",Southern Gospel,Huntington-Ashland
95.7,W239CH,CHARLESTON,WV,DRL,0.25,38.357305555555556,81.66791666666667,D,CHARLESTON'S NEWSTALK,,"BRISTOL BROADCASTING COMPANY, INC.",Talk,"Charleston, WV"
95.7,W239CM,MORGANTOWN,WV,DRL,0.25,39.54563888888889,79.93255555555557,D,THE MOUNTAINEER TICKET,,"LHTC MEDIA OF WEST VIRGINIA, INC.",Sports,Morgantown-Clarksburg-Fairmont
96.5,W243CA,SUTTON,WV,NDIR,0.25,38.653166666666664,80.71925,D,Q92 CLASSIC TOP 40 HITS,,"SUMMIT MEDIA BROADCASTING, L.L.C.",Classic Hits,
96.5,W243DR,CHARLESTON,WV,DRL,0.25,38.36388888888889,81.76725,D,,,WEST VIRGINIA RADIO CORPORATION,Talk/Sports,"Charleston, WV"
96.7,W244BB,PRINCETON,WV,DRL,0.033,37.36233333333333,81.02916666666667,D,BIBLE BROADCASTING NETWORK,83.0,"BIBLE BROADCASTING NETWORK, INC.",Religious Teaching,
96.7,W244BF,NIMITZ,WV,NDIR,0.01,37.64622222222222,80.96230555555556,D,WINNING OTHERS TO JESUS,88.0,GRACE MISSIONARY BAPTIST CHURCH,Religious Teaching,
96.7,W244CB,WEST MILFORD,WV,NDIR,0.01,39.275638888888885,80.29508333333334,D,K-LOVE,159.9,"ARAIZA REVIVAL MINISTRIES, INC.",Contemporary Christian,Morgantown-Clarksburg-Fairmont
97.1,W246DL,MATEWAN,WV,NDIR,0.25,37.631750000000004,82.15872222222222,D,,,"COALFIELDS SOCIETY FOUNDATION, INC.",Southern Gospel,
97.3,W247BO,BLUEFIELD,WV,NDIR,0.037,37.25844444444444,81.17675,D,NEWS TALK 1440 & 97.3,342.2,"FIRST MEDIA SERVICES, LLC",News/Talk,
97.5,W248BF,GRANVILLE,WV,NDIR,0.01,39.67202777777778,79.95152777777778,D,K-LOVE,210.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Morgantown-Clarksburg-Fairmont
97.5,W248DB,CLARKSBURG,WV,DRL,0.25,39.28647222222222,80.32674999999999,D,LIGHT OF LIFE RADIO,,LIGHT OF LIFE COMMUNITY INC,Religious Teaching,Morgantown-Clarksburg-Fairmont
97.7,W249DU,MOUNDSVILLE,WV,DRL,0.06,39.90533333333333,80.77841666666667,D,AM 1370 VALLEY`S WATCH DAWG,,RCK 1 GROUP LLC,News/Talk,Wheeling
97.9,W250CU,WHITESULPHURSPRINGS,WV,NDIR,0.001,37.7985,80.51541666666667,D,NEWS TALK 97.3,,"RADIO GREENBRIER, LLC",Talk,
98.1,W251BH,MONTGOMERY,WV,DRL,0.25,38.375527777777776,81.65633333333334,D,K-LOVE,95.1,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,"Charleston, WV"
98.1,W251CP,PARKERSBURG,WV,NDIR,0.25,39.33822222222222,81.49888888888889,D,TRUE OLDIES,,MID OHIO VALLEY RADIO CORPORATION,Oldies,
98.1,W251CY,WHEELING,WV,NDIR,0.043,40.090361111111115,80.70222222222222,D,,,RCK 1 GROUP LLC,Sports,Wheeling
98.3,W252DH,HINTON,WV,DRL,0.25,37.71483333333334,80.95230555555555,D,98.3 CLASSIC HITS,,"MOUNTAINPLEX MEDIA, LLC",Classic Hits,
98.3,W252DT,MONTGOMERY,WV,NDIR,0.25,38.177305555555556,81.314,D,THE JOCK,,"WKLC, Inc.",Sports,
