frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
106.9,K295DD,CHEYENNE,WY,NDIR,0.25,41.15958333333333,104.72216666666667,D,KYOY 92.3,45.2,"MOUNTAIN COMMUNITY TRANSLATORS, LLC",Classic Hits,
102.7,KAPK,CORA,WY,NDIR,4.0,42.84408333333334,109.92375,C3,,148.0,"WIND RIVER BROADCASTING, INC.",,
91.7,KCHY,BUFFALO,WY,NDIR,0.8,44.23125,106.70111111111112,A,,28.0,"Cedar Cove Broadcasting, Inc.",,
88.7,KDJY,DOUGLAS,WY,NDIR,23.0,42.85802777777778,105.23469444444444,C3,K ROCKY,101.0,"CEDAR COVE BROADCASTING, INC.",Country,
101.1,KHMN,CODY,WY,NDIR,5.4,44.57022222222223,108.81983333333334,C2,THE KROW 101.1,427.0,Heart Mountain Broadcasting LLC,Rock,
107.5,KRCK,ATLANTIC CITY,WY,NDIR,0.48,42.578361111111114,108.71308333333333,C3,,387.0,"Michael Radio Company, LLC",,
88.1,K201HM,LARAMIE,WY,NDIR,0.099,41.30772222222222,105.54322222222223,D,PILGRIM RADIO,-46.9,"WESTERN INSPIRATIONAL BROADCASTERS, INC.",Contemporary Christian,
88.1,K201HS,WORLAND,WY,NDIR,0.05,44.06661111111111,107.86452777777777,D,CSN INTERNATIONAL,140.8,CSN INTERNATIONAL,Religious Teaching,
88.5,K203AH,CODY,WY,DRL,0.103,44.496611111111115,109.1526388888889,D,YELLOWSTONE PUBLIC RADIO,549.0,MONTANA STATE UNIVERSITY - BILLINGS,News/Classical,
88.9,K205FE,ROCK SPRINGS,WY,NDIR,0.015,41.497166666666665,109.344,D,YOUR NETWORK OF PRAISE,,"HI-LINE RADIO FELLOWSHIP, INC.",Religious Teaching,
89.1,K206AJ,SINCLAIR,WY,NDIR,0.25,41.67938888888889,107.23613888888889,D,WYOMING PUBLIC RADIO,298.6,UNIVERSITY OF WYOMING,News/Classical,
89.1,K206EO,GRANITE,WY,NDIR,0.092,41.10055555555556,105.02527777777777,D,AIR1,,"MOUNTAIN COMMUNITY TRANSLATORS, LLC",Contemporary Christian,Cheyenne
89.5,K208FY,TORRINGTON,WY,NDIR,0.25,42.07633333333334,104.19161111111111,D,WYOMING PUBLIC RADIO,,UNIVERSITY OF WYOMING,News/Classical,
